index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
79,23700,1,23700,0.682568026834529,0.03935185185185185,21.5,0.6767618312757203,268.17759240477795,293.075008394272,89.57576558447046,0.008195687807338292
80,24000,1,24000,2.596363760679194,0.14814814814814814,21.5,2.5745884773662553,268.19174938021183,292.6019807443927,10104.146357928275,0.92447358466776
81,24300,1,24300,5.540524681545613,0.31249999999999994,21.5,5.494791666666667,268.2062200811359,295.1026341035104,10817.996305201434,0.9897869121170092
82,24600,1,24600,9.314188269445403,0.5185185185185184,21.5,9.238683127572019,268.2208530538652,296.6553522352751,10806.971595591043,0.9887782120791835
83,24900,1,24900,13.716492004390181,0.7523148148148147,21.5,13.60757458847737,268.2354968447149,297.50945234377696,10833.15528091574,0.9911738746690213
84,25200,1,25200,18.546573366391563,0.9999999999999998,21.5,18.402777777777782,268.25,298.01183193105055,10852.448522733928,0.9929390997352168
85,25500,1,25500,23.60356983546117,1.247685185185185,21.5,23.425604423868315,268.26463641822187,298.33857998707,10862.095143643031,0.9938217122683153
86,25800,1,25800,28.686618891610614,1.481481481481481,21.5,28.477366255144037,268.2797830537837,298.5803077656649,10897.925449876813,0.99709998739125
87,26100,1,26100,33.59485801485152,1.6874999999999998,21.5,33.35937500000001,268.29544303685327,298.795987357367,10900.681627279408,0.9973521624007062
88,26400,1,26400,38.12742468519549,1.8518518518518512,21.5,37.872942386831284,268.3116194975982,298.9959416333504,10889.656917669017,0.9963434623628805
89,26700,1,26700,42.08345638265416,1.9606481481481475,21.5,41.819380144032934,268.3283155661863,299.1839847326451,10910.328248188509,0.9982347749338045
90,27000,1,27000,45.26209058723914,2.0,21.5,45.0,268.3455343727852,299.3484737512656,10921.352957798901,0.9992434749716305
91,27300,1,27300,47.97924529423292,1.9606481481481481,21.5,47.72737911522634,268.3632790475628,299.4821268738765,10870.36367585083,0.994578237296685
92,27600,1,27600,50.66176997992469,1.8518518518518519,21.5,50.42335390946502,268.38155272068667,299.58153134233453,10541.000476240226,0.9644433236666247
93,27900,1,27900,53.27519934583613,1.6875,21.5,53.053125,268.40035852232455,299.58587937397243,10483.120750785643,0.9591476484680367
94,28200,1,28200,55.78506809348891,1.4814814814814816,21.5,55.58189300411523,268.4196995826443,299.61247289661793,10779.40982156506,0.9862564619846185
95,28500,1,28500,58.1569109244047,1.2476851851851853,21.5,57.974858539094654,268.4395790318135,299.7464191502296,10784.922176370244,0.9867608120035304
96,28800,1,28800,60.35626254010517,1.0000000000000002,21.5,60.19722222222222,268.46,299.85770466346105,10805.593506889738,0.9886521245744546
97,29100,1,29100,62.348657642112,0.7523148148148151,21.5,62.21418467078189,268.4841809082736,299.95873679540296,10812.483950396248,0.9892825620980973
98,29400,1,29400,64.09963093194685,0.518518518518519,21.5,63.99094650205762,268.5153113106019,300.04881450031405,10827.642926110537,0.9906695246501077
99,29700,1,29700,65.5747171111314,0.3125000000000002,21.5,65.49270833333334,268.5533510364989,300.13302483749715,10831.777192214435,0.9910477871642925
100,30000,1,30000,66.73945088118734,0.1481481481481488,21.5,66.684670781893,268.5982599154789,300.20815604453577,10829.021014811842,0.9907956121548366
101,30300,1,30300,67.5593669436363,0.039351851851852526,21.5,67.53203446502059,268.6499977770559,300.2484599688918,10834.53336961703,0.9912999621737486
102,30600,1,30600,68.0,0.0,21.5,68.0,268.7085244507441,300.20676054083845,10840.045724422233,0.9918043121926623
103,30900,1,30900,67.94060116789407,0.0,21.5,67.96327570921986,268.77379976605766,300.12845606470034,10873.119853253422,0.994830412306141
104,31200,1,31200,67.35200409656767,0.0,21.5,67.38918439716312,268.8457835525107,300.0489088829912,1189.290549221508,0.10881351658050688
105,31500,1,31500,66.33711728499271,0.0,21.5,66.38184840425532,268.9244356396173,297.29504378634493,89.57576558447046,0.008195687807338292
106,31800,1,31800,64.99884923214114,0.0,21.5,65.04539007092198,269.0097158568916,295.4667997455107,85.44149948057182,0.007817425293153447
107,32100,1,32100,63.44010843698485,0.0,21.5,63.483931737588655,269.1015840338478,294.43177541792255,88.19767688317104,0.008069600302610022
108,32400,1,32400,61.76380339849577,0.0,21.5,61.80159574468085,269.2,293.8239832714223,86.81958818187142,0.007943512797881734
109,32700,1,32700,60.072842615645804,0.0,21.5,60.102504432624116,269.3070576919009,293.45943148291644,85.44149948057182,0.007817425293153447
110,33000,1,33000,58.47013458740689,0.0,21.5,58.49078014184397,269.4236530448209,293.22751771058114,79.92914467537376,0.007313075274240333
111,33300,1,33300,57.05858781275093,0.0,21.5,57.07054521276596,269.54794888635064,293.07462528072926,82.68532207797278,0.00756525028369689
