index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
2604,3600,10,781200,0.0,16979.45767507998,0.0,20.0,297.34492317713455,0.0,274.57,0.9721346614550503
2605,3900,10,781500,0.0,16977.255410790076,0.0,20.0,297.3854809304982,0.0,274.5529092261905,0.9720085739503216
2606,4200,10,781800,0.0,17003.682582268797,0.0,20.0,297.4143297057653,0.0,274.5335119047619,0.9735216240070608
2607,4500,10,782100,0.0,17089.57088957465,0.0,20.0,297.4439361943222,0.0,274.51247767857143,0.9784390366914638
2608,4800,10,782400,0.0,17124.807118212957,0.0,20.0,297.48730696948854,0.0,274.49047619047616,0.9804564367671168
2609,5100,10,782700,0.0,17113.7957967635,0.0,20.0,297.52555223398207,0.0,274.46817708333333,0.9798259992434761
2610,5400,10,783000,0.0,17102.784475314013,0.0,20.0,297.55080516303116,0.0,274.44624999999996,0.9791955617198336
2611,5700,10,783300,0.0,1887.34049643885,0.0,20.0,297.56986977030004,0.0,274.4253645833333,0.10805699155213719
2612,6000,10,783600,0.0,132.1358573936185,0.0,20.0,294.11787389002257,0.0,274.40619047619043,0.007565250283696889
2613,6300,10,783900,0.0,145.34944313298035,0.0,20.0,292.06833070060156,0.0,274.38939732142853,0.00832177531206658
2614,6600,10,784200,0.0,143.1471788430866,0.0,20.0,291.08092456883946,0.0,274.37565476190474,0.008195687807338292
2615,6900,10,784500,0.0,138.74265026329942,0.0,20.0,290.59002847353156,0.0,274.3656324404762,0.007943512797881734
2616,7200,10,784800,0.0,134.33812168351227,0.0,20.0,290.33205705260303,0.0,274.35999999999996,0.007691337788425178
2617,7500,10,785100,0.0,149.75397171276754,0.0,20.0,290.18507394257466,0.0,274.35722387566136,0.008573950321523137
2618,7800,10,785400,0.0,140.94491455319317,0.0,20.0,290.0951268491431,0.0,274.35523689273685,0.008069600302610022
2619,8100,10,785700,0.0,151.95623600266129,0.0,20.0,290.0262043019165,0.0,274.3539082792208,0.008700037826251424
2620,8400,10,786000,0.0,151.95623600266129,0.0,20.0,289.9730189558982,0.0,274.35310726310723,0.008700037826251424
2621,8700,10,786300,0.0,154.15850029255503,0.0,20.0,289.9243406524833,0.0,274.35270307239057,0.008826125330979711
2622,9000,10,786600,0.0,147.5517074228741,0.0,20.0,289.88017728969913,0.0,274.3525649350649,0.008447862816794867
2623,9300,10,786900,0.0,143.1471788430866,0.0,20.0,289.8360168468533,0.0,274.35256207912454,0.008195687807338292
2624,9600,10,787200,0.0,138.74265026329942,0.0,20.0,289.7928107142466,0.0,274.35256373256374,0.007943512797881734
2625,9900,10,787500,0.0,129.93359310372477,0.0,20.0,289.75030838802246,0.0,274.3524391233766,0.007439162778968603
2626,10200,10,787800,0.0,162.96755745212937,0.0,20.0,289.7076423591235,0.0,274.35205747955746,0.009330475349892824
2627,10500,10,788100,0.0,134.33812168351227,0.0,20.0,289.67431170622217,0.0,274.3512880291005,0.007691337788425178
2628,10800,10,788400,0.0,140.94491455319317,0.0,20.0,289.63278566634295,0.0,274.34999999999997,0.008069600302610022
2629,11100,10,788700,0.0,154.15850029255503,0.0,20.0,289.59512754208333,0.0,274.3484224537037,0.008826125330979711
2630,11400,10,789000,0.0,132.1358573936185,0.0,20.0,289.5610280243702,0.0,274.34686447811447,0.007565250283696889
2631,11700,10,789300,0.0,140.94491455319317,0.0,20.0,289.5212238317337,0.0,274.34531534090905,0.008069600302610022
2632,12000,10,789600,0.0,154.15850029255503,0.0,20.0,289.4858213800655,0.0,274.3437643097643,0.008826125330979711
2633,12300,10,789900,0.0,151.95623600266129,0.0,20.0,289.45375622230915,0.0,274.3422006523569,0.008700037826251424
