index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
3900,46800,14,1170000,4.600446428571429,13436.289501677176,301.2426815170799,284.78,75.27664642721824,73.59633027522935,22.0,0.9751607615685292
3901,47100,14,1170300,3.770182291666666,13436.289501677176,301.253981892611,284.8023160766168,68.99490273984043,67.63704128440367,22.0,0.9751607615685292
3902,47400,14,1170600,2.9761904761904754,13432.814898754586,301.26175005219676,284.8192896835471,62.69773631367714,61.669724770642205,22.0,0.9749085865590731
3903,47700,14,1170900,2.2603236607142856,13417.179185602909,301.2656547451845,284.8307608666086,56.57481271935894,55.85837155963303,22.0,0.9737737990165187
3904,48000,14,1171200,1.6644345238095228,13429.340295831977,301.2654197878258,284.83656967161915,50.815797527516445,50.36697247706422,22.0,0.9746564115496155
3905,48300,14,1171500,1.2303757440476186,13394.594266606027,301.27035690084045,284.83655614439647,45.610356308780254,45.35951834862385,22.0,0.9721346614550503
3906,48600,14,1171800,1.0,13403.28077391251,301.2669934131941,284.8305603307583,41.14815463378094,41.0,22.0,0.9727650989786912
3907,48900,14,1172100,0.8840422453703703,13394.594266606027,301.2711878335304,284.8184222765225,36.954425441240815,36.848236281005775,22.0,0.9721346614550503
3908,49200,14,1172400,0.7667824074074074,13373.746649070454,301.2741462686957,284.79998202750676,32.506587559629594,32.43395344886171,22.0,0.9706216113983109
3909,49500,14,1172700,0.650390625,13384.170457838241,301.2727220728128,284.7750796295289,27.922585394199064,27.876003440366972,22.0,0.9713781364266807
3910,49800,14,1173000,0.5370370370370371,13399.806170989921,301.2760417401042,284.74355512840657,23.320363350201017,23.29323819232076,22.0,0.9725129239692352
3911,50100,14,1173300,0.42889178240740744,13408.492678296403,301.2826982928062,284.7052485699577,18.81786583288723,18.80450964152226,22.0,0.9731433614928761
