index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
2551,74100,9,765300,0.0,0.0,20.0,0.0,275.1619597630719,291.3200828215542,99.35582883430564,0.007817425293153447
2552,74400,9,765600,0.0,0.0,20.0,0.0,275.15516339869276,291.2762802027877,91.34326199282944,0.007186987769512045
2553,74700,9,765900,0.0,0.0,20.0,0.0,275.1486121323529,291.23091442901625,96.1508020977152,0.00756525028369689
2554,75000,9,766200,0.0,0.0,20.0,0.0,275.1422630718954,291.18911798799485,100.95834220260096,0.007943512797881734
2555,75300,9,766500,0.0,0.0,20.0,0.0,275.13607332516335,291.14921294249933,94.54828872941987,0.007439162778968602
2556,75600,9,766800,0.0,0.0,20.0,0.0,275.13,291.10697511823525,96.1508020977152,0.00756525028369689
2557,75900,9,767100,0.0,0.0,20.0,0.0,275.124027369281,291.0666066953935,104.1633689391914,0.008195687807338292
2558,76200,9,767400,0.0,0.0,20.0,0.0,275.11815359477123,291.0293250520847,97.75331546601053,0.007691337788425178
2559,76500,9,767700,0.0,0.0,20.0,0.0,275.11235661764704,290.9895356909121,99.35582883430564,0.007817425293153447
2560,76800,9,768000,0.0,0.0,20.0,0.0,275.10661437908493,290.95121733240234,97.75331546601053,0.007691337788425178
2561,77100,9,768300,0.0,0.0,20.0,0.0,275.1009048202614,290.912684775234,100.95834220260096,0.007943512797881734
2562,77400,9,768600,0.0,0.0,20.0,0.0,275.0952058823529,290.8760770474835,92.94577536112477,0.007313075274240333
2563,77700,9,768900,0.0,0.0,20.0,0.0,275.0894955065359,290.8371078465362,102.5608555708963,0.008069600302610022
2564,78000,9,769200,0.0,0.0,20.0,0.0,275.0837516339869,290.80256796072996,97.75331546601053,0.007691337788425178
2565,78300,9,769500,0.0,0.0,20.0,0.0,275.07795220588235,290.76610265645706,94.54828872941987,0.007439162778968602
2566,78600,9,769800,0.0,0.0,20.0,0.0,275.07207516339867,290.7292891709809,112.17593578066781,0.008826125330979711
2567,78900,9,770100,0.0,0.0,20.0,0.0,275.0660984477124,290.6990223965341,107.36839567578205,0.008447862816794867
2568,79200,9,770400,0.0,0.0,20.0,0.0,275.06,290.66504617560895,107.36839567578205,0.008447862816794867
2569,79500,9,770700,0.0,0.0,20.0,0.0,275.0536931216931,290.63146218675877,11590.979192879568,0.9119909216996601
2570,79800,9,771000,0.0,0.0,20.0,0.0,275.0471164021164,294.3532326081336,12469.15651870536,0.9810868742907579
2571,80100,9,771300,0.0,0.0,20.0,0.0,275.0402857142857,296.20526905088394,12433.901224602878,0.9783129491867367
2572,80400,9,771600,0.0,0.0,20.0,0.0,275.0332169312169,296.9893769136751,12421.081117656502,0.9773042491489093
2573,80700,9,771900,0.0,0.0,20.0,0.0,275.0259259259259,297.33750373787854,12430.696197866273,0.978060774177279
2574,81000,9,772200,0.0,0.0,20.0,0.0,275.01842857142856,297.5098059721618,12384.223310185718,0.9744042365401594
2575,81300,9,772500,0.0,0.0,20.0,0.0,275.01074074074074,297.5908967089288,12368.198176502758,0.973143361492876
2576,81600,9,772800,0.0,0.0,20.0,0.0,275.0028783068783,297.6434161274763,12252.8172139855,0.9640650611524397
2577,81900,9,773100,0.0,0.0,20.0,0.0,274.99485714285714,297.6507516521,12251.21470061722,0.9639389736477126
2578,82200,9,773400,0.0,0.0,20.0,0.0,274.9866931216931,297.6752847010074,12196.729246095174,0.9596519984869505
2579,82500,9,773700,0.0,0.0,20.0,0.0,274.9784021164021,297.68882472834173,12143.84630494143,0.9554911108309172
