index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
3408,72000,12,1022400,16500.791132281,299.0498008985563,0.0,0.0,20.5,0.0,280.71,0.9696129113604854
3409,72300,12,1022700,16479.33366656931,299.11450276243784,0.0,0.0,20.5,0.0,280.7043142361111,0.9683520363132019
3410,72600,12,1023000,16466.459187142304,299.15558946576107,0.0,0.0,20.5,0.0,280.698125,0.9675955112848323
3411,72900,12,1023300,16535.123077419663,299.1885032743987,0.0,0.0,20.5,0.0,280.69148437499996,0.9716303114361365
3412,73200,12,1023600,16492.208145996316,299.23570771157574,0.0,0.0,20.5,0.0,280.6844444444444,0.9691085613415715
3413,73500,12,1023900,16535.123077419663,299.2634685106687,0.0,0.0,20.5,0.0,280.67705729166664,0.9716303114361365
3414,73800,12,1024200,1744.4919623594856,299.30104208163266,0.0,0.0,20.5,0.0,280.669375,0.10250914134409286
3415,74100,12,1024500,137.32778055474435,295.9582230415599,0.0,0.0,20.5,0.0,280.6614496527778,0.008069600302610022
3416,74400,12,1024800,154.49375312408728,293.9950002995498,0.0,0.0,20.5,0.0,280.6533333333333,0.009078300340436269
3417,74700,12,1025100,152.3480065529193,293.05101284774156,0.0,0.0,20.5,0.0,280.645078125,0.00895221283570798
3418,75000,12,1025400,15683.261688666036,292.58049058030934,0.0,0.0,20.5,0.0,280.6367361111111,0.92157357205901
3419,75300,12,1025700,16884.879768520037,295.879153746721,0.0,0.0,20.5,0.0,280.628359375,0.992182574706847
3420,75600,12,1026000,16837.673343954335,297.7164163056152,0.0,0.0,20.5,0.0,280.62,0.9894086496028244
3421,75900,12,1026300,16848.402076810195,298.58625694087374,0.0,0.0,20.5,0.0,280.6116666666666,0.9900390871264669
3422,76200,12,1026600,16914.92022051638,299.0140434437756,0.0,0.0,20.5,0.0,280.6033333333333,0.9939477997730425
3423,76500,12,1026900,16940.669179370394,299.24746580033263,0.0,0.0,20.5,0.0,280.59499999999997,0.9954608498297819
3424,76800,12,1027200,17017.916055932437,299.3795578569904,0.0,0.0,20.5,0.0,280.58666666666664,1.0
3425,77100,12,1027500,17009.333069647786,299.4757960867018,0.0,0.0,20.5,0.0,280.5783333333333,0.9994956499810881
3426,77400,12,1027800,1605.0184352335746,299.5354603130708,0.0,0.0,20.5,0.0,280.57,0.09431345353675463
3427,77700,12,1028100,137.32778055474435,296.06410432510336,0.0,0.0,20.5,0.0,280.56166666666667,0.008069600302610022
3428,78000,12,1028400,141.61927369708002,294.0716912752952,0.0,0.0,20.5,0.0,280.5533333333333,0.00832177531206658
3429,78300,12,1028700,143.76502026824798,293.11040813657246,0.0,0.0,20.5,0.0,280.54499999999996,0.008447862816794867
3430,78600,12,1029000,143.76502026824798,292.6318200565557,0.0,0.0,20.5,0.0,280.53666666666663,0.008447862816794867
3431,78900,12,1029300,141.61927369708002,292.37929456881335,0.0,0.0,20.5,0.0,280.5283333333333,0.00832177531206658
3432,79200,12,1029600,133.0362874124084,292.2348072082328,0.0,0.0,20.5,0.0,280.52,0.007817425293153447
3433,79500,12,1029900,130.89054084124072,292.13988378160394,0.0,0.0,20.5,0.0,280.5113483796296,0.007691337788425178
3434,79800,12,1030200,15520.184949257267,292.069638521033,0.0,0.0,20.5,0.0,280.5021759259259,0.9119909216996601
3435,80100,12,1030500,16801.195652244493,295.5254738194323,0.0,0.0,20.5,0.0,280.49265625,0.9872651620224442
3436,80400,12,1030800,16833.38185081201,297.4591318775467,0.0,0.0,20.5,0.0,280.4829629629629,0.9891564745933683
3437,80700,12,1031100,16822.65311795618,298.3949815953718,0.0,0.0,20.5,0.0,280.4732696759259,0.9885260370697275
