index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
519,69300,2,155700,0.0,0.0,24.0,0.0,270.97464206816744,298.90839473492116,14419.935337837842,0.9751607615685292
520,69600,2,156000,0.0,0.0,24.0,0.0,270.93703075120845,298.9302949336793,14416.206365679112,0.9749085865590732
521,69900,2,156300,0.0,0.0,24.0,0.0,270.9042002354588,298.94873516836793,14399.425990964794,0.9737737990165186
522,70200,2,156600,0.0,0.0,24.0,0.0,270.8767666035486,298.9619307139449,14412.47739352036,0.9746564115496156
523,70500,2,156900,0.0,0.0,24.0,0.0,270.8553459381079,298.9820730689324,14375.18767193299,0.9721346614550502
524,70800,2,157200,0.0,0.0,24.0,0.0,270.8405543217669,298.9889743343791,14384.510102329827,0.9727650989786912
525,71100,2,157500,0.0,0.0,24.0,0.0,270.83300783715544,299.0057326788251,14375.18767193299,0.9721346614550502
526,71400,2,157800,0.0,0.0,24.0,0.0,270.8333225669038,299.0203041402182,14352.813838980566,0.9706216113983109
527,71700,2,158100,0.0,0.0,24.0,0.0,270.84211459364195,299.0296528079244,14364.00075545678,0.9713781364266807
528,72000,2,158400,0.0,0.0,24.0,0.0,270.85999999999996,299.04766827182726,14380.781130171097,0.9725129239692352
529,72300,2,158700,0.0,0.0,24.0,0.0,270.8832971590594,299.0714483690905,14390.103560567934,0.9731433614928761
530,72600,2,159000,0.0,0.0,24.0,0.0,270.9077454227173,299.0946965511922,14373.323185853615,0.9720085739503216
531,72900,2,159300,0.0,0.0,24.0,0.0,270.9330923418274,299.10980364071133,14384.510102329827,0.9727650989786912
532,73200,2,159600,0.0,0.0,24.0,0.0,270.9590854672431,299.1299018729489,14429.257768234676,0.9757911990921699
533,73500,2,159900,0.0,0.0,24.0,0.0,270.985472349818,299.1630272208501,14431.122254314054,0.9759172865968988
534,73800,2,160200,0.0,0.0,24.0,0.0,271.0120005404057,299.1876941708469,14455.360573345857,0.9775564241583671
535,74100,2,160500,0.0,0.0,24.0,0.0,271.03841758985976,299.2160299435397,14427.393282155324,0.9756651115874428
536,74400,2,160800,0.0,0.0,24.0,0.0,271.0644710490337,299.22920426718366,14460.954031583962,0.9779346866725519
537,74700,2,161100,0.0,0.0,24.0,0.0,271.0899084687812,299.25525658778025,14442.309170790266,0.9766738116252685
538,75000,2,161400,0.0,0.0,24.0,0.0,271.11447739995566,299.2700308935588,14477.73440629828,0.9790694742151064
539,75300,2,161700,0.0,0.0,24.0,0.0,271.13792539341074,299.29719672620007,14436.715712552159,0.9762955491110836
540,75600,2,162000,0.0,0.0,24.0,0.0,271.15999999999997,299.3052261030453,14475.869920218904,0.9789433867103776
541,75900,2,162300,0.0,0.0,24.0,0.0,271.1814000106263,299.3303550704394,14481.46337845701,0.9793216492245624
542,76200,2,162600,0.0,0.0,24.0,0.0,271.2029432611892,299.35208582517026,14481.46337845701,0.9793216492245624
543,76500,2,162900,0.0,0.0,24.0,0.0,271.2245558700372,299.37128961363885,14483.327864536388,0.9794477367292913
544,76800,2,163200,0.0,0.0,24.0,0.0,271.2461639555188,299.388362310175,14503.837211409435,0.9808346992813017
545,77100,2,163500,0.0,0.0,24.0,0.0,271.2676936359824,299.41148803322204,14541.126932996802,0.9833564493758669
546,77400,2,163800,0.0,0.0,24.0,0.0,271.28907102977666,299.4421121345149,14531.804502599965,0.982726011852226
547,77700,2,164100,0.0,0.0,24.0,0.0,271.31022225525,299.46132497746066,14541.126932996802,0.9833564493758669
548,78000,2,164400,0.0,0.0,24.0,0.0,271.33107343075085,299.48113269698734,14528.075530441236,0.98247383684277
549,78300,2,164700,0.0,0.0,24.0,0.0,271.3515506746278,299.4941801501122,14498.243753171328,0.9804564367671169
550,78600,2,165000,0.0,0.0,24.0,0.0,271.37158010522927,299.4990871309437,14483.327864536388,0.9794477367292913
551,78900,2,165300,0.0,0.0,24.0,0.0,271.3910878409038,299.5047242507832,14516.888613965024,0.9817173118144004
552,79200,2,165600,0.0,0.0,24.0,0.0,271.40999999999997,299.5264183778672,14522.48207220313,0.9820955743285852
553,79500,2,165900,0.0,0.0,24.0,0.0,271.42813520892685,299.54585997832805,14529.940016520588,0.9825999243474971
554,79800,2,166200,0.0,0.0,24.0,0.0,271.44541785375117,299.5652324030615,14535.533474758695,0.982978186861682
555,80100,2,166500,0.0,0.0,24.0,0.0,271.46193269230764,299.58352438169544,14490.785808853845,0.9799520867482032
556,80400,2,166800,0.0,0.0,24.0,0.0,271.4777644824311,299.5850197323043,14457.225059425207,0.9776825116630942
557,80700,2,167100,0.0,0.0,24.0,0.0,271.4929979819563,299.5825494626213,14457.225059425207,0.9776825116630942
558,81000,2,167400,0.0,0.0,24.0,0.0,271.5077179487179,299.5889859674188,14488.921322774493,0.9798259992434761
559,81300,2,167700,0.0,0.0,24.0,0.0,271.5220091405508,299.6102043494178,14501.972725330059,0.9807086117765731
560,81600,2,168000,0.0,0.0,24.0,0.0,271.53595631528964,299.63156652594375,14494.5147810126,0.980204261757661
561,81900,2,168300,0.0,0.0,24.0,0.0,271.5496442307692,299.64563865898157,14529.940016520588,0.9825999243474971
562,82200,2,168600,0.0,0.0,24.0,0.0,271.5631576448243,299.6712262781183,14542.99141907618,0.9834825368805957
563,82500,2,168900,0.0,0.0,24.0,0.0,271.5765813152896,299.6934648563544,14546.720391234907,0.9837347118900517
564,82800,2,169200,0.0,0.0,24.0,0.0,271.59,299.7121432218575,14582.145626742922,0.9861303744798896
565,83100,2,169500,0.0,0.0,24.0,0.0,271.60214004629626,299.7391060687509,14559.771793790496,0.9846173244231502
566,83400,2,169800,0.0,0.0,24.0,0.0,271.61199074074074,299.75080545566084,14585.87459890165,0.9863825494893456
567,83700,2,170100,0.0,0.0,24.0,0.0,271.62003124999995,299.77172420229385,14541.126932996802,0.9833564493758669
568,84000,2,170400,0.0,0.0,24.0,0.0,271.62674074074073,299.77349625586936,14544.855905155557,0.9836086243853246
569,84300,2,170700,0.0,0.0,24.0,0.0,271.6325983796296,299.7827361826671,14582.145626742922,0.9861303744798896
570,84600,2,171000,0.0,0.0,24.0,0.0,271.6380833333333,299.80571694983365,14565.365252028601,0.984995586937335
571,84900,2,171300,0.0,0.0,24.0,0.0,271.6436747685185,299.81726635443806,14524.346558282481,0.9822216618333123
572,85200,2,171600,0.0,0.0,24.0,0.0,271.64985185185185,299.8158204097691,14518.753100044376,0.9818433993191275
573,85500,2,171900,0.0,0.0,24.0,0.0,271.65709375,299.8206103355802,14515.024127885647,0.9815912243096715
574,85800,2,172200,0.0,0.0,24.0,0.0,271.6658796296296,299.82840074397393,14528.075530441236,0.98247383684277
575,86100,2,172500,0.0,0.0,24.0,0.0,271.6766886574074,299.84257125011254,14466.547489822067,0.9783129491867366
576,0,3,172800,0.0,0.0,24.0,0.0,271.69,299.83534796162667,14455.360573345857,0.9775564241583671
577,300,3,173100,0.0,0.0,24.0,0.0,271.7072615412398,299.835891462876,14442.309170790266,0.9766738116252685
578,600,3,173400,0.0,0.0,24.0,0.0,271.72906553716837,299.8389929124657,14421.79982391722,0.975286849073258
579,900,3,173700,0.0,0.0,24.0,0.0,271.75460771276596,299.8407171352658,14455.360573345857,0.9775564241583671
580,1200,3,174000,0.0,0.0,24.0,0.0,271.78308379301285,299.85900610704624,14427.393282155324,0.9756651115874428
581,1500,3,174300,0.0,0.0,24.0,0.0,271.8136895028894,299.86507982610226,14410.612907441006,0.9745303240448883
582,1800,3,174600,0.0,0.0,24.0,0.0,271.8456205673759,299.8692816626018,14403.154963123523,0.9740259740259746
583,2100,3,174900,0.0,0.0,24.0,0.0,271.87807271145255,299.87568177038185,14429.257768234676,0.9757911990921699
584,2400,3,175200,0.0,0.0,24.0,0.0,271.9102416600998,299.89353811040434,1467.3505444631999,0.0992308662211576
585,2700,3,175500,0.0,0.0,24.0,0.0,271.94132313829783,295.6794789884793,123.0560812383369,0.00832177531206658
586,3000,3,175800,0.0,0.0,24.0,0.0,271.97051287102704,293.4554897518007,115.59813692086185,0.007817425293153447
587,3300,3,176100,0.0,0.0,24.0,0.0,271.99700658326765,292.49184912590397,123.0560812383369,0.00832177531206658
588,3600,3,176400,0.0,0.0,24.0,0.0,272.02,292.0534967253457,115.59813692086185,0.007817425293153447
589,3900,3,176700,0.0,0.0,24.0,0.0,272.0406762373217,291.8346171846848,106.27570652401823,0.007186987769512046
590,4200,3,177000,0.0,0.0,24.0,0.0,272.06065698162126,291.70515766937365,115.59813692086185,0.007817425293153447
591,4500,3,177300,0.0,0.0,24.0,0.0,272.079795813315,291.6189694186147,108.14019260338706,0.007313075274240334
592,4800,3,177600,0.0,0.0,24.0,0.0,272.0979463128193,291.547564885929,117.46262300023066,0.007943512797881734
593,5100,3,177900,0.0,0.0,24.0,0.0,272.11496206055057,291.4876020467446,113.73365084149329,0.007691337788425178
594,5400,3,178200,0.0,0.0,24.0,0.0,272.13069663692517,291.4287284695665,104.41122044464939,0.007060900264783758
595,5700,3,178500,0.0,0.0,24.0,0.0,272.14500362235947,291.3694149576879,111.86916476212444,0.00756525028369689
596,6000,3,178800,0.0,0.0,24.0,0.0,272.1577365972699,291.31576146827734,104.41122044464939,0.007060900264783758
597,6300,3,179100,0.0,0.0,24.0,0.0,272.1687491420727,291.26012710388363,108.14019260338706,0.007313075274240334
598,6600,3,179400,0.0,0.0,24.0,0.0,272.17789483718445,291.2082327405234,110.00467868275561,0.007439162778968602
599,6900,3,179700,0.0,0.0,24.0,0.0,272.1850272630214,291.157973832216,108.14019260338706,0.007313075274240334
600,7200,3,180000,0.0,0.0,24.0,0.0,272.19,291.10761372430187,115.59813692086185,0.007817425293153447
601,7500,3,180300,0.0,0.0,24.0,0.0,272.19288599393434,291.06024894094,106.27570652401823,0.007186987769512046
602,7800,3,180600,0.0,0.0,24.0,0.0,272.1939109456851,291.00959540756634,117.46262300023066,0.007943512797881734
603,8100,3,180900,0.0,0.0,24.0,0.0,272.1931575682382,290.96428525414683,106.27570652401823,0.007186987769512046
604,8400,3,181200,0.0,0.0,24.0,0.0,272.1907085745795,290.91478187681986,119.3271090795995,0.008069600302610022
605,8700,3,181500,0.0,0.0,24.0,0.0,272.186646677695,290.8714023036753,115.59813692086185,0.007817425293153447
606,9000,3,181800,0.0,0.0,24.0,0.0,272.1810545905707,290.8259691435004,117.46262300023066,0.007943512797881734
607,9300,3,182100,0.0,0.0,24.0,0.0,272.1740150261924,290.7817738258285,117.46262300023066,0.007943512797881734
608,9600,3,182400,0.0,0.0,24.0,0.0,272.1656106975462,290.73817685538364,106.27570652401823,0.007186987769512046
609,9900,3,182700,0.0,0.0,24.0,0.0,272.15592431761786,290.69128696292637,115.59813692086185,0.007817425293153447
610,10200,3,183000,0.0,0.0,24.0,0.0,272.1450385993934,290.64960827105773,119.3271090795995,0.008069600302610022
611,10500,3,183300,0.0,0.0,24.0,0.0,272.1330362558588,290.60889767718203,111.86916476212444,0.00756525028369689
612,10800,3,183600,0.0,0.0,24.0,0.0,272.12,290.56547812219833,111.86916476212444,0.00756525028369689
613,11100,3,183900,0.0,0.0,24.0,0.0,272.10534839075854,290.5232734805742,123.0560812383369,0.00832177531206658
614,11400,3,184200,0.0,0.0,24.0,0.0,272.0887086004273,290.4856762023467,132.3785116351805,0.00895221283570798
615,11700,3,184500,0.0,0.0,24.0,0.0,272.0704762620192,290.449611225858,136.10748379391816,0.009204387845164556
616,12000,3,184800,0.0,0.0,24.0,0.0,272.05104700854696,290.4127717937735,123.0560812383369,0.00832177531206658
617,12300,3,185100,0.0,0.0,24.0,0.0,272.0308164730235,290.37069117005234,123.0560812383369,0.00832177531206658
618,12600,3,185400,0.0,0.0,24.0,0.0,272.0101802884615,290.3301074286269,139.83645595265554,0.009456562854621112
619,12900,3,185700,0.0,0.0,24.0,0.0,271.9895340878739,290.29662480967147,124.92056731770572,0.008447862816794867
620,13200,3,186000,0.0,0.0,24.0,0.0,271.9692735042735,290.2562087718843,123.0560812383369,0.00832177531206658
621,13500,3,186300,0.0,0.0,24.0,0.0,271.94979417067304,290.2171467397534,124.92056731770572,0.008447862816794867
622,13800,3,186600,0.0,0.0,24.0,0.0,271.93149172008543,290.1798766624345,121.19159515896807,0.008195687807338292
623,14100,3,186900,0.0,0.0,24.0,0.0,271.91476178552347,290.14204502628104,124.92056731770572,0.008447862816794867
624,14400,3,187200,0.0,0.0,24.0,0.0,271.9,290.10682053179795,124.92056731770572,0.008447862816794867
625,14700,3,187500,0.0,0.0,24.0,0.0,271.88749820727656,290.071763720466,121.19159515896807,0.008195687807338292
626,15000,3,187800,0.0,0.0,24.0,0.0,271.8771052234299,290.0358448505466,13532.439964058329,0.9151431093178677
627,15300,3,188100,0.0,0.0,24.0,0.0,271.8685521399456,294.37656425841453,14321.117575631306,0.9684781238179307
628,15600,3,188400,0.0,0.0,24.0,0.0,271.86157004830915,296.4619800114627,14324.846547790035,0.9687302988273867
629,15900,3,188700,0.0,0.0,24.0,0.0,271.855890040006,297.35428415642923,14375.18767193299,0.9721346614550502
630,16200,3,189000,0.0,0.0,24.0,0.0,271.8512432065217,297.76600889136915,14377.052158012368,0.9722607489597792
631,16500,3,189300,0.0,0.0,24.0,0.0,271.8473606393418,297.96043019175255,14347.22038074246,0.9702433488841261
632,16800,3,189600,0.0,0.0,24.0,0.0,271.8439734299517,298.0548652343834,14358.407297218673,0.9709998739124959
633,17100,3,189900,0.0,0.0,24.0,0.0,271.8408126698369,298.1204834023215,14324.846547790035,0.9687302988273867
634,17400,3,190200,0.0,0.0,24.0,0.0,271.83760945048306,298.1580448214581,14369.594213694885,0.9717563989408655
