,alpha
212,1.1856950199819982
213,1.1856950199819982
214,1.1856950199819982
215,1.1856950199819982
216,1.1856950199819982
217,1.1856950199819982
218,1.1795854462357642
219,1.1795854462357642
220,1.1795854462357642
221,1.1735334196998541
222,1.1735334196998541
223,1.1755183168063983
224,1.1692269959179165
225,1.173975151777551
226,1.1722682965775464
227,1.1702363552089459
228,1.1709804169013274
229,1.1709804169013274
230,1.1714455537402122
231,1.1714455537402122
232,1.1720311993086183
233,1.1729509275765497
234,1.1729509275765497
235,1.1729509275765497
236,1.177931693744703
237,1.1742952911363065
238,1.1742952911363065
239,1.1742952911363065
240,1.1742952911363065
241,1.174157055078259
242,1.174157055078259
243,1.174157055078259
244,1.174157055078259
245,1.174157055078259
246,1.1799014185834469
247,1.1799014185834469
248,1.1829306657069167
249,1.1763973129358742
250,1.1763973129358742
251,1.1759175952211884
252,1.1759175952211884
253,1.1695035603338404
254,1.1695035603338404
255,1.1695035603338404
256,1.164210618123432
257,1.1665513720731595
258,1.1692904205675596
259,1.1692904205675596
260,1.1692904205675596
261,1.1692904205675596
262,1.1692904205675596
263,1.1666210855692183
264,1.1666210855692183
265,1.1627941050672743
266,1.1627941050672743
267,1.1637355576953043
268,1.1802532968210242
269,1.1743724271248903
270,1.1743724271248903
271,1.1743724271248903
272,1.1828292905825595
273,1.1828292905825595
274,1.1828292905825595
275,1.1828292905825595
276,1.1828292905825595
277,1.1828292905825595
278,1.1828292905825595
279,1.1927706805476834
280,1.1927706805476834
281,1.1913137454279499
282,1.1761598561766105
283,1.1761598561766105
284,1.1761598561766105
285,1.1761598561766105
286,1.1653169830950798
287,1.1653169830950798
288,1.1731374232469143
289,1.1731374232469143
290,1.1731374232469143
291,1.1731374232469143
292,1.1731374232469143
293,1.1723270634932343
294,1.1747634150320694
295,1.1747634150320694
296,1.1788380600574522
297,1.1788380600574522
298,1.1788380600574522
299,1.1788380600574522
300,1.1805465766087841
301,1.1802871574962812
302,1.1802871574962812
303,1.1802871574962812
304,1.1802871574962812
305,1.1802871574962812
306,1.1774553727347412
307,1.1774553727347412
308,1.1774553727347412
309,1.1772472363064854
310,1.1772472363064854
311,1.1772472363064854
312,1.1772472363064854
313,1.1772472363064854
314,1.1793086811023519
315,1.1629247326940981
316,1.1629247326940981
317,1.1574953585460934
318,1.1683923301549333
319,1.1683923301549333
320,1.1683923301549333
321,1.1683923301549333
322,1.1698333232261677
323,1.177917320981734
324,1.177917320981734
325,1.1699765691773185
326,1.1699765691773185
327,1.1699765691773185
328,1.179031031351595
329,1.1772288679025102
330,1.1711215004484197
331,1.1698745103091936
332,1.1698745103091936
333,1.1698745103091936
334,1.1698745103091936
335,1.1698745103091936
336,1.1698745103091936
337,1.168070322025427
338,1.168070322025427
339,1.1755444514420796
340,1.16338655084525
341,1.1745094902606552
342,1.1745094902606552
343,1.1745094902606552
344,1.1762461894365452
345,1.1762461894365452
346,1.1762461894365452
347,1.1705427643269417
348,1.1705427643269417
349,1.1705427643269417
350,1.1705427643269417
351,1.1705427643269417
352,1.1705427643269417
353,1.173054943974635
354,1.1794294470138615
355,1.1848196914780147
356,1.1835015238744369
357,1.1838473338474826
358,1.1734814615606268
359,1.1785677057510995
360,1.1785677057510995
361,1.1705870497136295
