,alpha
391,0.6657222820873694
392,0.38052245711202276
393,0.6433029987441827
394,0.7820237316076437
395,0.32577058707822304
396,0.32577058707822304
397,0.5137332432001808
398,0.5137332432001808
399,0.5370694132226634
400,0.5370694132226634
401,0.6252663644879163
402,0.8754950354755261
403,0.8754950354755261
404,0.8754950354755261
405,0.8754950354755261
406,0.8754950354755261
407,0.8754950354755261
408,0.5282755567595636
409,0.6888323267852563
410,0.6888323267852563
411,0.3356940761166123
412,0.28842064068373896
413,0.17335929529409075
414,0.2552162881173672
415,0.1469549987483164
416,0.10070812092866593
417,0.35886863169325617
418,0.18529125276181507
419,0.18529125276181507
420,0.35330087223773343
421,0.06524850464823267
422,0.07398291293229911
423,0.07398291293229911
424,0.07398291293229911
425,0.19233027407231615
426,0.28328451571922014
427,0.1380361787730058
428,0.1380361787730058
429,0.26204921092866523
430,0.26204921092866523
431,0.26204921092866523
432,0.19027275207032796
433,0.06964388625809233
434,0.17765730008695285
435,0.17765730008695285
436,0.17765730008695285
437,0.21755023331475976
438,0.3611113776030045
439,0.32377958816540375
440,0.3295208420185711
441,0.7183524827939785
442,0.7823229582176089
443,0.6741403739920002
444,0.7939236519407249
445,0.6145579259400883
446,0.2617506651552563
447,0.3706015606686163
448,0.09279271811982859
449,0.05284405286828292
450,0.1811209645877474
451,0.4780947090807355
452,1.1022006049014808
453,1.2111994929985883
454,1.0103648232845455
455,0.5474293380204789
456,0.8446299836393623
457,0.9216023722750721
458,0.9216023722750721
459,0.835151792049573
460,0.6043268862819511
461,0.8234959743645559
462,0.7801295126753933
463,0.923625287284012
464,0.8508550392408746
465,0.8508550392408746
466,0.807952737520921
467,0.6015110756500082
468,0.06664541558011583
469,0.06664541558011583
470,0.0776541547659686
471,0.0776541547659686
472,0.29394961043422085
473,0.07300566164438427
474,0.055604832485238814
475,0.148861325172173
476,0.148861325172173
477,0.148861325172173
478,0.148861325172173
479,0.2694248708781965
480,0.2694248708781965
481,0.28861026628982617
482,0.28861026628982617
483,0.28861026628982617
484,0.09447567123105094
485,0.1152628273641922
486,0.1152628273641922
487,0.1152628273641922
488,0.20314718063892867
489,0.025986915917347253
490,0.712484274124084
491,0.712484274124084
492,0.6081793761645705
493,0.44028913158368377
494,0.44028913158368377
495,0.21325804629587153
496,0.03786808117095619
497,0.03786808117095619
498,0.1818889981882536
499,0.29448572228169706
500,0.21309469213466564
501,0.1179386468202716
502,0.15318564509600519
503,0.1116890768595416
504,0.1116890768595416
505,0.38719471552929663
506,0.147180097445802
507,0.147180097445802
508,0.3454967529938131
509,0.3454967529938131
510,0.5814181886652645
511,0.5814181886652645
512,0.5532260653095689
513,0.5532260653095689
514,0.6644263691976873
515,0.4391144418016828
516,0.11006447609679271
517,0.11006447609679271
518,0.42311835698450173
519,0.42311835698450173
520,0.42311835698450173
521,0.42311835698450173
522,0.42311835698450173
523,0.42311835698450173
524,0.42311835698450173
525,0.42311835698450173
526,0.42311835698450173
527,0.42311835698450173
528,0.5327485650349801
529,0.5327485650349801
530,0.5327485650349801
531,0.03409657813108058
532,0.149686194541838
533,0.149686194541838
534,0.03720988035505099
535,0.3718542257177988
536,0.3718542257177988
537,0.3718542257177988
538,0.3718542257177988
539,0.3718542257177988
540,0.3482984873324212
541,0.3482984873324212
542,0.3482984873324212
543,0.3482984873324212
544,0.07475470679648333
545,0.28039356585053243
546,0.3284516152865149
547,0.8157289382401742
548,0.701483123756295
549,0.701483123756295
550,0.39910563689280026
551,0.14291818970290632
552,0.35290272239158066
553,0.21133540261637948
554,0.10421685956452045
555,0.03991673780904739
556,0.02115904378351189
557,0.02115904378351189
558,0.1719251891825918
559,0.34699219396384895
560,0.16444255839211944
561,0.09648611989134073
562,0.09648611989134073
563,0.1612262882134798
564,0.08177745327900046
565,0.08177745327900046
566,0.18065155253911194
567,0.2525183361866301
568,0.4802510042420767
569,0.04299513156723944
570,0.04299513156723944
571,0.021057279177748394
572,0.13544012683546197
573,0.13544012683546197
574,0.25308818981752834
575,0.08517715848312843
576,0.18310802397855516
577,0.18310802397855516
578,0.18310802397855516
579,0.18310802397855516
580,0.2527560474556726
581,0.2527560474556726
582,0.37888816402600156
583,0.5913844840366481
584,1.0037333088497513
585,1.0037333088497513
586,1.0037333088497513
587,0.355460114375474
588,0.5364178869801692
589,0.5494831426399689
590,0.5494831426399689
591,0.35682864752451027
592,0.35682864752451027
593,0.35682864752451027
594,1.0537576931327404
595,1.0537576931327404
596,1.2011981697449543
597,0.5322197234188145
598,0.5322197234188145
599,0.13933668666143606
600,0.31443071621065943
601,0.5023650845148814
602,0.4181499049869665
603,0.5684982804084395
604,0.5351078757212675
605,0.6452853170340193
606,0.5140681151105692
607,0.7337057344631396
608,0.5792210874035248
609,0.5625785186909047
610,0.7252383544497302
