,beta
446,0.25168197014332966
447,0.25168197014332966
448,0.25923130207929324
449,0.2526768045848769
450,0.2567668130422683
451,0.2567668130422683
452,0.2526029419786185
453,0.2526029419786185
454,0.2526029419786185
455,0.24459239804932423
456,0.2530552730516656
457,0.2610430694831297
458,0.2610430694831297
459,0.2610430694831297
460,0.2610430694831297
461,0.2610430694831297
462,0.25502006444902253
463,0.256927138004809
464,0.25025666173092037
465,0.25025666173092037
466,0.25409738607661786
467,0.25409738607661786
468,0.25409738607661786
469,0.2510943881224473
470,0.24981923285103594
471,0.24981923285103594
472,0.25258186297863877
473,0.25258186297863877
474,0.25258186297863877
475,0.24820966449551463
476,0.24820966449551463
477,0.24820966449551463
478,0.24681895169377482
479,0.24881441780017025
480,0.24881441780017025
481,0.24881441780017025
482,0.2591815951861479
483,0.2591815951861479
484,0.2591815951861479
485,0.25668996620979817
486,0.25668996620979817
487,0.25668996620979817
488,0.2610900759200905
489,0.2610900759200905
490,0.2656700651679749
491,0.2713287594613516
492,0.2649664223233509
493,0.2649664223233509
494,0.26155069497385075
495,0.26239335956829013
496,0.27091101539971063
497,0.27091101539971063
498,0.27091101539971063
499,0.27091101539971063
500,0.27091101539971063
501,0.27091101539971063
502,0.2655711527420079
503,0.2655711527420079
504,0.2655711527420079
505,0.2644294001665147
506,0.2658565453213814
507,0.2658565453213814
508,0.2658565453213814
509,0.2657673808900599
510,0.2643928204899551
511,0.2670891605842358
512,0.2818696089240715
513,0.2818696089240715
514,0.2818696089240715
515,0.28277041735190406
516,0.28277041735190406
517,0.2859175384669517
518,0.2859175384669517
519,0.2859175384669517
520,0.2859175384669517
521,0.2859175384669517
522,0.291794086932229
523,0.2913846639325886
524,0.2913846639325886
525,0.2913846639325886
526,0.2913846639325886
527,0.2913846639325886
528,0.2903317976769383
529,0.2903317976769383
530,0.2872537930741897
531,0.2823502778304695
532,0.2823502778304695
533,0.27533768022554084
534,0.27533768022554084
535,0.2772546348154358
536,0.2772546348154358
537,0.27045134612154126
538,0.27892148381725235
539,0.27892148381725235
540,0.2731065660328911
541,0.2731065660328911
542,0.2731065660328911
543,0.2787832656230793
544,0.2787832656230793
545,0.2849962233315563
546,0.2744869415190413
547,0.2744869415190413
548,0.25945198329454355
549,0.26137822904190194
550,0.252939685589925
551,0.252939685589925
552,0.252939685589925
553,0.252939685589925
554,0.2577258322549025
555,0.2577258322549025
556,0.2524966296630411
557,0.2524966296630411
558,0.2524966296630411
559,0.2524966296630411
560,0.2590435929252545
561,0.25881962307991474
562,0.25881962307991474
563,0.2576010335697878
564,0.2576010335697878
565,0.2529682398555046
566,0.2675088364363808
567,0.2675088364363808
568,0.2675088364363808
569,0.2651063797399997
570,0.2651063797399997
571,0.2651063797399997
572,0.2651063797399997
573,0.2651063797399997
574,0.2651063797399997
575,0.2726990710043237
576,0.25769750335095254
577,0.26218079761756297
578,0.2589124492227027
579,0.25651673632291594
580,0.25422518431093083
581,0.2526001814680933
582,0.2536396607258236
583,0.2536396607258236
584,0.2536396607258236
585,0.2554112585511331
586,0.25594855912640424
587,0.25594855912640424
588,0.25594855912640424
589,0.26724516130130777
590,0.26724516130130777
591,0.26724516130130777
592,0.2649978952668679
593,0.26630451856810444
594,0.26630451856810444
595,0.26630451856810444
596,0.26630451856810444
597,0.26630451856810444
598,0.26630451856810444
599,0.2692543861411521
600,0.26287292950868096
601,0.26287292950868096
602,0.26287292950868096
603,0.2624923771996192
604,0.2624923771996192
605,0.2624923771996192
606,0.2628068614737468
607,0.2628068614737468
608,0.2628068614737468
609,0.26401587886933126
610,0.26401587886933126
611,0.2616749700828018
612,0.267321074119016
613,0.267321074119016
614,0.2570582424484301
615,0.2570582424484301
616,0.2570582424484301
617,0.25900867710483
618,0.24872413255475337
619,0.24872413255475337
620,0.24872413255475337
621,0.2450452551358048
622,0.2445697478338641
623,0.2609958292777565
624,0.26027252251357647
625,0.2555476387102942
626,0.2503450471290651
627,0.2503450471290651
628,0.2503450471290651
629,0.25744361654858483
630,0.2588702379952407
631,0.26116221881502094
632,0.25516594550377947
633,0.25516594550377947
634,0.2631747835935777
635,0.2631747835935777
636,0.2631747835935777
637,0.2594501004695038
638,0.2594501004695038
639,0.2588237800460696
640,0.26358920724139284
641,0.26358920724139284
642,0.26358920724139284
643,0.26358920724139284
644,0.26358920724139284
645,0.26358920724139284
646,0.25443813849286734
647,0.25443813849286734
648,0.25443813849286734
649,0.2625597933685414
650,0.2625597933685414
651,0.2688511062540059
652,0.25825343235420517
653,0.273758937559545
654,0.273758937559545
655,0.273758937559545
656,0.273758937559545
657,0.273758937559545
658,0.273758937559545
659,0.273758937559545
660,0.2729539559383141
661,0.2721309375421455
662,0.2734654019483536
663,0.2734654019483536
664,0.2755579742142862
665,0.27267861253558556
666,0.27267861253558556
667,0.27267861253558556
668,0.27267861253558556
669,0.27267861253558556
670,0.2691087255267762
671,0.2691087255267762
672,0.2691087255267762
673,0.2623828144629341
674,0.26824059422384094
675,0.26824059422384094
676,0.2592909190937119
677,0.25198506505261403
678,0.25717268673694615
679,0.2607573575219426
680,0.2607573575219426
681,0.2588270117343302
682,0.24954208530308297
683,0.2531684853908034
684,0.2531684853908034
685,0.2531684853908034
686,0.2531684853908034
687,0.2531684853908034
688,0.24971014453686602
689,0.24971014453686602
690,0.24971014453686602
691,0.24971014453686602
692,0.24971014453686602
693,0.25849205255906743
694,0.25849205255906743
695,0.25849205255906743
696,0.25849205255906743
697,0.2484597149415731
698,0.2484597149415731
699,0.2484597149415731
700,0.2511328317356488
701,0.2511328317356488
702,0.2529132639175184
703,0.2589593063501297
704,0.2513450416683216
705,0.2513450416683216
706,0.2513450416683216
707,0.2510340670864042
708,0.2479659402947689
709,0.2479659402947689
710,0.2479659402947689
711,0.2479659402947689
712,0.25340104462844937
713,0.25340104462844937
714,0.25340104462844937
715,0.2448919830038151
716,0.2448919830038151
717,0.2448919830038151
718,0.2448919830038151
719,0.25521815909123846
720,0.25521815909123846
721,0.25521815909123846
722,0.25319676370037486
723,0.25319676370037486
724,0.25319676370037486
725,0.25319676370037486
726,0.25319676370037486
727,0.25319676370037486
728,0.2544417458190056
729,0.2564147613288673
730,0.2564147613288673
731,0.2564147613288673
732,0.2595070623167895
733,0.2595070623167895
734,0.2595070623167895
735,0.25920330058228264
736,0.26045665204079665
737,0.2562830252703624
738,0.2562830252703624
739,0.25462072076664655
740,0.25462072076664655
741,0.25462072076664655
742,0.25462072076664655
743,0.25462072076664655
744,0.25462072076664655
745,0.25462072076664655
746,0.25462072076664655
747,0.25462072076664655
748,0.25462072076664655
749,0.25462072076664655
750,0.25462072076664655
751,0.25462072076664655
752,0.25996157899221917
753,0.2656232261672721
754,0.26358061439579283
755,0.26523554519162085
756,0.26200001267735223
757,0.2575006066451679
758,0.2560058629460102
759,0.2560058629460102
760,0.263408729448555
761,0.26573676417510667
762,0.26573676417510667
763,0.26573676417510667
764,0.26573676417510667
765,0.2674887944909021
766,0.26298222321373627
767,0.26298222321373627
768,0.26298222321373627
769,0.26298222321373627
770,0.2718238846046771
771,0.26770399147784324
772,0.26770399147784324
773,0.26770399147784324
774,0.2687645458482052
775,0.27239803115630185
776,0.27239803115630185
777,0.26300436399971205
778,0.25950213110999293
779,0.25933414707973507
780,0.25933414707973507
781,0.25933414707973507
782,0.25933414707973507
783,0.25933414707973507
784,0.25933414707973507
785,0.2596909967462851
786,0.258119735354584
787,0.258119735354584
788,0.258119735354584
789,0.2697035388578923
790,0.2697035388578923
791,0.26952743021444325
792,0.26099454120464183
793,0.25605350635814905
794,0.25605350635814905
795,0.25798884867766547
796,0.25798884867766547
797,0.25798884867766547
798,0.26125532858670514
799,0.2586567502281166
800,0.24867861265769603
801,0.25767287314391923
802,0.25767287314391923
803,0.2663756791253712
804,0.2663756791253712
805,0.2663756791253712
806,0.2702176543945876
807,0.2702176543945876
808,0.2686047043586636
809,0.2686047043586636
810,0.2686047043586636
811,0.27000026168008895
812,0.27000026168008895
813,0.26714617244865685
814,0.26215556373561055
815,0.26215556373561055
816,0.25513520146460833
817,0.25513520146460833
818,0.25513520146460833
819,0.25513520146460833
820,0.25513520146460833
821,0.24908173456506913
