,beta
257,1.787227028898248
258,1.787227028898248
259,1.8173104801447622
260,1.903985995912274
261,1.9017398486899397
262,1.6451800984925065
263,1.9211490030449676
264,1.9203618024202118
265,1.4081530132218765
266,1.2634749345522918
267,1.1453441859772775
268,1.3006234286005942
269,1.633751506087622
270,1.3890674049053309
271,1.566409191430643
272,1.8867494271454976
273,1.8678724478673032
274,1.935238265720917
275,1.7853869946085799
276,1.6856189058670492
277,1.4498331120359196
278,1.5800495275801658
279,1.5800495275801658
280,1.806499985514522
281,1.806499985514522
282,1.8940186427213175
283,1.9585531997410004
284,1.9982704492749903
285,1.3858661120855107
286,1.8743435644078306
287,1.9984381418623798
288,1.8842752047905216
289,1.8842752047905216
290,1.8842752047905216
291,1.7409468781096065
292,1.7532295421894468
293,1.978045092798972
294,1.4498653675091373
295,1.4498653675091373
296,1.900338728011029
297,1.4819668501249734
298,1.4819668501249734
299,1.25697147568599
300,1.0668049318581456
301,0.9888609567117818
302,0.9888609567117818
303,0.9888609567117818
304,0.8552229341016635
305,0.7204435217582776
306,0.6348103787176972
307,0.6684295606685626
308,0.5838936084025496
309,0.5838936084025496
310,0.5836551365030266
311,0.5836551365030266
312,0.8364653143271348
313,0.44358040070567956
314,0.8706067984326329
315,0.8706067984326329
316,0.8706067984326329
317,0.8706067984326329
318,0.579376952376632
319,0.4412561980570665
320,0.475285451586066
321,0.5619684780700116
322,0.5621000038251345
323,0.47147034778357405
324,0.47147034778357405
325,0.8451257332935085
326,0.8451257332935085
327,0.7775966744623871
328,0.7856864851374881
329,1.282875686067818
330,1.6658581156799848
331,1.5704521143355545
332,1.5704521143355545
333,1.5299320332723207
334,1.5299320332723207
335,1.5299320332723207
336,1.5299320332723207
337,1.5299320332723207
338,1.5299320332723207
339,1.5299320332723207
340,1.129904462925784
341,1.0139158720995831
342,1.0139158720995831
343,0.617594489699199
344,0.617594489699199
345,1.1447450180486292
346,1.0721852030354277
347,0.9629037965882553
348,0.8279645302620826
