index,seconds_of_day,day_of_year,timestamp,T_out,weaBus.HDirNor,T_in,HGloHor,heatPower,roomTempUpperSetpoint,weaBus.HDifHor,u
3831,26100,14,1149300,280.9794921875,0.0,295.1202440687167,0.0,10158.568878188331,22.5,0.0,0.5297559312832618
3832,26400,14,1149600,280.96018518518514,0.0,295.1206788594579,0.0,10150.231356263763,22.5,0.0,0.5293211405420948
3833,26700,14,1149900,280.9426142939815,0.0,295.1210973223228,0.0,10142.206936743338,22.5,0.0,0.5289026776771948
3834,27000,14,1150200,280.9265625,0.0,295.1214977610297,0.0,10134.528147426936,22.5,0.0,0.5285022389703045
3835,27300,14,1150500,280.9118127893518,0.0,295.1218787288348,0.008156966490299823,10127.222730988204,22.5,0.008156966490299823,0.5281212711651619
3836,27600,14,1150800,280.89814814814815,0.0,295.1222414239868,0.03218694885361552,10120.267709882115,22.5,0.03218694885361552,0.5277585760131842
3837,27900,14,1151100,280.8853515625,0.0,295.1225938834578,0.07142857142857141,10113.508967598136,22.5,0.07142857142857141,0.5274061165421813
3838,28200,14,1151400,280.8732060185185,0.0,295.1229393763378,0.12522045855379188,10106.883816257381,22.5,0.12522045855379188,0.5270606236621802
3839,28500,14,1151700,280.86149450231477,0.0,295.1232720394851,0.1929012345679012,10100.504687123985,22.5,0.1929012345679012,0.5267279605149042
3840,28800,14,1152000,280.84999999999997,0.0,295.12359187289974,0.2738095238095238,10094.371580195771,22.5,0.2738095238095238,0.5264081271002397
3841,29100,14,1152300,280.83927951388887,0.0,295.1238988765817,0.3672839506172839,10088.484495474917,22.5,0.3672839506172839,0.5261011234183002
3842,29400,14,1152600,280.8298611111111,0.0,295.124201647132,0.4726631393298059,10082.678585039403,22.5,0.4726631393298059,0.5257983528679802
3843,29700,14,1152900,280.82148437499995,0.0,295.1245056656363,0.5892857142857142,10076.84874391062,22.5,0.5892857142857142,0.5254943343636569
3844,30000,14,1153200,280.81388888888887,0.0,295.1248033234644,0.716490299823633,10071.140874739122,22.5,0.716490299823633,0.525196676535586
3845,30300,14,1153500,280.8068142361111,0.0,295.1250946206162,0.8536155202821867,10065.554977524907,22.5,0.8536155202821867,0.5249053793837675
3846,30600,14,1153800,280.79999999999995,0.0,295.1253795570917,1.0,10060.091052269068,22.5,1.0,0.5246204429082582
3847,30900,14,1154100,280.79318576388886,0.0,295.12572568098153,1.2761105599647267,10053.453800720925,22.5,1.2761105599647267,0.5242743190184456
3848,31200,14,1154400,280.7861111111111,0.0,295.126195155048,1.7981701940035273,10044.451193371173,22.5,1.7981701940035273,0.5238048449519965
3849,31500,14,1154700,280.77851562499995,0.0,295.1267153410753,2.5591517857142856,10034.476136414252,22.5,2.5591517857142856,0.5232846589246947
3850,31800,14,1155000,280.7701388888889,0.0,295.1272862390635,3.5520282186948853,10023.528629849072,22.5,3.5520282186948853,0.5227137609364831
3851,32100,14,1155300,280.7607204861111,0.0,295.12790784901256,4.769772376543209,10011.608673676727,22.5,4.769772376543209,0.5220921509874188
3852,32400,14,1155600,280.75,0.0,295.128581686367,6.205357142857142,9998.687207821305,22.5,6.205357142857142,0.521418313632978
3853,32700,14,1155900,280.73170572916666,0.0,295.12930968272116,7.851755401234566,9984.72719214226,22.5,7.851755401234566,0.5206903172788202
3854,33000,14,1156200,280.70156249999997,0.0,295.13008984736916,9.701940035273365,9969.76680029936,22.5,9.701940035273365,0.5199101526308141
3855,33300,14,1156500,280.66230468749995,0.0,295.13092218031113,11.748883928571425,9953.806032290426,22.5,11.748883928571425,0.5190778196888459
3856,33600,14,1156800,280.6166666666666,0.0,295.13180668154695,13.98555996472663,9936.84488811764,22.5,13.98555996472663,0.5181933184530294
3857,33900,14,1157100,280.5673828125,0.0,295.1327549455576,16.40494102733686,9918.661032688586,22.5,16.40494102733686,0.5172450544423555
3858,34200,14,1157400,280.5171875,0.0,295.13378705300073,19.0,9898.869400483325,22.5,19.0,0.5162129469992465
3859,34500,14,1157700,280.46881510416665,0.0,295.1348842113528,21.78295396090535,9877.83035583705,22.5,21.78295396090535,0.5151157886471651
3860,34800,14,1158000,280.42499999999995,0.0,295.13604642061387,24.748199588477366,9855.543898749758,22.5,24.748199588477366,0.5139535793861114
3861,35100,14,1158300,280.3884765625,0.0,295.13727368078395,27.861979166666664,9832.01002922036,22.5,27.861979166666664,0.5127263192160285
3862,35400,14,1158600,280.36197916666663,0.0,295.13862330140546,31.09053497942387,9806.129782802298,22.5,31.09053497942387,0.5113766985945176
3863,35700,14,1158900,280.3482421875,0.0,295.14027649823976,34.40010931069959,9774.428176612195,22.5,34.40010931069959,0.5097235017602202
3864,36000,14,1159200,280.34999999999997,0.0,295.1421428246164,37.75694444444445,9738.639610733058,22.5,37.75694444444445,0.507857175383549
3865,36300,14,1159500,280.36330295138885,0.0,295.14411944838906,41.127282664609055,9700.735988414133,22.5,41.127282664609055,0.5058805516109146
3866,36600,14,1159800,280.3817708333333,0.0,295.1462249923993,44.477366255144034,9660.360199128763,22.5,44.477366255144034,0.503775007600666
3867,36900,14,1160100,280.40449218749995,0.0,295.1483769663707,47.7734375,9619.094071613725,22.5,47.7734375,0.5016230336293006
3868,37200,14,1160400,280.43055555555554,0.0,295.15044008987036,50.981738683127574,9579.531735567854,22.5,50.981738683127574,0.4995599101296193
3869,37500,14,1160700,280.45904947916665,0.0,295.1524925860547,54.06851208847737,9540.173188302288,22.5,54.06851208847737,0.49750741394529996
3870,37800,14,1161000,280.4890625,0.0,295.15446424711445,57.0,9502.36473067616,22.5,57.0,0.4955357528855302
3871,38100,14,1161300,280.5196831597222,0.0,295.1563844715659,59.83088991769547,9465.542618454754,22.5,59.87247942386831,0.49361552843407713
3872,38400,14,1161600,280.54999999999995,0.0,295.1582982780723,62.63477366255144,9428.843576373385,22.5,62.78600823045267,0.4917017219276545
3873,38700,14,1161900,280.5791015625,0.0,295.16023254884044,65.40625,9391.752112801867,22.5,65.7125,0.4897674511595369
3874,39000,14,1162200,280.6060763888889,0.0,295.1621604140431,68.13991769547326,9354.783481980145,22.5,68.6238683127572,0.48783958595686266
3875,39300,14,1162500,280.6300130208333,0.0,295.16404209455,70.83037551440329,9318.700486194757,22.5,71.4920267489712,0.4859579054499932
3876,39600,14,1162800,280.65,0.0,295.1658957792803,73.47222222222223,9283.154335790157,22.5,74.28888888888889,0.48410422071970055
3877,39900,14,1163100,280.6672236689815,0.0,295.1676850084534,76.06005658436214,9248.844181394734,22.5,76.98636831275721,0.4823149915465592
3878,40200,14,1163400,280.6836226851852,0.0,295.1694062639477,78.58847736625515,9215.837486305832,22.5,79.55637860082305,0.48059373605229894
3879,40500,14,1163700,280.69941406249995,0.0,295.17105915529453,81.05208333333334,9184.141738125216,22.5,81.97083333333333,0.4789408447054484
3880,40800,14,1164000,280.7148148148148,0.0,295.17261886561204,83.4454732510288,9154.232823935152,22.5,84.20164609053498,0.47738113438794016
3881,41100,14,1164300,280.7300419560185,0.0,295.1740980911292,85.76324588477367,9125.867281587534,22.5,86.2207304526749,0.4759019088707533
3882,41400,14,1164600,280.74531249999995,0.0,295.1754766592338,88.0,9099.431939920067,22.5,88.0,0.47452334076615443
3883,41700,14,1164900,280.7608434606481,0.0,295.1767631420666,90.02678517919213,9074.762420060946,22.5,89.58203703703704,0.4732368579333866
3884,42000,14,1165200,280.7768518518518,0.0,295.1779594938692,91.75059930480643,9051.821247585787,22.5,91.04074074074074,0.4720405061307816
3885,42300,14,1165500,280.7935546875,0.0,295.1790733145129,93.21996359223301,9030.462687806155,22.5,92.395,0.47092668548708616
3886,42600,14,1165800,280.81116898148144,0.0,295.1802056853655,94.48339925686204,9008.748410301416,22.5,93.6637037037037,0.4697943146344983
