index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
952,26400,4,285600,33.139214715844744,266.9141579450305,25.909275243988525,293.83211060528197,50.0875220428277,119.77148884773784,23.0,0.007691337788425178
953,26700,4,285900,35.059671677401035,266.9792412640607,26.33401746110305,293.9223872153286,54.16543639442929,123.5730582474459,23.0,0.007817425293153447
954,27000,4,286200,37.0,267.0626186264799,26.33401746110305,294.00258146677254,58.20778508125872,122.01,23.0,0.007817425293153447
955,27300,4,286500,40.28713445389038,267.1636282874279,25.484533026873937,294.076360006348,63.00464156531292,117.28505660202718,23.0,0.00756525028369689
956,27600,4,286800,45.92263081208362,267.2816085020448,27.608244112446744,294.32786142552965,69.16807952267138,112.29110050388138,23.0,0.008195687807338292
957,27900,4,287100,53.413591351258475,267.4158975254705,28.882470763790444,294.568072189699,76.39042123647309,107.07560515550394,23.0,0.008573950321523137
958,28200,4,287400,62.26711834809371,267.5658336128449,25.484533026873937,294.8111209925798,84.36398898985706,101.68604400683617,23.0,0.00756525028369689
959,28500,4,287700,71.99031407926809,267.7307550193081,24.21030637553024,295.0672336920071,92.78110506596231,96.16989050781936,23.0,0.007186987769512046
960,28800,4,288000,82.09028082146034,267.90999999999997,26.33401746110305,295.46597888281667,101.33409174792787,90.57461810839487,23.0,0.007817425293153447
961,29100,4,288300,92.07412085134925,268.10585196001267,25.05979080975935,295.93932195386924,109.71527131889275,84.947700258504,23.0,0.007439162778968602
962,29400,4,288600,101.44893644561355,268.3183937867055,28.882470763790444,296.3577458930745,117.61696606199594,79.33661040808806,23.0,0.008573950321523137
963,29700,4,288900,109.72182988093205,268.5436629586192,28.457728546675916,296.7378675546786,124.73149826037647,73.78882200708838,23.0,0.008447862816794867
964,30000,4,289200,116.39990343398343,268.7776969542945,25.05979080975935,297.07520835593346,130.75119019717334,68.35180850544626,23.0,0.007439162778968602
965,30300,4,289500,120.99025938144648,269.0165332522721,29.731955198019612,297.3576891679954,135.3683641555256,63.07304335310304,23.0,0.008826125330979711
966,30600,4,289800,123.0,269.25620933109275,26.758759678217633,297.57624187779487,138.27534241857222,58.0,23.0,0.007943512797881734
967,30900,4,290100,122.80608843630239,269.49276266929706,29.307212980905028,297.71422283225013,138.96702751280336,52.69575939080694,23.0,0.008700037826251424
968,31200,4,290400,121.27873509520444,269.72223074542586,28.032986329561332,297.78087579452193,137.41220912772314,46.82265096735766,23.0,0.00832177531206658
969,31500,4,290700,118.66491314067339,269.94065103801984,28.032986329561332,297.67758000424357,134.0140402909916,40.57702092533955,23.0,0.00832177531206658
970,31800,4,291000,115.2115957366765,270.14406102561975,30.156697415134136,297.33897139369293,129.1756740302687,34.155215460440026,23.0,0.00895221283570798
971,32100,4,291300,111.16575604718099,270.3284981867662,26.758759678217633,296.73688419369995,123.30026337321453,27.753580768346463,23.0,0.007943512797881734
972,32400,4,291600,106.77436723615412,270.48999999999995,28.882470763790444,296.1181520136911,116.79096134748906,21.568463044746274,23.0,0.008573950321523137
973,32700,4,291900,102.28440246756314,270.63750500425033,27.608244112446744,295.6125075899698,110.05092098075231,15.796208485326844,23.0,0.008195687807338292
