index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
2173,47100,8,651900,0.0,5191.468554573962,298.4402002194716,282.80050925925923,27.714506172839506,27.714506172839506,23.0,0.9620476610767885
2174,47400,8,652200,0.0,5261.549978049856,298.46962659308747,282.7901851851852,25.627160493827162,25.627160493827162,23.0,0.9750346740638003
2175,47700,8,652500,0.0,526.6312793237541,298.5058665391747,282.77875,23.6,23.6,23.0,0.09759172865968989
2176,48000,8,652800,0.0,41.50453234980495,297.39044397571183,282.7659259259259,21.645061728395063,21.645061728395063,23.0,0.007691337788425178
2177,48300,8,653100,0.0,40.82413018013598,296.5861635366172,282.7514351851852,19.77438271604938,19.77438271604938,23.0,0.0075652502836968906
2178,48600,8,653400,0.0,43.545738858811745,296.08667115368127,282.73499999999996,18.0,18.0,23.0,0.008069600302610022
2179,48900,8,653700,0.0,39.46332584079815,295.7701697636703,282.7163425925926,16.36699967511371,16.36699967511371,23.0,0.007313075274240333
2180,49200,8,654000,0.0,38.78292367112918,295.5657350503079,282.69518518518515,14.901884340480832,14.901884340480832,23.0,0.007186987769512046
2181,49500,8,654300,0.0,40.82413018013598,295.4310941351261,282.67125,13.588815789473683,13.588815789473683,23.0,0.0075652502836968906
2182,49800,8,654600,0.0,42.86533668914278,295.3392960263058,282.64425925925923,12.411955815464587,12.411955815464587,23.0,0.007943512797881734
2183,50100,8,654900,0.0,4756.691568155514,295.2764333778221,282.61393518518514,11.35546621182586,11.35546621182586,23.0,0.8814777455554166
2184,50400,8,655200,0.0,5187.386141555949,296.3565793565387,282.58,10.403508771929825,10.403508771929825,23.0,0.9612911360484188
2185,50700,8,655500,0.0,5164.932869956873,297.12265351268957,282.5434706257982,9.5402452891488,9.5402452891488,23.0,0.9571302483923854
2186,51000,8,655800,0.0,5154.726837411839,297.58819132497274,282.5056002554278,8.7498375568551,8.7498375568551,23.0,0.9552389358214612
2187,51300,8,656100,0.0,425.9317582127517,297.8727241747316,282.4664655172414,8.016447368421055,8.016447368421055,23.0,0.07893077795990415
2188,51600,8,656400,0.0,43.545738858811745,296.9143195740169,282.4261430395913,7.324236517218976,7.324236517218976,23.0,0.008069600302610022
2189,51900,8,656700,0.0,38.78292367112918,296.2312752485509,282.38470945083014,6.6573667966211865,6.6573667966211865,23.0,0.007186987769512046
2190,52200,8,657000,0.0,41.50453234980495,295.8051918970711,282.34224137931034,6.0,6.0,23.0,0.007691337788425178
2191,52500,8,657300,0.0,4781.186046263595,295.5363783200046,282.2988154533844,5.329130116959065,5.329130116959065,23.0,0.8860168957256347
2192,52800,8,657600,0.0,5165.613272126536,296.4990063126331,282.2545083014048,4.6418128654970765,4.6418128654970765,23.0,0.9572563358971125
2193,53100,8,657900,0.0,5141.799196188127,297.181598931203,282.2093965517241,3.9523026315789473,3.9523026315789473,23.0,0.9528432732316234
