index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
1173,6300,5,351900,289.6599774093257,107.9613560053747,0.0,0.0,0.0,21.0,266.9923023538961,0.00803125550950552
1174,6600,5,352200,289.6389663393666,107.9613560053747,0.0,0.0,0.0,21.0,266.98244167869166,0.00803125550950552
1175,6900,5,352500,289.6181213354236,107.9613560053747,0.0,0.0,0.0,21.0,266.9717478505291,0.00803125550950552
1176,7200,5,352800,289.59740143939354,107.9613560053747,0.0,0.0,0.0,21.0,266.96,0.00803125550950552
1177,7500,5,353100,289.57681639847175,107.9613560053747,0.0,0.0,0.0,21.0,266.9475301932367,0.00803125550950552
1178,7800,5,353400,289.5563569474898,107.9613560053747,0.0,0.0,0.0,21.0,266.93483201581023,0.00803125550950552
1179,8100,5,353700,289.5360339671521,107.9613560053747,0.0,0.0,0.0,21.0,266.92192687747036,0.00803125550950552
1180,8400,5,354000,289.5158452106111,107.9613560053747,0.0,0.0,0.0,21.0,266.9088361879666,0.00803125550950552
1181,8700,5,354300,289.49577993349516,107.9613560053747,0.0,0.0,0.0,21.0,266.89558135704874,0.00803125550950552
1182,9000,5,354600,289.4758335378433,107.9613560053747,0.0,0.0,0.0,21.0,266.88218379446636,0.00803125550950552
1183,9300,5,354900,289.4560262080027,107.9613560053747,0.0,0.0,0.0,21.0,266.86866490996925,0.00803125550950552
1184,9600,5,355200,289.4363507798945,107.9613560053747,0.0,0.0,0.0,21.0,266.85504611330697,0.00803125550950552
1185,9900,5,355500,289.41680454512317,107.9613560053747,0.0,0.0,0.0,21.0,266.8413488142292,0.00803125550950552
1186,10200,5,355800,289.39738684638615,107.9613560053747,0.0,0.0,0.0,21.0,266.82759442248573,0.00803125550950552
1187,10500,5,356100,289.37809166452433,107.9613560053747,0.0,0.0,0.0,21.0,266.8138043478261,0.00803125550950552
1188,10800,5,356400,289.3589203621001,107.9613560053747,0.0,0.0,0.0,21.0,266.79999999999995,0.00803125550950552
1189,11100,5,356700,289.3398717104825,107.9613560053747,0.0,0.0,0.0,21.0,266.78577486592155,0.00803125550950552
1190,11400,5,357000,289.3209304649409,107.9613560053747,0.0,0.0,0.0,21.0,266.7705471628592,0.00803125550950552
1191,11700,5,357300,289.3020411355705,107.9613560053747,0.0,0.0,0.0,21.0,266.7540753960943,0.00803125550950552
1192,12000,5,357600,289.28321899258964,107.9613560053747,0.0,0.0,0.0,21.0,266.73611807090805,0.00803125550950552
1193,12300,5,357900,289.26445259141946,107.9613560053747,0.0,0.0,0.0,21.0,266.71643369258163,0.00803125550950552
1194,12600,5,358200,289.24571117745245,107.9613560053747,0.0,0.0,0.0,21.0,266.69478076639643,0.00803125550950552
1195,12900,5,358500,289.2269542248031,107.9613560053747,0.0,0.0,0.0,21.0,266.67091779763365,0.00803125550950552
1196,13200,5,358800,289.208178843305,107.9613560053747,0.0,0.0,0.0,21.0,266.6446032915745,0.00803125550950552
1197,13500,5,359100,289.18936601016964,107.9613560053747,0.0,0.0,0.0,21.0,266.6155957535004,0.00803125550950552
1198,13800,5,359400,289.17046896780124,107.9613560053747,0.0,0.0,0.0,21.0,266.5836536886924,0.00803125550950552
1199,14100,5,359700,289.1514536858127,107.9613560053747,0.0,0.0,0.0,21.0,266.5485356024318,0.00803125550950552
1200,14400,5,360000,289.1323049135462,107.9613560053747,0.0,0.0,0.0,21.0,266.51,0.00803125550950552
1201,14700,5,360300,289.11299647132574,107.9613560053747,0.0,0.0,0.0,21.0,266.4610765103279,0.00803125550950552
1202,15000,5,360600,289.0931744141779,107.9613560053747,0.0,0.0,0.0,21.0,266.3963499536663,0.00803125550950552
1203,15300,5,360900,289.0728078892129,107.9613560053747,0.0,0.0,0.0,21.0,266.31791162227603,0.00803125550950552
1204,15600,5,361200,289.0518586743545,107.9613560053747,0.0,0.0,0.0,21.0,266.22785280841777,0.00803125550950552
1205,15900,5,361500,289.0302425354818,107.9613560053747,0.0,0.0,0.0,21.0,266.12826480435234,0.00803125550950552
1206,16200,5,361800,289.0082977711384,107.9613560053747,0.0,0.0,0.0,21.0,266.0212389023406,0.00803125550950552
1207,16500,5,362100,288.98580751106,107.9613560053747,0.0,0.0,0.0,21.0,265.9088663946432,0.00803125550950552
1208,16800,5,362400,288.96274647307627,107.9613560053747,0.0,0.0,0.0,21.0,265.793238573521,0.00803125550950552
1209,17100,5,362700,288.9391970438354,107.9613560053747,0.0,0.0,0.0,21.0,265.6764467312348,0.00803125550950552
1210,17400,5,363000,288.9157264686175,107.9613560053747,0.0,0.0,0.0,21.0,265.56058216004544,0.00803125550950552
1211,17700,5,363300,288.8921287628531,107.9613560053747,0.0,0.0,0.0,21.0,265.4477361522135,0.00803125550950552
1212,18000,5,363600,288.8684823304724,107.9613560053747,0.0,0.0,0.0,21.0,265.34,0.00803125550950552
1213,18300,5,363900,288.8446906847027,107.9613560053747,0.0,0.0,0.0,21.0,265.22716577431925,0.00803125550950552
1214,18600,5,364200,288.82048391719894,12165.62599763304,0.0,0.0,0.0,21.0,265.09971777482133,0.9050020714375784
1215,18900,5,364500,291.35027377204733,13106.377051781352,0.0,0.0,0.0,21.0,264.96078563687036,0.974984631552196
1216,19200,5,364800,292.9791342710374,13106.377051781352,0.0,0.0,0.0,21.0,264.8134989958304,0.974984631552196
1217,19500,5,365100,293.90533828852676,13106.377051781352,0.0,0.0,0.0,21.0,264.66098748706554,0.974984631552196
1218,19800,5,365400,294.4373876319628,13106.377051781352,0.0,0.0,0.0,21.0,264.50638074593996,0.974984631552196
1219,20100,5,365700,294.749766653968,13106.377051781352,0.0,0.0,0.0,21.0,264.35280840781775,0.974984631552196
1220,20400,5,366000,294.93496072306687,13106.377051781352,0.0,0.0,0.0,21.0,264.2034001080629,0.974984631552196
1221,20700,5,366300,295.0477323765579,13106.377051781352,0.0,0.0,0.0,21.0,264.06128548203964,0.974984631552196
1222,21000,5,366600,295.1215134259508,13106.377051781352,0.0,0.0,0.0,21.0,263.92959416511195,0.974984631552196
1223,21300,5,366900,295.1741381049608,13106.377051781352,0.0,0.0,0.0,21.0,263.81145579264404,0.974984631552196
1224,21600,5,367200,295.21525286122176,13106.377051781352,0.0,0.0,0.0,21.0,263.71,0.974984631552196
1225,21900,5,367500,295.2503241303527,13106.377051781352,0.0,0.0,0.0,21.0,263.6747227921332,0.974984631552196
1226,22200,5,367800,295.28436958538197,13106.377051781352,0.0,0.0,0.0,21.0,263.74102998155286,0.974984631552196
1227,22500,5,368100,295.3195373053062,13106.377051781352,0.0,0.0,0.0,21.0,263.89091591495674,0.974984631552196
1228,22800,5,368400,295.35700129029385,13106.377051781352,0.0,0.0,0.0,21.0,264.10637493904244,0.974984631552196
1229,23100,5,368700,295.3971160684346,13106.377051781352,0.0,0.0,0.0,21.0,264.3694014005078,0.974984631552196
1230,23400,5,369000,295.43964499378114,13106.377051781352,0.0,0.0,0.0,21.0,264.66198964605036,0.974984631552196
1231,23700,5,369300,295.4853900840741,13106.377051781352,1.3388196911333317,0.28273809523809523,0.38338974167010526,21.0,264.9661340223679,0.974984631552196
1232,24000,5,369600,295.5363275228469,13106.377051781352,5.095733220282822,1.0912698412698412,1.4876126735644886,21.0,265.2638288761582,0.974984631552196
1233,24300,5,369900,295.5937328666259,13106.377051781352,10.881422271072715,2.3660714285714284,3.2437493560092503,21.0,265.5370685541188,0.974984631552196
1234,24600,5,370200,295.65774264634496,13106.377051781352,18.30656852712725,4.0476190476190474,5.582880349330493,21.0,265.7678474029475,0.974984631552196
1235,24900,5,370500,295.7277115173205,13106.377051781352,26.98185367207068,6.076388888888888,8.436086213854315,21.0,265.938159769342,0.974984631552196
1236,25200,5,370800,295.8024484378221,13106.377051781352,36.51795938952724,8.392857142857142,11.73444750990682,21.0,266.03,0.974984631552196
1237,25500,5,371100,295.8806393472592,13106.377051781352,46.52556736312117,10.9375,15.40904479781411,21.0,266.0434652126636,0.974984631552196
1238,25800,5,371400,295.96137834828704,13106.377051781352,56.615359276476724,13.65079365079365,19.39095863790228,21.0,265.9995767740426,0.974984631552196
1239,26100,5,371700,296.0439712318113,13106.377051781352,66.39801681321815,16.473214285714285,23.611269590497443,21.0,265.9117154042862,0.974984631552196
1240,26400,5,372000,296.127697221853,13106.377051781352,75.48422165696968,19.345238095238095,28.001058215925685,21.0,265.7932618235436,0.974984631552196
1241,26700,5,372300,296.21182042108416,13106.377051781352,83.48465549135554,22.207341269841265,32.49140507451312,21.0,265.6575967519639,0.974984631552196
1242,27000,5,372600,296.29602941918233,13106.377051781352,90.01,25.0,37.01339072658584,21.0,265.51810090969644,0.974984631552196
1243,27300,5,372900,296.37988589995973,13106.377051781352,95.62643328272046,27.803268298059965,41.65157628174541,21.0,265.3881550168902,0.974984631552196
1244,27600,5,373200,296.465298933411,13106.377051781352,101.15991428916526,30.721119929453263,46.5058953844752,21.0,265.2811397936945,0.974984631552196
1245,27900,5,373500,296.55352872269447,13106.377051781352,106.61079597770507,33.729910714285715,51.530487397424,21.0,265.2104359602584,0.974984631552196
1246,28200,5,373800,296.64659051731223,13106.377051781352,111.97943130671055,36.80599647266314,56.679491683240585,21.0,265.18942423673116,0.974984631552196
1247,28500,5,374100,296.7455256277693,13106.377051781352,117.2661732345524,39.925733024691354,61.90704760457376,21.0,265.23148534326197,0.974984631552196
1248,28800,5,374400,296.84858702892984,13106.377051781352,122.47137471960127,43.06547619047619,67.16729452407233,21.0,265.34999999999997,0.974984631552196
1249,29100,5,374700,296.9560324133728,13106.377051781352,127.59538872022787,46.201581790123456,72.41437180438504,21.0,265.51460214954795,0.974984631552196
1250,29400,5,375000,297.06562474736063,13106.377051781352,132.63856819480284,49.310405643738974,77.60241880816075,21.0,265.6851868482344,0.974984631552196
1251,29700,5,375300,297.1761132507735,13106.377051781352,137.60126610169687,52.36830357142857,82.6855748980482,21.0,265.860526486797,0.974984631552196
1252,30000,5,375600,297.27970580349665,13106.377051781352,142.48383539928062,55.351631393298064,87.61797943669619,21.0,266.03939345597337,0.974984631552196
1253,30300,5,375900,297.3748707569136,13106.377051781352,147.28662904592474,58.236744929453266,92.35377178675353,21.0,266.2205601465012,0.974984631552196
1254,30600,5,376200,297.46348858248354,13106.377051781352,152.01,61.0,96.84709131086898,21.0,266.4027989491181,0.974984631552196
1255,30900,5,376500,297.54907217319794,13106.377051781352,156.6582985920017,63.59031888787695,101.16126527539271,21.0,266.5848822545618,0.974984631552196
1256,31200,5,376800,297.63372456808395,1395.2264913061429,161.2025681325733,65.99425723537746,105.39396711186554,21.0,266.7655824535699,0.1037910309754971
1257,31500,5,377100,295.2414718103463,107.9613560053747,165.59320105030733,68.24462090163934,109.55085543072224,21.0,266.94367193688015,0.00803125550950552
1258,31800,5,377400,293.6406123598951,107.9613560053747,169.78058977379638,70.37421574580044,113.63758884239762,21.0,267.1179230952301,0.00803125550950552
1259,32100,5,377700,292.7315790412232,107.9613560053747,173.71512673163306,72.41584762699858,117.65982595732646,21.0,267.2871083193575,0.00803125550950552
1260,32400,5,378000,292.20883005697124,107.9613560053747,177.34720435240993,74.40232240437159,121.62322538594358,21.0,267.45,0.00803125550950552
1261,32700,5,378300,291.9102378690317,107.9613560053747,180.6272150647196,76.36644593705728,125.53344573868378,21.0,267.6092799091059,0.00803125550950552
1262,33000,5,378600,291.73816329492416,107.9613560053747,183.5055512971546,78.34102408419348,129.39614562598183,21.0,267.7684633921118,0.00803125550950552
1263,33300,5,378900,291.63753543587603,107.9613560053747,185.93260547830755,80.35886270491804,133.2169836582725,21.0,267.92757319998725,0.00803125550950552
1264,33600,5,379200,291.5782966824322,107.9613560053747,187.85877003677106,82.45276765836876,137.0016184459907,21.0,268.08663208370206,0.00803125550950552
1265,33900,5,379500,291.54316856698915,107.9613560053747,189.23443740113768,84.65554480368347,140.75570859957108,21.0,268.24566279422584,0.00803125550950552
1266,34200,5,379800,291.5218086175867,107.9613560053747,190.01,87.0,144.48491272944852,21.0,268.40468808252837,0.00803125550950552
1267,34500,5,380100,291.5084078395823,107.9613560053747,189.48050894958502,89.7610331284153,148.1386722972154,21.0,268.5637306995793,0.00803125550950552
