,T_in,T_out,heatPower,Q_solar
181,267.79661474615847,266.8500061035156,455.0,102.56999969482422
182,267.75452053851564,266.8500061035156,457.5,102.56999969482422
183,267.7164212266658,266.8500061035156,460.0,102.56999969482422
184,267.6819542046161,266.8500061035156,462.5,102.56999969482422
185,267.6507910369302,266.8500061035156,465.0,102.56999969482422
186,267.6226334359228,266.8500061035156,467.5,102.56999969482422
187,267.5972102058738,266.8500061035156,470.0,102.56999969482422
188,267.5742746790173,266.8500061035156,472.5,102.56999969482422
189,267.55360246012884,266.8500061035156,475.0,102.56999969482422
190,267.5349894022097,266.8500061035156,477.5,102.56999969482422
191,267.51824977465594,266.8500061035156,480.0,102.56999969482422
192,267.5032146001932,266.1499938964844,482.5,0.0
193,267.4185701753166,266.1499938964844,485.0,0.0
194,267.3417796945379,266.1499938964844,487.5,0.0
195,267.2721188821731,266.1499938964844,490.0,0.0
196,267.2089389871182,266.1499938964844,492.5,0.0
197,267.151653421625,266.1499938964844,495.0,0.0
198,267.0997298113053,266.1499938964844,497.5,0.0
199,267.0526842670008,266.1499938964844,500.0,0.0
200,267.01007671168065,266.1499938964844,502.5,0.0
201,266.97150682144735,266.1499938964844,505.0,0.0
202,266.9366104015598,266.1499938964844,507.5,0.0
203,266.9050561139797,266.1499938964844,510.0,0.0
204,266.8765425089021,265.54998779296875,512.5,0.0
205,266.79664819860864,265.54998779296875,515.0,0.0
206,266.72417347841144,265.54998779296875,517.5,0.0
207,266.658437045896,265.54998779296875,520.0,0.0
208,266.59882680921277,265.54998779296875,522.5,0.0
209,266.5447886611046,265.54998779296875,525.0,0.0
210,266.4958194659949,265.54998779296875,527.5,0.0
211,266.4514618246581,265.54998779296875,530.0,0.0
212,266.41129972075714,265.54998779296875,532.5,0.0
213,266.37495470661025,265.54998779296875,535.0,0.0
214,266.34208248542393,265.54998779296875,537.5,0.0
215,266.3123698205552,265.54998779296875,540.0,0.0
216,266.2855317302594,265.45001220703125,542.5,0.0
217,266.2522844164329,265.45001220703125,545.0,0.0
218,266.22223362464194,265.45001220703125,547.5,0.0
219,266.195089026395,265.45001220703125,550.0,0.0
220,266.17058777306727,265.45001220703125,552.5,0.0
221,266.14849118672726,265.45001220703125,555.0,0.0
222,266.1285822828697,265.45001220703125,557.5,0.0
223,266.11066370743293,265.45001220703125,560.0,0.0
224,266.0945559281685,265.45001220703125,562.5,0.0
225,266.0800956135697,265.45001220703125,565.0,0.0
226,266.06713416675467,265.45001220703125,567.5,0.0
227,266.05553639471464,265.45001220703125,570.0,0.0
228,266.04517929870985,265.3500061035156,572.5,0.0
229,266.0269264527378,265.3500061035156,575.0,0.0
230,266.01051768181185,265.3500061035156,577.5,0.0
231,265.9957846433251,265.3500061035156,580.0,0.0
232,265.9825754718226,265.3500061035156,582.5,0.0
233,265.97075246225063,265.3500061035156,585.0,0.0
234,265.96019049558873,265.3500061035156,587.5,0.0
235,265.9507757973234,265.3500061035156,590.0,0.0
236,265.94240487617986,265.3500061035156,592.5,0.0
237,265.93498358300354,265.3500061035156,595.0,0.0
238,265.9284262632659,265.3500061035156,597.5,0.0
239,265.92265498913844,265.3500061035156,600.0,0.0
240,265.91759886194865,264.45001220703125,602.5,0.0
