,T_in,T_out,heatPower,Q_solar
192,269.9007,266.15,5082.0,0.0
193,269.96024,266.15,5076.0,0.0
194,270.01266,266.15,5115.3335,0.0
195,270.0617,266.15,5108.0,0.0
196,270.1064,266.15,5110.0,0.0
197,270.14725,266.15,5106.6665,0.0
198,270.18427,266.15,5123.3335,0.0
199,270.21875,266.15,5106.6665,0.0
200,270.24957,266.15,1175.3334,0.0
201,270.08087,266.15,64.666664,0.0
202,269.80148,266.15,46.0,0.0
203,269.5013,266.15,42.666668,0.0
204,269.2116,265.55,4687.3335,0.0
205,269.12015,265.55,5050.6665,0.0
206,269.13605,265.55,5037.3335,0.0
207,269.1853,265.55,5024.6665,0.0
208,269.24194,265.55,884.0,0.0
209,269.0907,265.55,53.333332,0.0
210,268.83905,265.55,38.666668,0.0
211,268.56854,265.55,36.0,0.0
212,268.30743,265.55,36.0,0.0
213,268.0645,265.55,38.0,0.0
214,267.84167,265.55,41.333332,0.0
215,267.63846,265.55,44.0,0.0
216,267.45352,265.45,44.0,0.0
217,267.27625,265.45,42.0,0.0
218,267.11484,265.45,38.666668,0.0
219,266.9678,265.45,44.666668,0.0
220,266.83426,265.45,4784.6665,0.0
221,266.9498,265.45,5171.3335,0.0
222,267.15906,265.45,5158.0,0.0
223,267.38602,265.45,5204.0,0.0
224,267.6079,265.45,5232.0,0.0
225,267.81668,265.45,5240.0,0.0
226,268.0095,265.45,5243.3335,0.0
227,268.1861,265.45,5240.6665,0.0
228,268.34708,265.35,5243.3335,0.0
229,268.48474,265.35,5248.0,0.0
230,268.61032,265.35,5256.6665,0.0
231,268.72513,265.35,5276.0,0.0
232,268.83075,265.35,526.0,0.0
233,268.6898,265.35,44.0,0.0
234,268.45264,265.35,43.333332,0.0
235,268.19788,265.35,42.0,0.0
236,267.9521,265.35,42.0,0.0
237,267.72345,265.35,40.0,0.0
238,267.51355,265.35,40.666668,0.0
239,267.32193,265.35,39.333332,0.0
240,267.1473,264.45,4760.6665,0.0
241,267.14313,264.45,5157.3335,0.0
242,267.2436,264.45,5148.6665,0.0
243,267.37186,264.45,5134.6665,0.0
244,267.50104,264.45,440.0,0.0
245,267.38834,264.45,42.666668,0.0
246,267.1836,264.45,40.666668,0.0
247,266.96063,264.45,44.0,0.0
248,266.7448,264.45,42.666668,0.0
249,266.54376,264.45,44.0,0.0
250,266.35925,264.45,45.333332,0.0
251,266.19086,264.45,42.666668,0.0
252,266.03732,263.75,4832.6665,0.0
253,266.07382,263.75,5214.0,0.0
254,266.21173,263.75,5208.0,0.0
255,266.3744,263.75,5210.0,0.0
256,266.53577,263.75,486.0,0.0
257,266.45123,263.75,42.666668,0.0
258,266.26938,263.75,48.666668,0.0
259,266.06668,263.75,43.333332,0.0
260,265.86868,263.75,4884.6665,0.0
261,265.9257,263.75,5233.3335,0.0
262,266.07983,263.75,5222.0,0.0
263,266.2561,263.75,5224.0,0.0
264,266.42947,262.55,5235.3335,0.0
265,266.4841,262.55,5240.6665,0.0
266,266.53598,262.55,5255.3335,0.0
267,266.5847,262.55,5260.0,0.0
268,266.62976,262.55,562.6667,0.0
269,266.43625,262.55,42.666668,0.0
270,266.15027,262.55,42.666668,0.0
271,265.85077,262.55,42.0,0.0
272,265.56418,262.55,4774.6665,0.0
273,265.53497,262.55,5153.3335,0.0
274,265.61017,262.55,5144.6665,0.0
275,265.71457,262.55,5111.3335,0.0
276,265.82077,262.55,5116.0,0.0
277,265.92163,262.55,5115.3335,0.0
278,266.01486,262.55,5105.3335,0.0
279,266.09973,262.55,5098.6665,0.0
280,266.1766,262.55,5103.3335,0.0
281,266.24667,262.55,5114.0,0.0
282,266.311,262.55,5114.6665,0.0
283,266.36975,262.55,5104.6665,0.0
284,266.4228,262.55,487.33334,0.0
285,266.24008,262.55,42.666668,0.0
286,265.969,262.55,40.666668,0.0
287,265.68472,262.55,43.333332,0.0
288,265.41278,262.55,4729.3335,0.0
289,265.39487,262.55,5129.3335,0.0
290,265.48065,262.55,5120.0,0.0
291,265.59476,262.55,5121.3335,0.0
292,265.71155,262.55,5122.6665,0.0
293,265.8225,262.55,5120.0,0.0
294,265.92502,262.55,5122.6665,0.0
295,266.01895,262.55,5164.6665,0.0
296,266.10678,262.55,518.6667,0.0
297,265.95526,262.55,43.333332,0.0
298,265.71085,262.55,46.0,0.0
299,265.4505,262.55,44.0,0.0
300,265.19995,262.85,42.666668,0.0
301,264.9941,262.85,40.666668,0.0
302,264.80493,262.85,44.0,0.0
303,264.63232,262.85,46.666668,0.0
304,264.47522,262.85,4776.0,0.0
305,264.5687,262.85,5096.6665,0.0
306,264.75436,262.85,5072.0,0.0
307,264.95804,262.85,5143.3335,0.0
308,265.15933,262.85,5149.3335,0.0
309,265.3485,262.85,5186.0,0.0
310,265.5246,262.85,5188.0,0.0
311,265.68634,262.85,5190.0,0.0
312,265.83414,264.65,462.66666,0.0
313,265.89496,264.65,40.666668,0.0
314,265.84467,264.65,43.333332,0.0
315,265.76126,264.65,42.0,0.0
316,265.67184,264.65,4827.3335,0.0
317,265.82486,264.65,5198.0,0.0
318,266.06647,264.65,5191.3335,0.0
319,266.32257,264.65,5210.0,0.0
320,266.5695,264.65,425.33334,0.0
321,266.55994,264.65,42.666668,0.0
322,266.44833,264.65,42.666668,0.0
323,266.30997,264.65,46.0,0.0
324,266.17108,264.95,4770.6665,0.0
325,266.3033,264.95,5160.0,0.0
326,266.5259,264.95,5159.3335,0.0
327,266.765,264.95,5160.0,0.0
328,266.99567,264.95,559.3333,0.0
329,266.9802,264.95,44.666668,0.0
330,266.8598,264.95,41.333332,0.0
331,266.71204,264.95,42.0,0.0
332,266.56396,264.95,4790.6665,0.0
333,266.66177,264.95,5198.6665,0.0
334,266.85434,264.95,5202.0,0.0
335,267.06677,264.95,5217.3335,0.0
336,267.2741,266.55,5228.0,0.0
337,267.6127,266.55,5245.3335,0.0
338,267.92358,266.55,5243.3335,0.0
339,268.20734,266.55,5266.0,0.0
340,268.46695,266.55,5262.0,0.0
341,268.70346,266.55,5244.0,0.0
342,268.91785,266.55,5240.6665,0.0
343,269.11246,266.55,5247.3335,0.0
344,269.28967,266.55,5251.3335,0.0
345,269.45117,266.55,5249.3335,0.0
346,269.5981,266.55,5254.0,0.0
347,269.73203,266.55,5270.0,0.0
348,269.85474,267.15,5265.3335,0.0
349,270.0206,267.15,5282.0,0.0
350,270.17236,267.15,5225.3335,0.0
351,270.3079,267.15,5142.0,0.0
352,270.42615,267.15,5147.3335,0.0
353,270.53217,267.15,5182.6665,0.0
354,270.62985,267.15,5176.0,0.0
355,270.7188,267.15,5170.0,0.0
356,270.7995,267.15,474.0,0.0
