index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
729,45900,3,218700,276.1582403344402,28.542764378478665,92.95337633145107,21.0,21089.77398587541,299.3992623453152,85.94528326129355,0.9832303618711398
730,46200,3,219000,276.1394759821491,25.402927231498662,88.38871746522557,21.0,21092.478496517328,299.41093472459403,81.98497707026515,0.9833564493758667
731,46500,3,219300,276.12004788855506,21.800505050505052,83.4517808013035,21.0,21100.59202844316,299.417003683424,77.83204792841705,0.9837347118900517
732,46800,3,219600,276.09999999999997,17.954174397031544,78.27137124431488,21.0,21065.433390097918,299.4202620071278,73.55354224869538,0.9820955743285852
733,47100,3,219900,276.0810186260176,14.082611832611835,72.97629369888963,21.0,21084.3649645915,299.41259211381225,69.21650644404617,0.982978186861682
734,47400,3,220200,276.06417497993345,10.404493918779636,67.69535306965778,21.0,21108.705560368988,299.4038928127957,64.88798692741553,0.9841129744042364
735,47700,3,220500,276.04859036377707,7.13849721706865,62.557354261249316,21.0,21103.296539085117,299.401113964479,60.63503011174951,0.9838607993947807
736,48000,3,220800,276.033386079578,4.503298289012577,57.691102178294194,21.0,21119.523602936773,299.3981306574699,56.524682409994206,0.9846173244231501
737,48300,3,221100,276.0176834293659,2.7175736961451307,53.2254017254224,21.0,21070.842411381793,299.3992163817901,52.62399023509567,0.9823477493380411
738,48600,3,221400,276.00060371517026,2.0,49.2890578072639,21.0,21087.069475233457,299.3924460885347,49.0,0.983104274366411
739,48900,3,221700,275.9812682390207,1.9436507936507936,45.64003994676463,21.0,21078.95594330762,299.3933475240573,45.514038206038556,0.9827260118522259
740,49200,3,222000,275.9587983029469,1.981962481962482,41.972428185917344,21.0,21049.206326246258,299.394519368724,42.000976567867646,0.9813390493002155
741,49500,3,222300,275.9323152089783,2.094155844155844,38.31919320792233,21.0,21022.16121982681,299.39147619620576,38.48817931842073,0.980078174252932
742,49800,3,222600,275.9009402591446,2.2594516594516594,34.713305695979884,21.0,20992.41160276544,299.38689802964143,35.00301069063127,0.9786912117009214
743,50100,3,222900,275.8637947554753,2.457070707070707,31.187736333290275,21.0,20962.661985704042,299.3806752520934,31.572834917432733,0.9773042491489095
744,50400,3,223200,275.82,2.6662337662337663,27.7754558030538,21.0,20959.95747506212,299.37321625889115,28.22501623175859,0.9771781616441821
745,50700,3,223500,275.76871893909396,2.8661616161616164,24.50943478847074,21.0,20930.20785800072,299.36946415183513,24.986918866542304,0.9757911990921699
746,51000,3,223800,275.71029640797593,3.0360750360750366,21.422643972741387,21.0,20908.571772865183,299.3627324555489,21.885907054717343,0.9747824990543443
747,51300,3,224100,275.64562654194077,3.1551948051948058,18.548054039066027,21.0,20913.980794149058,299.3556801590279,18.94934502921716,0.9750346740638003
748,51600,3,224400,275.5756034762833,3.2027417027417036,15.918635670644939,21.0,20865.299602594074,299.3530013509901,16.204597022975236,0.9727650989786911
749,51900,3,224700,275.5011213462983,3.157936507936509,13.567359550678418,21.0,20870.708623877985,299.3435101850384,13.679027268925026,0.9730172739881489
750,52200,3,225000,275.42307428728066,3.0,11.527196362366753,21.0,20794.982325903555,299.3398344755328,11.4,0.9694868238557564
751,52500,3,225300,275.34235643452524,2.7549107142857143,9.726029795990215,21.0,20700.324453435547,299.32451066105375,9.371925080128205,0.9650737611902672
752,52800,3,225600,275.2598619233268,2.4702380952380953,8.071084833556041,21.0,2101.404768790098,299.2998817454684,7.574118589743589,0.09796999117387473
753,53100,3,225900,275.1764848889802,2.1575892857142858,6.564344095854941,21.0,162.27063851660986,296.0277649965874,5.996304086538461,0.00756525028369689
754,53400,3,226200,275.09311946678037,1.8285714285714285,5.20779020367762,21.0,156.861617232723,294.0131443870598,4.628205128205129,0.007313075274240332
755,53700,3,226500,275.010659792022,1.4947916666666667,4.003405777814788,21.0,167.67965980049675,292.96659091493444,3.4595452724358973,0.007817425293153447
756,54000,3,226800,274.92999999999995,1.167857142857143,2.9531734390571476,21.0,162.27063851660986,292.4041458808614,2.4800480769230777,0.00756525028369689
757,54300,3,227100,274.84908422759827,0.859375,2.0590758081954093,21.0,162.27063851660986,292.08289912221954,1.6794370993589745,0.00756525028369689
758,54600,3,227400,274.7656971702227,0.5809523809523807,1.323095506020282,21.0,170.38417044244036,291.8849302021803,1.0474358974358964,0.007943512797881734
759,54900,3,227700,274.68049380095107,0.3441964285714283,0.74721515332247,21.0,156.861617232723,291.7510959999093,0.5737680288461515,0.007313075274240332
760,55200,3,228000,274.59412909286095,0.16071428571428603,0.33341737089268086,21.0,181.2022130102145,291.64846740075063,0.24815705128205323,0.008447862816794867
