index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
2577,81900,9,773100,0.0,274.99485714285714,6267.449266834336,297.717787314202,0.0,0.0,21.5,0.9639389736477126
2578,82200,9,773400,0.0,274.9866931216931,6239.575718754232,297.74469919265715,0.0,0.0,21.5,0.9596519984869505
2579,82500,9,773700,0.0,274.9784021164021,6212.5219809117825,297.7618945572062,0.0,0.0,21.5,0.9554911108309172
2580,82800,9,774000,0.0,274.96999999999997,6206.783309248229,297.7741080796091,0.0,0.0,21.5,0.9546084982978187
2581,83100,9,774300,0.0,274.96101686507933,6211.702170674128,297.79198575162997,0.0,0.0,21.5,0.9553650233261882
2582,83400,9,774600,0.0,274.95099206349204,6283.0256613496795,297.8156204725767,0.0,0.0,21.5,0.9663346362375489
2583,83700,9,774900,0.0,274.9399553571428,6271.548318022583,297.8687266949351,0.0,0.0,21.5,0.9645694111713534
2584,84000,9,775200,0.0,274.92793650793647,6274.007748735533,297.90158028680173,0.0,0.0,21.5,0.9649476736855384
2585,84300,9,775500,0.0,274.91496527777775,6262.530405408437,297.9308079902966,0.0,0.0,21.5,0.9631824486193431
2586,84600,9,775800,0.0,274.9010714285714,6237.936098278937,297.9522340875013,0.0,0.0,21.5,0.9593998234774945
2587,84900,9,776100,0.0,274.8862847222222,6264.170025883733,297.9644412237236,0.0,0.0,21.5,0.963434623628799
2588,85200,9,776400,0.0,274.87063492063487,6385.501941055938,297.99134368464365,0.0,0.0,21.5,0.9820955743285852
2589,85500,9,776700,0.0,274.85415178571424,6414.195299373685,298.06442929447024,0.0,0.0,21.5,0.9865086369940744
2590,85800,9,777000,0.0,274.83686507936505,6438.7896065031855,298.1213441648712,0.0,0.0,21.5,0.990291262135923
2591,86100,9,777300,0.0,274.81880456349205,6439.609416740839,298.1688886603609,0.0,0.0,21.5,0.9904173496406518
2592,0,10,777600,0.0,274.79999999999995,6430.591504126682,298.2023834826294,0.0,0.0,21.5,0.9890303870886396
2593,300,10,777900,0.0,274.7803941993464,6428.951883651384,298.2248923996149,0.0,0.0,21.5,0.9887782120791834
2594,600,10,778200,0.0,274.75991830065357,6444.528278166738,298.2451425799435,0.0,0.0,21.5,0.9911738746690213
2595,900,10,778500,0.0,274.7385845588235,6319.917122043929,298.27069988736446,0.0,0.0,21.5,0.9720085739503215
2596,1200,10,778800,0.0,274.71640522875816,6262.530405408437,298.243292783658,0.0,0.0,21.5,0.9631824486193431
2597,1500,10,779100,0.0,274.69339256535943,6261.710595170783,298.2161005046903,0.0,0.0,21.5,0.963056361114614
2598,1800,10,779400,0.0,274.66955882352937,6250.233251843687,298.2106969129777,0.0,0.0,21.5,0.9612911360484188
2599,2100,10,779700,0.0,274.6449162581699,6250.233251843687,298.21121389616894,0.0,0.0,21.5,0.9612911360484188
2600,2400,10,780000,0.0,274.619477124183,6269.9086975472865,298.21820248591814,0.0,0.0,21.5,0.9643172361618975
2601,2700,10,780300,0.0,274.59325367647057,6274.007748735533,298.2371545224012,0.0,0.0,21.5,0.9649476736855384
2602,3000,10,780600,0.0,274.5662581699346,6277.286989686137,298.255141683904,0.0,0.0,21.5,0.965452023704452
2603,3300,10,780900,0.0,274.5385028594771,6298.602055865033,298.2717774307373,0.0,0.0,21.5,0.9687302988273868
2604,3600,10,781200,0.0,274.51,6320.736932281584,298.29508518203886,0.0,0.0,21.5,0.9721346614550505
2605,3900,10,781500,0.0,274.48109719196316,6319.917122043929,298.3217912377713,0.0,0.0,21.5,0.9720085739503215
2606,4200,10,781800,0.0,274.45208545146454,6329.75484489573,298.34146108011726,0.0,0.0,21.5,0.9735216240070608
2607,4500,10,782100,0.0,274.4228921568627,6361.72744416408,298.3610390559448,0.0,0.0,21.5,0.9784390366914638
2608,4800,10,782400,0.0,274.39344468651655,6374.844407966484,298.39007970554013,0.0,0.0,21.5,0.9804564367671169
2609,5100,10,782700,0.0,274.36367041878475,6370.745356778239,298.41525521871336,0.0,0.0,21.5,0.9798259992434762
2610,5400,10,783000,0.0,274.3334967320261,6366.64630558998,298.43259129274406,0.0,0.0,21.5,0.9791955617198336
2611,5700,10,783300,0.0,274.30285100459935,702.577373666059,298.4453253169215,0.0,0.0,21.5,0.1080569915521372
2612,6000,10,783600,0.0,274.2716606148632,49.18861425900065,296.2049397007149,0.0,0.0,21.5,0.00756525028369689
2613,6300,10,783900,0.0,274.2398529411764,54.10747568490072,294.8464175024256,0.0,0.0,21.5,0.00832177531206658
2614,6600,10,784200,0.0,274.20735536189784,53.28766544725067,294.1683287914841,0.0,0.0,21.5,0.008195687807338292
2615,6900,10,784500,0.0,274.1740952553861,51.64804497195068,293.8154150558843,0.0,0.0,21.5,0.007943512797881734
2616,7200,10,784800,0.0,274.14,50.008424496650704,293.6184785549651,0.0,0.0,21.5,0.007691337788425178
2617,7500,10,785100,0.0,274.10534923161003,55.747096160200705,293.4969036648761,0.0,0.0,21.5,0.008573950321523137
2618,7800,10,785400,0.0,274.0704983281893,52.467855209600735,293.4148678055389,0.0,0.0,21.5,0.008069600302610022
2619,8100,10,785700,0.0,274.03548828124997,56.56690639785075,293.34892419004586,0.0,0.0,21.5,0.008700037826251424
2620,8400,10,786000,0.0,274.0003600823045,56.56690639785075,293.2946993130455,0.0,0.0,21.5,0.008700037826251424
2621,8700,10,786300,0.0,273.9651547228652,57.3867166355008,293.2448145681604,0.0,0.0,21.5,0.008826125330979711
2622,9000,10,786600,0.0,273.9299131944444,54.927285922550766,293.1991232557756,0.0,0.0,21.5,0.008447862816794867
2623,9300,10,786900,0.0,273.8946764885545,53.28766544725067,293.15411428638487,0.0,0.0,21.5,0.008195687807338292
2624,9600,10,787200,0.0,273.85948559670777,51.64804497195068,293.11025472829834,0.0,0.0,21.5,0.007943512797881734
2625,9900,10,787500,0.0,273.82438151041663,48.3688040213506,293.0674506898497,0.0,0.0,21.5,0.007439162778968602
2626,10200,10,787800,0.0,273.7894052211934,60.66595758610076,293.02491607384803,0.0,0.0,21.5,0.009330475349892824
2627,10500,10,788100,0.0,273.7545977205504,50.008424496650704,292.98882149871895,0.0,0.0,21.5,0.007691337788425178
2628,10800,10,788400,0.0,273.71999999999997,52.467855209600735,292.94796724310225,0.0,0.0,21.5,0.008069600302610022
2629,11100,10,788700,0.0,273.6855230034722,57.3867166355008,292.9099243183092,0.0,0.0,21.5,0.008826125330979711
2630,11400,10,789000,0.0,273.65105902777776,49.18861425900065,292.87440645173047,0.0,0.0,21.5,0.00756525028369689
