row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
Hampstead Town	Camden	London,7535,7652,26097,23649,16985,9948,9808,16438,36412,26891,25982,27572,30382,31844,31510,11638,31159,13536,2351,73915,3804,24033,19106,24878,25378,10460,14002,13895,15088,7456,10458,7725,9285,12673,16795,21744,22178,21218,32526,17613,21097,13809,14903,21349,12111,16049,18814,13987,5816
Haverstock	Camden	London,6285,7654,23168,23655,18560,9918,9128,18013,34098,28466,27557,24141,28067,31814,29195,13213,28434,15111,3013,30782,2443,25609,19864,22154,22653,8325,13972,13866,15058,5616,8618,8350,9358,12679,16801,18859,19198,21188,30211,15187,18942,12201,12608,12988,12117,16019,18820,14009,6441
Highgate	Camden	London,8174,11894,25170,25325,19113,17442,5235,18566,30233,29019,28110,29700,24203,41902,25330,11342,29152,15664,6973,67736,4407,26161,12744,22872,23389,7019,18248,18141,20374,6065,9269,11971,13531,14350,18471,20861,21200,32709,26347,13829,23225,14203,13259,15170,16373,20295,23076,18249,10061
Holborn and Covent Garden	Camden	London,2107,5302,18364,19258,18954,10160,10460,21970,25326,28859,22918,21962,20747,23353,17749,18631,23630,18537,8458,25979,3802,26002,18737,17350,17850,5440,9183,9673,12880,2429,4534,7498,7311,8282,12404,14055,14394,17243,15657,11182,16764,7397,8575,14141,9726,12590,13792,11161,7003
Kentish Town	Camden	London,5084,7289,22137,22235,19976,10635,7134,19428,33503,29882,25018,24857,27473,32531,28600,14500,29171,16527,4085,29751,1317,27024,16013,22891,21622,7038,14689,14582,15775,4585,7587,9067,9295,11259,15381,17827,18167,21905,18658,13899,19659,11170,11814,11700,12083,16736,16769,13958,7157
Kilburn	Camden	London,6891,6220,24665,22217,16239,5997,16432,14977,39632,26145,21828,21148,33602,29341,34729,13562,29727,10712,0,32075,4762,23287,22326,23446,23946,11709,9249,8858,12065,7818,10856,5697,7604,11241,15363,20312,20746,18715,35746,18571,16469,12377,14558,24569,10696,13546,17313,12486,3982
King's Cross	Camden	London,3836,6272,20609,20988,18177,9383,8812,21193,26379,28082,23766,23605,20363,31278,19079,16305,25876,17760,5711,28224,1719,25225,17090,19595,20095,5924,13436,13330,14523,2914,5916,8059,8278,10012,14133,16300,16639,20653,16987,12235,18407,9642,9905,12493,11066,15483,15522,12942,6226
Regent's Park	Camden	London,3348,5155,21055,20499,17121,8326,8937,20204,32757,27026,22710,22549,26727,30222,19906,15405,26322,16704,4689,28670,1008,24169,17214,20041,20541,7955,9033,12274,13466,3992,6994,7002,7161,9523,13645,16746,17086,19597,17814,14816,17350,10088,10732,12617,9948,14427,16651,11824,5169
St. Pancras and Somers Town	Camden	London,4386,6822,21159,21538,18727,9933,8877,21743,26929,28632,24316,24155,20913,31828,19629,16370,26425,18310,5777,28774,1784,25775,17155,20145,20645,6474,13986,13880,15073,3464,6466,8608,8828,10562,14683,16850,17189,21203,17537,12785,18957,10192,10455,12558,11616,16033,16072,13491,6776
Swiss Cottage	Camden	London,6674,6790,25236,22788,17929,9087,10867,17382,38652,27835,23470,23310,32622,30983,33749,12582,30298,14480,1866,32646,2943,24977,21345,24017,24517,9890,13141,13034,14227,6595,9597,6864,8424,11812,15934,20882,21316,20357,34766,16752,18111,12947,14042,23588,11250,15188,17953,13126,4955
West Hampstead	Camden	London,8252,7581,26027,23578,16678,6888,14201,16131,37401,26584,25675,27265,31371,29020,32498,11331,31088,13229,1483,74904,4442,23726,20094,24808,25307,10835,10804,10413,17939,8094,11096,7090,9214,12603,16724,21673,22107,18394,33515,18251,20790,13738,15472,22337,12057,13225,18868,14041,5374
Addiscombe	Croydon	London,18448,18329,7701,2462,31756,21136,46910,34772,57011,41662,34943,20327,31722,10296,28723,43221,21449,31339,26528,13501,20826,34048,48126,14776,17921,28161,16872,20158,23365,20596,24859,19683,16314,11074,8201,9520,9588,14059,26631,25602,25058,13390,22520,33629,14418,16807,10373,14114,20911
