row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
Edgware	Barnet	London,18841,18957,37957,34955,17716,18102,14651,8471,39591,25316,28770,30360,31821,40428,32948,-1,45295,10506,12034,42937,15110,21182,18535,38533,35093,18172,26337,22961,20917,17218,20422,21113,23228,23979,28101,31931,33229,33368,33965,29469,23884,25114,28403,22787,23417,28533,31416,26589,17122
Finchley Church End	Barnet	London,12878,14915,32012,32603,15705,14034,8856,12979,32056,25610,24702,26292,26026,34775,27153,7513,36436,12256,7711,37441,9450,22753,14749,31484,30109,12377,22297,18893,16965,11424,14627,17046,18845,19940,27596,27027,29643,29300,27849,23674,19817,19667,21854,16992,19547,24385,27348,22522,13083
Garden Suburb	Barnet	London,10992,11491,30127,27492,16759,15088,8093,16211,33255,26664,25756,27346,26864,32890,28241,8988,34551,13310,6570,35556,7565,22917,13600,29599,29810,10238,20412,18953,18019,9284,12488,11568,13127,16516,20638,24035,24375,30354,27862,23616,20871,17378,20212,16529,15970,22478,26762,23576,9658
Golders Green	Barnet	London,9538,12165,32026,28166,14492,12821,9481,13831,32681,24397,23489,25079,25409,31435,26786,8415,33096,11042,5320,34101,6081,21540,15374,28166,26769,12147,17621,17498,14222,10282,14398,10638,15339,16728,21312,23607,24905,25213,26407,22162,18603,18325,18514,17617,16628,21032,25307,21308,10332
Hale	Barnet	London,17866,17983,36297,33980,18798,17127,13676,8857,40208,25771,27795,29385,30846,41586,31973,750,44762,11377,11251,43710,14135,21467,17802,37755,36378,17197,22495,21986,20058,16244,19448,20139,21089,23004,27126,32715,34013,32393,31051,28494,22910,24140,28123,21813,22443,27558,30441,25615,16147
Hendon	Barnet	London,12512,13532,31950,29529,14126,12455,9341,10142,32541,23278,23123,24713,26511,34410,27638,6277,36084,10062,7147,37076,9056,21033,15235,31944,31330,12862,20988,17314,15386,11909,15113,12465,17581,18553,22675,26637,29279,27721,27484,24159,18238,19689,21488,17478,19182,22886,25769,20943,11696
High Barnet	Barnet	London,20241,25989,42297,41468,28460,26789,11249,18438,43678,34189,43370,41759,35681,41706,37130,9162,45728,21413,21489,44372,16382,40450,10453,38847,37040,20034,29259,28201,29720,17127,24442,27592,26315,27025,36205,33422,34720,40375,35976,25178,32572,30764,28785,18163,26478,31316,35579,30785,24360
Mill Hill	Barnet	London,15177,17789,39839,33786,18604,16933,10211,11776,32394,25331,27601,29191,26364,41392,27491,4199,41096,14942,11633,39741,11750,25652,13679,33783,33995,15778,24597,21792,19864,14825,18029,19945,21251,22368,26932,28358,29656,30151,28508,24012,22715,23946,24396,17330,22248,26662,27761,25420,15953
Oakleigh	Barnet	London,16079,17868,36894,37182,22090,20419,6239,18079,28684,31995,31087,32677,22654,39362,23782,8175,42675,18640,15148,41623,12312,29138,8196,35668,34290,14084,25932,24625,23350,13408,18922,22047,22385,22890,29485,30240,31538,35685,24798,20302,26201,28420,26441,13621,24134,28972,33235,28906,16032
Totteridge	Barnet	London,17970,21492,41813,37493,22310,20639,8642,13327,31118,29858,31307,32897,25088,44237,26215,5219,48199,15847,15340,42653,14481,29359,10577,36583,35201,16592,27152,25499,23571,15268,18472,23651,24717,26517,30639,31109,32449,35906,27231,22736,26422,28932,26884,16054,25955,31071,33747,28152,19660
Underhill	Barnet	London,19509,21807,41997,39234,24904,23233,8355,17717,44677,47723,33901,35491,26465,41406,27592,7813,45124,18441,17933,44072,16082,31952,9298,38117,36740,18969,26864,26741,26164,16062,24300,25915,24437,26725,33232,32690,33988,38499,28609,24113,29016,29625,28485,15852,26178,31016,35279,31721,22253
West Finchley	Barnet	London,12530,15425,35018,32255,16215,14544,7076,13490,30276,26121,25212,26802,24246,34427,25373,6034,36101,12766,9273,37093,9102,23263,11738,31983,29761,12597,21005,19404,17476,11644,14848,17556,17458,19746,28106,25711,27009,29811,26389,21894,20327,19888,21506,15212,19199,24037,27859,23032,13593
West Hendon	Barnet	London,14305,17060,33672,32110,13723,12052,13406,7854,36606,20676,22720,24310,30576,36511,29959,4968,44814,7460,7085,38869,10849,18586,19299,37886,31536,16927,21076,16911,14983,15049,17958,12128,17178,20253,25614,28718,30016,27318,31254,27747,17835,21388,29140,21542,20643,22483,25366,20540,10833
Woodhouse	Barnet	London,13560,15678,32998,36189,18884,17213,5103,18337,28049,28790,27881,29472,22019,35458,23146,8293,39369,15435,10505,38302,10125,25933,9415,32347,30969,12608,23687,22073,20145,11580,14784,19967,18418,20703,25942,26742,28040,32480,24162,19667,22996,19824,22536,12985,20230,25068,29330,25701,13846
Barnehurst	Bexley	London,29903,28298,16445,29600,43681,37955,39557,49607,30999,60440,51431,43679,28087,45747,26889,48871,2905,46972,36254,14443,31598,49972,39246,9021,9474,26490,32325,32304,36064,29211,23188,30256,28707,24963,25151,16271,15888,34075,19263,23122,39139,18068,19647,31959,29182,32098,27441,29874,31914
Belvedere	Bexley	London,26651,27558,16996,28853,43579,34503,34880,44105,30271,55113,45960,43085,22617,44649,20900,43401,4490,42036,32822,17261,28739,44502,33776,10116,6518,22139,32549,32222,37735,25519,20642,29521,26357,21309,25472,16444,15979,34166,13794,17318,38914,16859,15525,22497,29273,32190,29806,29966,30745
