row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,0.9457921165022649,0.9130528808970106,0.769946199350182,0.7620354454277629,0.7325509945915611,0.8389797582766546,0.8458016292510864,0.7144479936773538,0.7173358765482444,0.6303786316235045,0.6990043796630394,0.7195476381733297,0.8116470361030226,0.7106874085327686,0.8078402410525429,0.7390900907426111,0.7078692302615597,0.7415488382964539,0.8589476380351364,0.7221056189752103,0.9217901626822439,0.6988453885617886,0.7363714317782899,0.7786000262196359,0.8067873296831132,0.912360807193406,0.851335191937128,0.8545042105359644,0.8139397183584862,0.9495863175806016,0.9721866547433207,0.8831596262278459,0.8934787778328841,0.9000473952762568,0.8390561020373077,0.8467641893262163,0.8301960358909505,0.7669279260204802,0.8284604087616039,0.8744436486786333,0.7673700197445137,0.9092667506226196,0.9223914654362546,0.8308383831092255,0.866155145640609,0.8230006393221764,0.8251251557763689,0.8463790339135605,0.8881964531880253
Chessington South	Kingston upon Thames	London,0.6877323969225677,0.711355945698881,0.644755674103751,0.7509646309282113,0.6331186958422254,0.7174664318079711,0.5856151133563782,0.6042996055612964,0.4691823760551248,0.5046172233356856,0.7710796500662724,0.8939938214854039,0.529605285675763,0.8683120494422859,0.5568431698631073,0.5222674993216087,0.5055670475142707,0.6253891045458476,0.6594106110237425,0.5138065729462866,0.6580619703173697,0.6725806137098099,0.5243467575453387,0.5623764215181553,0.5552073066781327,0.6208249651432174,0.7700980083783564,0.7257394961880004,0.7059181448890427,0.6468809766535027,0.6678037107270125,0.7300777923726501,0.7542974775875092,0.7026498628382276,0.7757360344445927,0.6135338344063008,0.6095089734534673,0.8459555653011213,0.5696467463592264,0.5637084594275674,0.8131624403163344,0.6901563418545965,0.6397202581564994,0.5511804354982115,0.7879842144752591,0.7733750162455325,0.8074360545447921,0.7699929066327271,0.7119171391821867
Coombe Hill	Kingston upon Thames	London,0.7687677789572097,0.8054181533812277,0.6843718510783194,0.7971066796381326,0.726598476690544,0.8234001299468552,0.6431540886305097,0.6813169714098125,0.5354441012076854,0.6137292584640234,0.8208940420437646,0.9345710952606506,0.5853221126917353,0.8623803698058694,0.605455422115037,0.5993801350744309,0.5553167759913563,0.7177276136149918,0.7567609084730539,0.5643671021965599,0.7173902716857765,0.7094382840419053,0.5758658772356668,0.6506886655383486,0.6203826179038071,0.6960319455248394,0.866273373246355,0.8328820787359651,0.810134455987106,0.7270173226023156,0.7281869587913554,0.8032225577776069,0.8315190571823143,0.8053082311986473,0.848216515477035,0.7041112383427374,0.6994921779572587,0.9598515466011334,0.625702161953588,0.6473127670888361,0.8529376317905223,0.7579669016976629,0.7026711749558753,0.6139247447686184,0.8654067454158263,0.8875501396250042,0.8912052961658601,0.8575809754151141,0.7868259148468251
Coombe Vale	Kingston upon Thames	London,0.7619429990557511,0.7982801137528782,0.6575033438905593,0.7658121918278533,0.7546063978488647,0.8160903482266298,0.6172388334447982,0.7075794432305441,0.49904644489670186,0.5372661125574856,0.858153407247356,0.9776570846089123,0.5734083791590509,0.835298079550791,0.6000804569965916,0.6224842181486073,0.5497946168587655,0.7453935929146428,0.7500540949611046,0.5415772090407108,0.711032381480809,0.7698994949008713,0.5533831944424812,0.6449121397158216,0.6148751357514889,0.6898528821423516,0.858582981858048,0.8255006393447605,0.830309355184979,0.720563184763658,0.7217224374405717,0.7960919036076903,0.8241371992214678,0.7981590613437155,0.8176140484277464,0.6978710339210252,0.693292910080047,0.9257267069248325,0.6194237141984803,0.6415662109977655,0.8916378938376864,0.7485200682597816,0.6896541360613346,0.5834167545340228,0.8425498795318227,0.8796708625269631,0.859520982109149,0.8499677512854228,0.7798408228117799
Grove	Kingston upon Thames	London,0.7379700877888311,0.7646169069846142,0.6341276497258233,0.7385858792164702,0.7891801229034566,0.7956091310914968,0.5967136882930536,0.6819371961930445,0.4555176120185233,0.665347270615969,0.8899762432816861,0.98137073617506,0.550762653030919,0.8296170898742017,0.5817292906347936,0.6147912185754822,0.5051378734759506,0.7361816122331767,0.7315851178604033,0.52264781425061,0.6935242565873542,0.7946203625013373,0.5456911331657771,0.6251899677525787,0.5960624911715118,0.6687462275882436,0.832326504161133,0.8002437225732658,0.8314055727900902,0.6985169215401377,0.6996407058636882,0.7820673813762368,0.798934114082594,0.7737386841544578,0.7859434086463106,0.6765190569740771,0.6720810048511693,0.8928150805699633,0.6004810082743585,0.6219463614711623,0.8928150805699633,0.7256294439482859,0.6685535623180554,0.5629652034793292,0.8167837129667797,0.8527694926295757,0.8289631153048984,0.8239747374751252,0.7521613870590846
Norbiton	Kingston upon Thames	London,0.7618390102927632,0.7981590613437155,0.6574136088848223,0.7657076750036186,0.7516140620790172,0.8159789695199502,0.6176133715604,0.7047735893655047,0.49934926433213195,0.5351437391432808,0.8547504634824434,0.9731159393513394,0.5733214266413376,0.8467770308580645,0.5999985589747007,0.6200158030948235,0.5501282300869174,0.7424377898402823,0.7499403556186945,0.541905835977864,0.7109245594503112,0.766846515487568,0.5537189852055079,0.6448241231375106,0.6147912185754822,0.6897482718033084,0.8584658038246301,0.8253754591737449,0.827029367000685,0.720464843451603,0.7216239379155639,0.7959832542567763,0.8240247222934225,0.7980501298704169,0.818110173441914,0.6977652076972656,0.6931877780899415,0.9255863283206699,0.6193391762397554,0.6414786510664593,0.8881156382612636,0.7484179114369399,0.6895600131668563,0.5837707695441187,0.8424348896705907,0.8795508064532882,0.8593906430416742,0.849851749044907,0.7797343913824051
Old Malden	Kingston upon Thames	London,0.7290488360945665,0.7638056424379651,0.6931772657678014,0.8073625878186206,0.6890477916069123,0.7808467253233218,0.6138875044820283,0.6461064392434483,0.49182615588034423,0.4619455929870803,0.7406721835631798,0.9138840623425012,0.5761279322378513,0.9160070014321942,0.5837265059228377,0.5684041071586027,0.5299668321077449,0.6806353756606294,0.7176623092509393,0.5386040152721665,0.6898319588053659,0.6727744395047313,0.5496612282218609,0.6170610074149675,0.5883211794841028,0.660060941960952,0.8215167333907241,0.7898506242419877,0.7682782738613962,0.6894449915182641,0.7000440120345113,0.765312962382161,0.7907135345250076,0.7636898177900049,0.82882484060462,0.6677328223760651,0.6633524090834431,0.9206864651072881,0.5971391590350074,0.6138688851858564,0.7842408285892485,0.7234757859565911,0.6705945735926921,0.5777903854428067,0.8260266034170303,0.8416814558083352,0.8772329402525437,0.8132611011315879,0.746275835877025
St. James	Kingston upon Thames	London,0.7362932648624058,0.7628795368922764,0.6061352651651517,0.7059823805816949,0.7706120456839628,0.7938013401612642,0.6036035134557235,0.7069037347574273,0.47514700994621756,0.6555121178439263,0.8648557064370505,0.9887054566886305,0.5331267612957868,0.8269290358874998,0.5804074795917034,0.6245455788411658,0.5090290316185132,0.7446817735262221,0.7299228029257484,0.514719049942849,0.6919484239178185,0.7759242856198977,0.5519918374634887,0.5639991938783023,0.5744179926318297,0.6672266958010674,0.830435283652954,0.7984254008784674,0.8301456767246749,0.6969297444879565,0.6980509753376613,0.7802903601435329,0.7971187680931501,0.7719805874698892,0.7907495095715004,0.6749818636871557,0.6705538957501403,0.8982747095172197,0.5991165893931346,0.6205331688022745,0.899106073028869,0.7239806615547508,0.66703446830681,0.5539793631867613,0.8149154504099048,0.8508189183374683,0.8340196365998628,0.8221024939337461,0.7504523185222126
St. Mark's	Kingston upon Thames	London,0.7154237931984421,0.7361816122331767,0.6180162535136554,0.71982049382141,0.7508393667188102,0.7376120454220123,0.6059698277103724,0.6887657096838377,0.48551222868028393,0.5302803719906267,0.8426648850888293,0.9599243315524996,0.5480963337582999,0.8323138817742214,0.5604862541043377,0.6059330699640182,0.5395359831915746,0.7255744240867701,0.6779260854679026,0.531746012567533,0.686377875557969,0.7560038379170455,0.5425719164062635,0.5742089613413305,0.5798620086865357,0.639196588867148,0.7969737187316919,0.7461174077201257,0.8082323727072699,0.6902714821793551,0.6862529773915303,0.7555568340916748,0.7804678804158065,0.7270724518779367,0.8028450320393045,0.6307611429173681,0.6266232686024994,0.8844463273316481,0.5895358329334831,0.5890711107777593,0.8679302551897627,0.7141446831348174,0.6617146639899563,0.5784303923290434,0.81532338095519,0.7950784194625354,0.8356528461963622,0.7967078634505061,0.7367623908515499
Surbiton Hill	Kingston upon Thames	London,0.7340968239158125,0.7538972136130423,0.6160885511857479,0.7175752460083855,0.7615386780256785,0.7844549362901317,0.6000804569965916,0.6985804837514357,0.4807935754239393,0.6568455715128331,0.8546726917283929,0.9716560334585381,0.5427694307529747,0.8297051643037463,0.5705978145470701,0.6145674954270871,0.5181336856120068,0.7359137149973296,0.7213285199915483,0.526578016983631,0.683801260262721,0.7667883703978974,0.5454925556085927,0.5686282718649387,0.5690078289363518,0.6646312525236134,0.827204975741293,0.7953196081212238,0.8197495229090153,0.6969614526589508,0.6980827345212286,0.7711030377321456,0.794018058003162,0.7689776623191379,0.7950422474728479,0.6723562536036041,0.6679455100068126,0.8918813223006159,0.5967770370576093,0.6205519902332564,0.8827043686111161,0.7240136004597045,0.664439772774554,0.5728086751134931,0.8149525265695203,0.8508576279950214,0.827531205193423,0.8188921808765295,0.7416163162379239
Tolworth and Hook Rise	Kingston upon Thames	London,0.6908474720040151,0.7227739359798109,0.6219086345983783,0.7243540569091393,0.7123707340309322,0.7389107761099631,0.5882676495101181,0.6208814577010876,0.4713289746674969,0.6258540037685205,0.7922379110145397,0.9308368895420439,0.5435684507370698,0.8375432474085922,0.5591872703889149,0.5378775454180796,0.5087512026260752,0.6440813508810533,0.679109426720149,0.516212132428134,0.6654784560450755,0.7000440120345113,0.5274091865805993,0.5636913620690382,0.5631530606341721,0.6246118823156872,0.7773847820380765,0.7474197790648792,0.7270173226023156,0.6700354694973393,0.6706149134393243,0.7335181465234265,0.7577140583490753,0.7226752929479625,0.7843002970880704,0.6318621562825834,0.6277170591782714,0.871240319545009,0.5722529885747979,0.5662617696729789,0.8460325438319659,0.6932823961635607,0.642647100017038,0.5536770002197293,0.7915533788800037,0.8027963319676176,0.8301204982870818,0.7734805796390823,0.7152719146737607
Tudor	Kingston upon Thames	London,0.721963270662316,0.7574727865605239,0.6277741788887901,0.7311858173420586,0.7981227492006249,0.7881754379687029,0.6034662216302138,0.7067429469189855,0.45117941473275863,0.6703098805069275,0.8889780433772517,0.9715381569533499,0.5497612666651597,0.8213049653536907,0.5653093556204498,0.6217483209183156,0.5042194412319635,0.7445123929347709,0.7247496266036396,0.5216975457594473,0.687044383122841,0.8036124479745659,0.5518746541845607,0.6189260456078196,0.5900904039169268,0.6405357077060095,0.8239872333954379,0.7746427284008855,0.8236374192493895,0.6772273409666056,0.6926308446424843,0.774760214216752,0.790929409356772,0.7659864182386201,0.7780688607874501,0.6697408568734501,0.665347270615969,0.8838697608386485,0.5944646508802077,0.6157149377640989,0.9003750426680801,0.7183591955801358,0.6618551703412683,0.5619416306643267,0.8086001690024976,0.8442253988584301,0.8206575431060784,0.8157191449816206,0.745133643520569
Bishop's	Lambeth	London,0.924436026428497,0.9278349426508049,0.7779390754730796,0.8168704249697734,0.7309308227835059,0.8586611094326662,0.7871959078374567,0.6982521412387183,0.6567160878798577,0.6289844328647869,0.7129111047355409,0.785800392832194,0.7099118312268811,0.7694676130272062,0.7395273524851412,0.7204866959165599,0.7206287530956355,0.7355678253483263,0.8560606840778443,0.6887343743771083,0.8849159032841627,0.7059716742270181,0.6836146247927622,0.7926465102648401,0.7866588782452134,0.8501482306883514,0.8939531493523162,0.8715046120712838,0.8301330874104187,0.8880078964637176,0.8894365366619172,0.8974577248445792,0.9247024324830635,0.9648135171186716,0.9063481123196797,0.831027403329798,0.8255882767606074,0.8453399891483401,0.7633656022067667,0.7906535797512163,0.8004136437367794,0.9331407126725333,0.8499161927794009,0.7216567695968028,0.9345144047693114,0.886500883000575,0.8879405644778179,0.9179121184252371,0.8856274500894167
Brixton Hill	Lambeth	London,0.881353369242829,0.8688521141102494,0.8175520539592295,0.8636891878425984,0.7087715491072881,0.8326294988808166,0.755270432202041,0.6770938394857984,0.6433979755065953,0.6099158182278315,0.7259926796859271,0.7818539253302411,0.684818280966032,0.8081710895915009,0.7166834565145223,0.6664277976180378,0.7197331687585763,0.7132679739242995,0.8161646091436565,0.7103856945026873,0.8490144250202442,0.6845690748985621,0.6632618758066348,0.7963817077193822,0.7592899567059344,0.818656258673495,0.8772595476606083,0.8450836313067424,0.8049663470045904,0.8519809744988598,0.8678381231103216,0.8512060941753106,0.8958123986082199,0.9856364563384601,0.9525430677316645,0.8617659106630783,0.8561126153274312,0.8560087559783741,0.7397853460529409,0.7688610533782257,0.7927186378875453,0.926077746588036,0.8236624010483001,0.7077511545548804,0.921943946994948,0.8820486748353373,0.9107848400110138,0.9123192994566831,0.8354881143763965
Clapham Common	Lambeth	London,0.8686808377355084,0.9220278401608207,0.7876855206406667,0.8271046233241238,0.7402791497790575,0.8696430581740963,0.7202463552520794,0.7071825203364089,0.6296620480567164,0.6370289043390364,0.7582658253433432,0.8166103165736369,0.7088682943193827,0.8041488560330395,0.7080947022234254,0.6329362948363376,0.7027564298908539,0.7449754578416131,0.8013731610437388,0.6936294396093089,0.831544278039686,0.7150007832131992,0.6468907868731228,0.7775970179512248,0.7413801703025726,0.7972154823332757,0.9162570829708236,0.8826508243225996,0.840750173609338,0.8344497849094964,0.8507544061550419,0.8913674956915141,0.9356346789575334,0.955856861670084,0.9328011418201413,0.8414517288054923,0.835931697118502,0.8824366796461897,0.7259926796859271,0.7545262952643799,0.8324527385590348,0.8942921403419041,0.8082936604700999,0.6917385836089136,0.9629278744116996,0.9212591051281147,0.927961589365714,0.9528753745539897,0.8726155164615207
Clapham Town	Lambeth	London,0.8920571730768124,0.9211194039978755,0.7898865600287028,0.815793372120655,0.7435871264435373,0.8735291043280712,0.7596239611259158,0.7103426029559169,0.641634321429359,0.6398657979711729,0.7386642895225929,0.8106998061010914,0.7223465800616831,0.7904138061124928,0.7217662193227774,0.7086103364276449,0.6931457297578995,0.748304420207885,0.8440077770520037,0.6841435576394923,0.8539212628310977,0.7181958021552562,0.6591906441800559,0.7669628188945624,0.7312412627120675,0.8186686739368599,0.9094184456265045,0.8865949963698798,0.8444943032673239,0.8569049573389619,0.8655905030848283,0.8929911154537449,0.9398156121708939,0.9642576731453525,0.9200444146293233,0.8299316843453765,0.824487225633375,0.8703687227358321,0.7366283243628196,0.7656263940021553,0.8321371884553278,0.9059908116568582,0.8201474354176335,0.7019043458123532,0.9641260727989273,0.9153265696695714,0.9137454795749539,0.9462368609458547,0.8765148452030896
Coldharbour	Lambeth	London,0.8937227088805113,0.8893421216589102,0.8169571461783516,0.8381785680543204,0.7006387817625842,0.8230755290477103,0.7666255876004199,0.669314406167154,0.6449806053604005,0.6029082231779442,0.6833658567369953,0.7713252559409493,0.728142787431156,0.7857050634142796,0.7388435443392884,0.6906274919160781,0.7427531169919842,0.7050836125547426,0.8205828733874542,0.7279992490143189,0.8617789797022831,0.676714017758442,0.6294901892446851,0.8283347797666575,0.806493738955028,0.8356781924359513,0.8569049573389619,0.8353867570898077,0.7957297967667173,0.8653148812106777,0.8886680201815638,0.8602512462811348,0.8863798947766196,0.9841876172371488,0.9225733318472874,0.8816207295833371,0.8669830778499981,0.830460471638322,0.7626481860109892,0.7926344896324481,0.7574153522210465,0.955219256680037,0.8491174357487056,0.6946084060807086,0.9124299909512642,0.8701839506905149,0.8836151186451556,0.9000337458893813,0.8489243008841343
Ferndale	Lambeth	London,0.8905027725476337,0.8937362625578802,0.8254630833001209,0.8233002391147629,0.7227300929701503,0.8490144250202442,0.7583003241183477,0.6904180521930691,0.64694965131522,0.6219180661020232,0.7049018582866842,0.7930072140175544,0.7283305342186212,0.7863487614867727,0.7277453657431636,0.6940398058437269,0.6995346112841866,0.7273150703583158,0.8246372824580829,0.6904389933068906,0.85243331373671,0.6980403892642265,0.6677125699436688,0.7740320892869459,0.7379700877888311,0.8189542769660448,0.8897873087227351,0.8617136364881731,0.8208069029278714,0.8554118091873143,0.8727610968581085,0.8679434177138214,0.9134406714543157,0.9882107779323301,0.9268223909769051,0.8416431636195468,0.8320867115399658,0.8593906430416742,0.7442301775585461,0.7734805796390823,0.8040391070821329,0.9311475026467464,0.8285986226629035,0.7125003856338196,0.9350956453636841,0.8946448273342985,0.9003750426680801,0.9253337004748142,0.8531187418082706
