Ward name,West End,Knightsbridge,Bromley,Croydon,Ealing,Shepherds Bush,Wood Green,Harrow,Romford,Uxbridge,Hounslow,Kingston,Ilford,Sutton,Barking,Edgware,Bexleyheath,Wembley,Kilburn,Orpington,Camden Town,Southall,Enfield Town,Eltham,Woolwich,Dalston,Fulham,Hammersmith,Chiswick,Angel,Nags Head,Kensington High Street ,King's Road (east),Brixton,Streatham,Catford,Lewisham,Wimbledon,East Ham,Stratford,Richmond,Peckham,Canary Wharf,Walthamstow,Clapham Junction,Putney,Tooting,Wandsworth,Queensway/ Westbourne Grove
Waltham Forest - Hale End and Highams Park,13647.724450314154,16392.36221354605,22439.763443569773,26546.688160976864,25079.84197280963,19032.824016562186,7364.347330191723,23552.675702414457,13030.276274563877,33527.66307863432,30305.980490303547,29888.77880034735,7917.264377696169,30370.37667373124,9620.903864234984,17853.68196755684,19763.024130191374,21746.897841230035,15133.03473563064,26751.52264166504,12248.377465598871,27954.91922910254,7275.025757281782,17822.34214711118,14027.40232215285,8086.907145864796,19921.80739785258,19966.305930160568,22571.19577848741,10782.51828513797,11024.608837174645,17919.991921950965,18025.27091899902,18009.736111242553,21642.936007881766,18150.12382460411,18477.089005522208,25841.45441024703,9674.709098902602,6380.43865608435,26359.16050764204,15502.133272059378,11437.09026952147,2146.328838164543,19597.435241900774,22020.691777369237,23669.012443159983,20773.270869021577,16397.80950712673
Waltham Forest - Hatch Lane,14962.395732258132,17696.170484746868,23657.615548104866,27891.150388402748,26079.828859007917,20241.69733766034,8211.321617058959,24301.60165281324,12871.186495993705,34344.342848823726,31461.329182234098,31184.403294786436,8501.947052480282,31735.92855688483,10379.422831835469,18401.316179590067,20585.202672553005,22675.4708852174,16280.772696689713,27820.11625959034,13480.673147817013,28970.44185363325,6963.322274931427,18926.00270503774,15019.148423794526,9435.459254237121,21219.475218778174,21211.93302924358,23772.725925473806,12098.977534370875,12390.289729905278,19181.005547101675,19339.930980299276,19375.400862488652,23007.91333923693,19430.403530359483,19741.595547177913,27183.858243614,10608.214887429795,7640.418378179322,27579.51394384766,16856.54441570215,12744.120653374299,3511.951202918512,20937.60482032711,23327.01472925423,25031.52551331585,22112.296394457873,17632.347974182736
Waltham Forest - High Street,10593.439292750842,13355.481164901808,19902.52968844257,23558.09484965016,22710.355316064713,16201.77353657076,5870.058487038314,21789.782082055783,14181.279333506818,31545.440530953092,27564.076840992948,26854.61274340449,7706.639811512421,27255.203192812085,8782.840717367573,16653.206151651764,18410.65539553458,19569.414852026326,12476.556346087178,24643.399698415964,9402.775545107537,25536.24189170303,8532.779875977089,15682.353823908652,12301.083664702475,4974.271466527333,16892.072960951995,17048.166993211114,19744.845492799825,7732.854861477198,7925.497696230535,14973.095410411479,14964.022017568172,14897.106007337476,18549.45540761514,15423.421740390777,15804.648887454947,22730.039029465668,8309.187384882549,4018.7698283275586,23482.60996971568,12481.566956008095,8659.90975189839,1001.0540363189508,16490.45622056627,18971.60882565849,20544.10617093283,17667.63879626017,13517.959607989278
Waltham Forest - Higham Hill,11246.927432595967,13980.126375069061,21053.49688066865,24603.034473357973,22792.935339739506,16605.354343389237,5417.9413446108065,21556.35608726366,14552.512466241378,31426.567203782855,27897.995302705287,27470.64427637842,8444.485088759206,28163.04636983855,9697.851874204272,16171.479267072684,19468.667477377723,19539.34351612433,12737.145636975276,25793.77979742257,9816.789712705875,25650.499036702146,7405.808957285055,16831.615292075527,13404.539363142292,5773.09765224533,17504.786583565183,17533.03993377588,20145.324757893053,8384.49614145771,8895.534456053694,15487.782059398696,15624.175355064144,15821.70029071768,19506.464350574657,16556.04568860217,16944.740161879334,23488.86486547044,9334.713088785224,5162.216476120223,23928.164044983812,13518.571685002678,9792.803876458382,987.1959583305375,17240.644515218566,19610.828857059118,21413.498931256272,18413.301433637553,13965.32905039405
Waltham Forest - Hoe Street,10968.797453239044,13738.324916126427,19779.208047008524,23636.129690068956,23250.05442052404,16665.381730291614,6442.334716545959,22366.218634580422,13602.488663213371,32112.346681236246,28043.031637546635,27229.981868305622,7156.119102386238,27459.64711732716,8292.174091179319,17227.74813471408,18016.867930890938,20127.590977356755,12984.462551093757,24403.894610554347,9873.587686542398,26069.258438811925,8845.415630888021,15440.483338347902,11959.980337213863,5304.248115051965,17275.600506235016,17483.177175347864,20206.749131423447,8119.150434780646,8106.92029887429,15399.19030480252,15327.932561277,15098.537016561255,18719.519432086738,15365.412572520623,15725.518741421994,23035.06204114756,7886.243403852491,3774.3487694368337,23927.377151942725,12580.266602675196,8612.925926946245,820.7189636984255,16805.790459746495,19341.08493510159,20780.795633078753,17984.187968852566,13970.146820727414
Waltham Forest - Larkswood,13877.248231586353,16585.76222975609,23343.042696732122,27220.880004488583,24763.95039880415,19016.915515732384,6886.176325717233,22986.306689039582,13942.388955938466,33022.117502939895,30196.3802382937,30050.11146947626,9020.153249275041,30856.330118864655,10725.133351369741,17130.252953983025,20856.2922623277,21351.72059891828,15018.798715977535,27763.412801629132,12284.801645892481,27657.0342739929,6179.830607923104,18819.88128704789,15081.273015470952,8465.215378053485,20094.61030518409,20019.74247512904,22540.06877681218,11025.070863310031,11568.178113076847,18007.535982363435,18247.863780123476,18511.57271068007,22187.76403049679,18978.552389484696,19328.29594115436,26155.2418218765,10751.906643455903,7275.697374396132,26360.116117313613,16145.745432638063,12232.225866150256,2800.812219615636,19907.033473330055,22215.216626292393,24107.426560075637,21076.96829589133,16432.440816885846
Waltham Forest - Lea Bridge,8019.535780469209,10793.181766383374,17831.854007260194,20996.11053074652,20863.6173107356,13888.211575905516,5800.372128894214,20575.40873836313,15576.18404605192,30032.957490279998,25297.474157807268,24270.135125178786,8457.144068900498,24566.125149520496,8871.306161901652,16088.025549348931,17563.76210409732,17957.99318990006,10430.882909638296,22972.582884699663,7169.574516005501,23618.65826191021,10311.969884294182,14093.787289310338,11259.39198345396,2332.1129144213355,14327.695282032959,14622.575583541671,17414.82388027041,5195.3897342083765,5267.517470575884,12522.766213676572,12363.068096042554,12212.327074291255,15883.151054278123,13185.0984011162,13624.440884808002,20056.023057565577,7924.692806610356,3218.532636977449,21081.199996103875,9911.98558308492,6490.194173378748,3684.859588682303,13824.844956055791,16378.632784696369,17847.748476842313,15003.189240654638,11166.426539113882
Waltham Forest - Leyton,9829.248123642625,12583.490270343056,17433.19229422954,21482.57376482089,23075.743711123312,15921.640102915428,7653.1620725187395,22821.96048265933,13339.076774851694,32284.864107505426,27329.269101025584,25945.84101885191,6207.9104159463595,25574.88798363067,6764.46357120031,18207.317835137088,15986.757953014281,20206.944804367336,12614.480715804175,22094.110898555857,9304.685529132339,25810.047252597524,11077.417971448076,13132.40840068141,9804.670675906818,4248.898522880693,16083.725539258334,16557.681413380997,19420.81966379276,7128.53100186477,6301.684299675731,14445.870405677897,14064.37846116466,13251.193031760557,16769.955941032647,13052.85391895686,13398.246438696002,21479.46460809474,6012.346216404298,1473.1180212131987,23014.259620533972,10499.248520134637,6325.394216741208,3152.343405289014,15324.538397957871,18067.85228020911,19006.243757776843,16498.767430226442,13189.15965810747
Waltham Forest - Leytonstone,11571.00330224759,14318.102120891133,18063.61757269189,22658.207884928543,24780.100445017273,17676.078165033185,8788.018483067886,24361.36315235594,11673.034565509422,33919.070703526115,29083.99623579755,27641.686279987083,4766.365382864794,27010.651734532166,5767.920550901038,19513.91416158438,15576.320449739664,21855.248103171794,14336.646690066384,22306.029904525945,11043.069970957573,27529.610073450887,11230.496199588619,13372.405325618736,9644.77690264063,6002.555906129205,17807.6071220105,18308.75704500313,21175.446807779546,8883.053676415831,7891.830240123638,16196.54744959955,15779.235020393207,14750.648206298909,18179.366234015233,13924.975113757568,14201.835155156414,23098.691194393046,5422.767679022854,2233.3706319605326,24763.781600900144,11825.845584585812,7382.239411391617,3065.1914907681867,16982.65463604472,19774.16078043756,20527.510948787654,18152.615286494914,14943.691785994106
Waltham Forest - Markhouse,9818.00370791614,12588.758592548049,19036.896562539972,22631.11570610773,22276.364000358157,15562.124032683529,5974.733852997443,21597.33205279133,14368.000454006746,31250.24285887616,26953.260365876013,26077.931771200085,7599.291414239646,26351.754060961863,8452.594793845523,16680.958797330964,17840.040452634894,19224.177552237947,11944.900462504163,23865.96288917462,8783.786350725844,25075.74037909205,9277.038779312237,14913.61637598528,11658.552775181171,4149.779423945968,16125.757677795997,16356.04605798515,19100.55095667647,6972.401380054963,7011.12291469507,14267.071992639228,14174.689412845417,13991.448246459851,17634.054485718374,14526.501448394467,14917.02345132717,21884.915475183072,7823.641896487549,3315.478470125052,22805.791476700837,11554.76538394134,7763.426619131705,1872.6486965458625,15653.513555331865,18188.374718139334,19654.702768440893,16831.79013872056,12857.574894182188
Waltham Forest - Valley,14488.763668169413,17147.807240955513,24507.28340006609,28206.209223811213,24742.265805951847,19351.671328625594,6812.498562167395,22659.813445032796,14834.396499364135,32755.374458152,30401.12112496955,30546.19668291505,10216.80256383739,31670.80667626965,11958.531028619489,16611.080524794623,22100.75695507947,21244.144868866057,15265.71096865562,28990.84431625803,12713.461625370186,27650.52347914639,5044.669308550407,20041.723405524284,16325.667558401648,9261.19026749028,20623.083274256373,20424.854676657516,22847.047295318738,11670.127110252504,12477.90650430422,18455.7043468739,18832.468395625474,19359.45918811585,23066.635228478823,20093.31325807462,20459.061213603614,26810.935014335155,11999.43809941695,8455.817419785622,26692.95511880127,17121.326617621893,13333.852103246096,3922.7847641690596,20571.867572820564,22759.891033663633,24885.97249888058,21732.99695363521,16832.209257831997
Waltham Forest - William Morris,11113.73091503856,13859.057422963097,20707.190391278175,24319.52273850352,22855.860239311216,16561.639600742245,5624.649413459779,21715.408041260027,14339.413703693068,31553.38270893744,27880.836058991503,27356.59229921791,8134.5425244332555,27939.07628064909,9352.717402202126,16400.021836885335,19102.67487291457,19636.3270191217,12738.083798585018,25428.565535193655,9763.972403364996,25704.117940649732,7775.660318061779,16466.00983056639,13034.831622472431,5579.658469238011,17389.565727429028,17462.22778584686,20104.070308889543,8248.560262464449,8641.697177319693,15405.803085771211,15491.334920125179,15589.199484350122,19261.318324456603,16224.86692476955,16608.170383246637,23322.154966934184,8971.855889182838,4795.506433308398,23872.718985080715,13237.619753776984,9461.167974239852,743.4967208762072,17075.70484490209,19486.885387640144,21204.12396709303,18250.38453868186,13905.366940096987
Waltham Forest - Wood Street,12043.7614435556,14817.05350309261,20075.1515433847,24290.503585826547,24413.636964522004,17808.413622693628,7446.165640650319,23472.060305251245,12529.59546242321,33250.15058283779,29193.817915402265,28294.033521224344,6359.908976132461,28306.75851084657,7732.68709227584,18228.80024046451,17699.355434297926,21278.926299448904,14148.02864433556,24446.962134784088,11023.080639496733,27234.39612404992,9114.556267497874,15501.622912653638,11805.261374991316,6356.1587699275005,18352.214266231036,18605.65682968853,21348.00238260474,9209.70873998681,8965.957910654179,16515.391255023307,16386.19272411041,15956.699369328982,19525.55292881996,15799.856098563476,16119.086985947737,24020.38163759204,7548.977994237356,4018.136348602788,25055.87385324527,13293.65944417509,9110.665822184646,1118.157828026746,17808.70547008027,20402.180656982433,21679.089615555236,18987.332796172108,15106.527675728712
Wandsworth - Balham,8141.479452370215,6312.413969808374,12200.599730424392,8317.26832516076,15956.303855697008,8536.501065618997,17350.34964211535,20156.806938891834,27337.534817788102,25504.763443653108,15413.477301265384,10811.818191423574,20274.74650959524,9495.158811677491,18938.11944864678,20667.656135668185,20188.429806175645,15949.497346121154,10813.618142919035,18714.598605215462,10717.379270069807,17308.084747082507,23816.51809669485,14254.404408229298,16111.450423630042,12976.768863117846,5126.728826613972,7292.548693369422,9369.596456062272,10676.795359625985,10090.911801428123,7022.789117689212,4936.693236873172,3283.428902329431,2585.618669479349,9185.788865059758,9767.633062061263,5445.173660852192,17287.148010120483,15786.289683071278,10671.850774036904,6753.474564482118,11330.41994797854,18869.28966718068,2786.0709344255865,4889.718093717204,2669.3642716924137,2567.676933717799,8351.209233317406
Wandsworth - Bedford,8550.982145930735,6668.870984399058,12269.629043658373,8076.393993479741,16016.397814458322,8737.818262725174,17760.967079510836,20320.36054918519,27714.915047581548,25506.875828415457,15270.294056646506,10506.381511828207,20670.272146503463,9071.60331065328,19316.749504994645,20951.558738626205,20414.797644753064,16108.445051506973,11137.242455458245,18749.806231553008,11112.04238075571,17300.879071424115,24231.28248509177,14484.516648032746,16427.14032271261,13407.221151731388,5294.436467235511,7449.242158125824,9412.414695567339,11100.787017460774,10518.02876563191,7287.792651089961,5246.541954821699,3682.191386627864,2529.3560044542455,9402.55695184999,9970.008331682362,5086.189465444406,17666.39241481865,16206.078677652842,10556.882816863765,7125.616393935507,11724.290161283077,19299.68447970975,3055.401313473476,4879.073862316896,2240.0348101724335,2678.581895543303,8662.013276393542
Wandsworth - Earlsfield,8950.026250848408,6555.305942498368,14487.01835974684,9592.977426382682,14097.892106927013,7478.818640130623,18023.77210908222,18749.102314150663,29448.95642327683,23425.7034834419,13023.941835712374,8500.43512484418,22277.447739626863,8966.585673069456,21055.13276360264,20000.165957084217,22619.776343487487,14540.456096432821,10577.908044993004,20927.98052510514,11233.430046350486,15211.383616864961,24529.07813230757,16685.441400283937,18454.730135100148,14291.630263088879,4051.1512624579964,6015.712628144709,7490.151004472852,11723.290176810764,11730.525789656664,6455.515528596346,4877.566053263467,5435.250471108013,4680.236260671894,11617.350600000816,12196.635867828156,3482.0628718599287,19404.5362791102,17536.889995858615,8325.344780539546,8960.17173015411,13380.404923393113,20260.688098021037,2832.3085633422893,2908.4935644193833,2713.7309595281295,1728.0821299289187,8079.122304787423
Wandsworth - East Putney,8231.087605141503,5515.416189640348,16611.499193694985,12070.378802531553,11652.23799150255,5236.316887565964,16851.514965096078,16287.329484584925,29972.43205811428,21096.204935157006,11237.816335362239,8090.141153464231,22656.23529811171,10898.918948669474,21648.056100445156,17802.23692196618,24202.63510596046,12084.062474096245,8804.135256511627,23134.553179161696,10091.946441397906,12892.799150352448,23317.91522589801,18285.668631151413,19591.188538824066,13873.037752442808,2152.85970997457,3700.7835902933775,5037.406725203599,11096.146516757906,11791.22095280984,4656.864350798889,3853.3774581074194,6612.220273601026,6940.384557074916,13320.431026517654,13944.09015855724,4556.006833682846,20015.530586248737,17594.060424868243,6432.596424545613,9972.076645364694,13974.569567116287,19815.209042097587,2869.61323104711,469.75950222083384,5168.9518373191295,2032.5892983383653,6401.002431707186
Wandsworth - Fairfield,7465.352197869953,4916.124738992427,15229.056546961527,11101.790447930207,12864.45365199969,5770.985387463048,16400.66820346265,17215.591844898627,28733.486755098784,22424.924616052293,12682.973092055847,9186.969381973298,21457.17676710004,10731.56456481893,20379.91869736744,18245.473089349358,22757.70238544831,13000.609112514388,8803.121638623576,21775.883609575787,9601.013005860452,14239.357377256001,22901.050948339675,16839.409984597907,18192.8141913375,12982.468809063967,2303.7765093897337,4370.566511080177,6275.22994613061,10300.278161682572,10679.035708635383,4674.897453481142,3207.073987687082,5177.490677077604,5669.14277410814,11875.118533225761,12500.53655207941,4880.98879489893,18739.78992359177,16503.947694389997,7878.938089079326,8576.070706053226,12690.379054517434,18953.610822325343,1564.427228922102,1895.9855688611765,4396.292973849344,587.2172754266396,6308.5024435617715
Wandsworth - Furzedown,9874.348046814728,8049.896247937265,11743.042403437978,6810.487127488211,17012.390875335706,10005.378799547561,19078.13119326912,21511.149237052916,28343.554355291053,26350.487882082456,15729.374340840075,10386.99631375072,21421.124898840422,7840.572683885821,19966.07888510259,22302.070466125395,20379.526993933876,17296.155412309945,12514.8872611534,18092.18795830939,12465.053707185436,18136.284738186274,25533.157754644875,14487.579496080123,16769.74290310753,14573.568598913806,6535.018555652451,8658.114447904502,10398.553143366995,12360.269681348513,11570.253021421742,8630.049579145081,6621.235903350303,4591.873987149895,1993.061645567175,9401.302067291761,9909.115638463956,4804.237190258254,18323.341089810106,17155.836585446188,11133.03205955852,7811.657288967445,12491.525013054961,20413.41325233085,4415.196933829388,5812.39704337414,1267.7938175756115,3892.913705909227,10034.833004607844
