,UExt,URoof,UFloor,UWin,heatCapacity_wall,fAWin_south,fAWin_east,fAWin_west,fAWin_north,zone_length,weaDat.fileName,changes,UpperSP,LowerSP
106,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,12,Bratislava,[],22.0,22.0
107,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,12,Amsterdam,[],21.5,19.5
108,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,6,Munich,[],21.0,19.0
109,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,6,Bratislava,[],20.0,17.0
110,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,6,Amsterdam,[],22.0,18.5
111,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,9,Munich,[],21.5,21.5
112,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,9,Bratislava,[],21.0,19.0
113,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,9,Amsterdam,[],24.0,21.5
114,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,12,Munich,[],20.5,17.0
115,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,12,Bratislava,[],21.5,21.5
116,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,12,Amsterdam,[],22.5,22.0
117,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,21.5
118,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,6,Bratislava,[],23.5,23.5
119,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,6,Amsterdam,[],23.5,21.0
120,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,9,Munich,[],21.0,18.5
121,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.5,21.5
122,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,9,Amsterdam,[],20.5,17.0
