index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
2470,49800,9,741000,280.9793374287987,22.95075295075295,54.159301876126136,24.0,187.33286924633978,295.42502980793216,51.05611850749817,0.008195687807338292
2471,50100,9,741300,280.881683048296,22.52207977207977,47.18362117443675,24.0,181.56878096183715,295.3390120836682,44.39291528169855,0.007943512797881734
2472,50400,9,741600,280.78,22.032967032967033,40.208427029255795,24.0,187.33286924633978,295.2501783780936,37.7321138299873,0.008195687807338292
2473,50700,9,741900,280.675006639877,21.486467236467234,33.427036282211304,24.0,190.21491338859133,295.16466646991097,31.26036160994341,0.00832177531206658
2474,51000,9,742200,280.5677917403152,20.885632885632884,27.03276577493134,24.0,187.33286924633978,295.0886736736521,25.164306079145902,0.008195687807338292
2475,51300,9,742500,280.4584304918802,20.233516483516482,21.218932349043982,24.0,195.97900167309396,295.01102646264576,19.630594695173805,0.008573950321523137
2476,51600,9,742800,280.3469980851377,19.533170533170534,16.178852846177264,24.0,190.21491338859133,294.93196735290945,14.84587491560611,0.00832177531206658
2477,51900,9,743100,280.2335697106532,18.787647537647537,12.105844107959257,24.0,198.86104581534548,294.85218456509614,10.996794198021838,0.008700037826251424
2478,52200,9,743400,280.11822055899245,18.0,9.193222976018015,24.0,195.97900167309396,294.7828216101083,8.27,0.008573950321523137
2479,52500,9,743700,280.001025820721,16.967147435897434,7.10659756441016,24.0,187.33286924633978,294.71057223237773,6.339810305059523,0.008195687807338292
2480,52800,9,744000,279.88206068640443,15.544871794871796,5.362259632988673,24.0,181.56878096183715,294.6388303768851,4.735969742063491,0.007943512797881734
2481,53100,9,744300,279.76140034660847,13.82451923076923,3.929551492076171,24.0,181.56878096183715,294.56940099559154,3.428265736607143,0.007943512797881734
2482,53400,9,744600,279.6391199918986,11.897435897435898,2.777815451995272,24.0,170.04060439283148,294.49913648644497,2.3864857142857137,0.007439162778968602
2483,53700,9,744900,279.5152948128406,9.854967948717949,1.8763938230685957,24.0,195.97900167309396,294.4256653694114,1.5804171006944445,0.008573950321523137
2484,54000,9,745200,279.39,7.788461538461538,1.1946289156187602,24.0,190.21491338859133,294.3636859149879,0.9798473214285703,0.00832177531206658
2485,54300,9,745500,279.2613522360999,5.789262820512821,0.7018630399683818,24.0,20612.379705381896,294.2965506756276,0.5545638020833339,0.9017778338166693
2486,54600,9,745800,279.1280056406124,3.948717948717949,0.36743850644007914,24.0,22376.190720439743,300.4430093181679,0.2743539682539682,0.9789433867103776
2487,54900,9,746100,278.9908415592264,2.3581730769230784,0.16069762535647136,24.0,22255.144866465183,303.448031403995,0.10900524553571422,0.9736477115117897
2488,55200,9,746400,278.8507413376309,1.1089743589743613,0.05098270704017871,24.0,22229.20646918492,304.6489871954031,0.028305059523811238,0.9725129239692352
2489,55500,9,746700,278.7085863215149,0.29246794871795245,0.007636061813816042,24.0,22134.099012490624,305.1635505103552,0.0020408358134904603,0.9683520363132019
2490,55800,9,747000,278.56525785656726,0.0,0.0,24.0,21834.366421696493,305.3843555972118,0.0,0.9552389358214611
2491,56100,9,747300,278.42163728847703,0.0,0.0,24.0,21710.438523579673,305.42450033296615,0.0,0.9498171731181446
2492,56400,9,747600,278.2786059629331,0.0,0.0,24.0,21572.100404751603,305.44412403427094,0.0,0.943764972891187
2493,56700,9,747900,278.1370452256245,0.0,0.0,24.0,21557.690184040363,305.44978797610895,0.0,0.9431345353675462
2494,57000,9,748200,277.9978364222401,0.0,0.0,24.0,21802.663936131703,305.48429267861366,0.0,0.9538519732694489
2495,57300,9,748500,277.86186089846893,0.0,0.0,24.0,21837.24846583872,305.60720548555236,0.0,0.9553650233261883
