index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
24,7200,1,7200,0.0,22081.60760375679,0.0,23.0,299.3615859697828,0.0,277.62,0.9721346614550505
25,7500,1,7500,0.0,22064.423473325853,0.0,23.0,299.628964168479,0.0,277.6254863457207,0.9713781364266808
26,7800,1,7800,0.0,22024.327168987005,0.0,23.0,299.77526349793186,0.0,277.6246094389844,0.9696129113604853
27,8100,1,8100,0.0,21995.686951602092,0.0,23.0,299.855779510255,0.0,277.61852445485255,0.9683520363132019
28,8400,1,8400,0.0,21978.502821171154,0.0,23.0,299.9041408272167,0.0,277.60838656838655,0.9675955112848322
29,8700,1,8700,0.0,22070.151516802816,0.0,23.0,299.93571943086386,0.0,277.5953509546478,0.9716303114361367
30,9000,1,9000,0.0,22012.871082033034,0.0,23.0,299.97707552307793,0.0,277.5805727886978,0.9691085613415716
31,9300,1,9300,0.0,22070.151516802816,0.0,23.0,299.9965031847076,0.0,277.56520724559783,0.9716303114361367
32,9600,1,9600,0.0,2328.449673392253,0.0,23.0,300.02457322788047,0.0,277.5504095004095,0.10250914134409286
33,9900,1,9900,0.0,183.2973912633509,0.0,23.0,296.5680423939119,0.0,277.5373347281941,0.008069600302610022
34,10200,1,10200,0.0,206.20956517126965,0.0,23.0,294.39070873172244,0.0,277.5271381040131,0.009078300340436269
35,10500,1,10500,0.0,203.3455434327796,0.0,23.0,293.23256520585045,0.0,277.5209748029279,0.00895221283570798
36,10800,1,10800,0.0,20933.13488662237,0.0,23.0,292.5768919469288,0.0,277.52,0.92157357205901
37,11100,1,11100,0.0,22536.987060176678,0.0,23.0,295.8334360044669,0.0,277.5229166579774,0.9921825747068471
38,11400,1,11400,0.0,22473.97858192989,0.0,23.0,297.76630558048856,0.0,277.5274419558447,0.9894086496028244
39,11700,1,11700,0.0,22488.298690622363,0.0,23.0,298.7510583358647,0.0,277.533252393018,0.9900390871264669
40,12000,1,12000,0.0,22577.08336451552,0.0,23.0,299.2724072751151,0.0,277.5400244689133,0.9939477997730425
41,12300,1,12300,0.0,22611.4516253774,0.0,23.0,299.5752435307429,0.0,277.5474346829468,0.9954608498297819
42,12600,1,12600,0.0,22714.556407963035,0.0,23.0,299.75587929480577,0.0,277.55515953453454,1.0
43,12900,1,12900,0.0,22703.1003210091,0.0,23.0,299.88682498670886,0.0,277.5628755230925,0.999495649981088
44,13200,1,13200,0.0,2142.288260390414,0.0,23.0,299.96858796533286,0.0,277.5702591480369,0.09431345353675465
45,13500,1,13500,0.0,183.2973912633509,0.0,23.0,296.4054997628781,0.0,277.57698690878374,0.008069600302610022
46,13800,1,13800,0.0,189.0254347403305,0.0,23.0,294.2144184643697,0.0,277.5827353047492,0.00832177531206658
47,14100,1,14100,0.0,191.88945647882048,0.0,23.0,293.049578229184,0.0,277.5871808353492,0.008447862816794867
48,14400,1,14400,0.0,191.88945647882048,0.0,23.0,292.3992857013134,0.0,277.59,0.008447862816794867
49,14700,1,14700,0.0,189.0254347403305,0.0,23.0,292.0104121779561,0.0,277.59077860037956,0.00832177531206658
50,15000,1,15000,0.0,177.56934778637094,0.0,23.0,291.7595584703855,0.0,277.58959193628493,0.007817425293153447
51,15300,1,15300,0.0,174.70532604788136,0.0,23.0,291.5799542246518,0.0,277.5868507543103,0.007691337788425178
52,15600,1,15600,0.0,20715.46923449713,0.0,23.0,291.43961453658704,0.0,277.5829658010501,0.9119909216996601
