index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
1330,53400,5,399000,5.054351851851852,13475.768860574342,22.0,1.9506302725660962,273.9060977755435,3.8533420479914806,295.67819171262306,0.9749846315521958
1331,53700,5,399300,3.8971553096064824,13475.768860574342,22.0,1.0161196835973278,273.84866312680657,2.7075298910857253,295.6927190282035,0.9749846315521958
1332,54000,5,399600,2.8833593749999995,13475.768860574342,22.0,0.39584429247764596,273.78999999999996,1.8109063665389193,295.7090512898737,0.9749846315521958
1333,54300,5,399900,2.016321252893519,13475.768860574342,22.0,0.03135532955364795,273.7272011552837,1.1337549297297045,295.7265339715057,0.9749846315521958
1334,54600,5,400200,1.299398148148148,13475.768860574342,22.0,0.0,273.6581056744818,0.6463590360367242,295.74495614443697,0.9749846315521958
1335,54900,5,400500,0.7359472656249988,13475.768860574342,22.0,0.0,273.58407339449536,0.3190021408386219,295.76382980408545,0.9749846315521958
1336,55200,5,400800,0.3293258101851837,13475.768860574342,22.0,0.0,273.5064641522256,0.1219676995140393,295.7828841467869,0.9749846315521958
1337,55500,5,401100,0.0828909866898151,13475.768860574342,22.0,0.0,273.42663778457353,0.025539167441618105,295.80199779590976,0.9749846315521958
1338,55800,5,401400,0.0,13475.768860574342,22.0,0.0,273.3459541284403,0.0,295.82094564475676,0.9749846315521958
1339,56100,5,401700,0.0,13475.768860574342,22.0,0.0,273.2657730207271,0.0,295.83983983120004,0.9749846315521958
1340,56400,5,402000,0.0,13475.768860574342,22.0,0.0,273.187454298335,0.0,295.8585202459935,0.9749846315521958
1341,56700,5,402300,0.0,13475.768860574342,22.0,0.0,273.11235779816514,0.0,295.8769765148606,0.9749846315521958
1342,57000,5,402600,0.0,13475.768860574342,22.0,0.0,273.0418433571186,0.0,295.8951928147846,0.9749846315521958
1343,57300,5,402900,0.0,13475.768860574342,22.0,0.0,272.9772708120965,0.0,295.9133199753156,0.9749846315521958
1344,57600,5,403200,0.0,13475.768860574342,22.0,0.0,272.91999999999996,0.0,295.9312761182126,0.9749846315521958
1345,57900,5,403500,0.0,13475.768860574342,22.0,0.0,272.8691893074581,0.0,295.9490731554365,0.9749846315521958
1346,58200,5,403800,0.0,13475.768860574342,22.0,0.0,272.8231126331811,0.0,295.96682406339755,0.9749846315521958
1347,58500,5,404100,0.0,13475.768860574342,22.0,0.0,272.78180308219174,0.0,295.98449583817865,0.9749846315521958
1348,58800,5,404400,0.0,13475.768860574342,22.0,0.0,272.7452937595129,0.0,296.00210297676625,0.9749846315521958
1349,59100,5,404700,0.0,13475.768860574342,22.0,0.0,272.7136177701674,0.0,296.0196405753129,0.9749846315521958
1350,59400,5,405000,0.0,13475.768860574342,22.0,0.0,272.68680821917803,0.0,296.0371289576928,0.9749846315521958
1351,59700,5,405300,0.0,13475.768860574342,22.0,0.0,272.66489821156773,0.0,296.0545802566639,0.9749846315521958
1352,60000,5,405600,0.0,13475.768860574342,22.0,0.0,272.64792085235916,0.0,296.0720105928405,0.9749846315521958
1353,60300,5,405900,0.0,13475.768860574342,22.0,0.0,272.6359092465753,0.0,296.08943128199417,0.9749846315521958
1354,60600,5,406200,0.0,13475.768860574342,22.0,0.0,272.6288964992389,0.0,296.10685518281525,0.9749846315521958
1355,60900,5,406500,0.0,13475.768860574342,22.0,0.0,272.6269157153729,0.0,296.1242619037564,0.9749846315521958
1356,61200,5,406800,0.0,13475.768860574342,22.0,0.0,272.63,0.0,296.14167521666224,0.9749846315521958
1357,61500,5,407100,0.0,13475.768860574342,22.0,0.0,272.63651206800523,0.0,296.15910655481764,0.9749846315521958
1358,61800,5,407400,0.0,13475.768860574342,22.0,0.0,272.644704531227,0.0,296.17656629763127,0.9749846315521958
1359,62100,5,407700,0.0,13475.768860574342,22.0,0.0,272.6544453401182,0.0,296.19406482451194,0.9749846315521958
1360,62400,5,408000,0.0,13475.768860574342,22.0,0.0,272.6656024451318,0.0,296.21142411361467,0.9749846315521958
1361,62700,5,408300,0.0,13475.768860574342,22.0,0.0,272.6780437967208,0.0,296.2286731140166,0.9749846315521958
1362,63000,5,408600,0.0,13475.768860574342,22.0,0.0,272.69163734533805,0.0,296.245840305417,0.9749846315521958
1363,63300,5,408900,0.0,13475.768860574342,22.0,0.0,272.7062510414365,0.0,296.2629142594034,0.9749846315521958
1364,63600,5,409200,0.0,13475.768860574342,22.0,0.0,272.72175283546915,0.0,296.27988354756326,0.9749846315521958
1365,63900,5,409500,0.0,13475.768860574342,22.0,0.0,272.73801067788884,0.0,296.2967527386994,0.9749846315521958
1366,64200,5,409800,0.0,13475.768860574342,22.0,0.0,272.7548925191486,0.0,296.31351672125663,0.9749846315521958
1367,64500,5,410100,0.0,13475.768860574342,22.0,0.0,272.7722663097013,0.0,296.33015872858806,0.9749846315521958
1368,64800,5,410400,0.0,13475.768860574342,22.0,0.0,272.78999999999996,0.0,296.34666983555644,0.9749846315521958
1369,65100,5,410700,0.0,13475.768860574342,22.0,0.0,272.8061242439516,0.0,296.3630411170246,0.9749846315521958
1370,65400,5,411000,0.0,13475.768860574342,22.0,0.0,272.8196337365591,0.0,296.37928192856316,0.9749846315521958
1371,65700,5,411300,0.0,13475.768860574342,22.0,0.0,272.8318424899193,0.0,296.39540690965987,0.9749846315521958
1372,66000,5,411600,0.0,13475.768860574342,22.0,0.0,272.84406451612904,0.0,296.4113932320484,0.9749846315521958
1373,66300,5,411900,0.0,13475.768860574342,22.0,0.0,272.8576138272849,0.0,296.4272362008957,0.9749846315521958
1374,66600,5,412200,0.0,13475.768860574342,22.0,0.0,272.87380443548386,0.0,296.4429311213688,0.9749846315521958
