,T_in,T_out,heatPower,HGloHor
316,22.4,6.2,24297.1,0.0
317,22.4,6.2,29596.2,0.0
318,22.4,6.2,32437.6,0.0
319,22.4,6.1,26532.2,0.0
320,22.3,6.1,24918.8,0.0
321,22.4,6.1,30222.5,0.0
322,22.3,6.1,28356.7,0.0
323,22.4,6.1,29530.0,0.0
324,22.4,6.1,28611.8,0.0
325,22.4,6.2,28722.0,0.0
326,22.4,6.2,24439.4,0.0
327,22.4,6.1,27225.7,0.0
328,22.4,6.1,25652.4,0.0
329,22.4,6.1,28022.5,0.0
330,22.4,6.1,26010.7,0.0
331,22.4,6.0,27841.2,0.0
332,22.4,6.0,28257.1,0.0
333,22.4,5.9,26605.6,0.0
334,22.4,5.8,24207.9,0.0
335,22.5,5.7,26165.4,0.0
336,22.4,5.7,28225.1,0.0
337,22.4,5.6,30838.5,0.0
338,22.4,5.5,24984.1,0.0
339,22.4,5.4,26105.2,0.0
340,22.4,5.4,29402.8,0.0
341,22.4,5.4,25809.1,0.0
342,22.4,5.4,24508.2,0.0
343,22.4,5.3,27656.4,0.0
344,22.4,5.3,28156.6,0.0
345,22.4,5.3,31716.0,0.0
346,22.3,5.3,32827.5,0.0
347,22.4,5.3,36395.1,0.0
348,22.4,5.3,31604.5,0.2
349,22.4,5.2,26666.3,0.6
350,22.4,5.2,24427.2,1.0
351,22.5,5.2,27045.7,1.4
352,22.5,5.2,29760.9,1.9
353,22.5,5.1,32441.0,2.3
354,22.4,5.1,30588.9,2.7
355,22.4,5.0,28356.9,3.1
356,22.5,5.0,25851.3,3.5
357,22.4,4.9,26078.5,3.9
358,22.5,4.9,31957.6,4.3
359,22.4,4.8,31898.4,4.7
360,22.5,4.8,31655.3,6.1
361,22.5,4.7,33782.6,8.4
362,22.5,4.6,32870.7,10.8
363,22.4,4.6,32295.6,13.1
364,22.4,4.6,31408.8,15.4
365,22.5,4.5,29484.4,17.7
366,22.5,4.5,32270.3,20.1
367,22.5,4.4,30841.5,22.4
368,22.5,4.4,30341.7,24.7
369,22.5,4.5,28469.4,27.1
370,22.5,4.6,26580.4,29.4
371,22.4,4.7,28861.5,31.7
372,22.4,4.7,29446.2,40.5
373,22.5,4.7,29855.5,55.7
374,22.5,4.8,27817.0,71.0
375,22.5,4.9,27340.3,86.2
376,22.6,5.1,26563.6,101.5
377,22.6,5.4,27493.7,116.8
378,22.6,5.8,29833.0,132.0
379,22.6,6.1,30949.6,147.3
380,22.7,6.4,30034.0,162.5
381,22.7,6.7,27052.3,177.8
382,22.8,7.1,21245.4,193.0
383,22.7,7.6,22526.9,208.3
384,22.9,7.9,21505.7,221.8
385,22.9,8.0,18413.5,233.6
386,22.9,8.4,19077.2,245.4
387,22.7,9.2,22404.8,257.2
388,22.9,9.6,21107.3,268.9
389,22.9,9.7,17086.8,280.7
390,22.9,9.9,20994.6,292.5
391,22.9,10.2,21090.5,304.3
392,22.9,10.4,17376.0,316.1
393,22.9,10.3,15241.3,327.8
394,22.8,10.3,15088.4,339.6
395,22.9,10.3,17710.9,351.4
396,22.9,10.4,21485.1,362.4
397,22.9,10.5,21617.2,372.6
398,22.9,10.6,21927.8,382.7
399,22.9,10.7,23075.5,392.9
400,22.9,10.9,24216.8,403.1
401,22.9,11.0,23783.5,413.3
402,23.0,11.1,23383.5,423.4
403,22.9,11.0,23218.1,433.6
404,22.9,11.1,23524.8,443.8
405,22.9,11.3,23726.7,454.0
406,22.9,11.4,21051.3,464.1
407,22.9,11.3,20284.5,474.3
408,22.9,11.3,20069.5,483.1
409,22.8,11.6,21076.9,490.5
410,23.0,11.8,20946.3,497.9
411,22.8,11.7,20493.7,505.3
412,22.9,11.6,20239.3,512.7
413,22.8,11.7,20945.1,520.1
414,22.9,11.9,21173.1,527.5
415,22.9,12.1,22348.9,534.9
416,22.9,12.2,17528.1,542.3
417,22.9,12.1,17014.8,549.7
418,22.8,12.0,18164.3,557.1
419,22.9,12.0,18458.2,564.5
420,22.8,12.1,22271.6,570.5
421,22.8,12.4,19452.2,575.0
422,22.9,12.5,19455.3,579.5
423,22.8,12.4,20179.2,584.1
424,22.8,12.4,19148.8,588.6
425,22.8,12.4,19323.5,593.1
426,22.9,12.4,19456.7,597.6
427,22.9,12.5,20910.4,602.1
428,22.8,12.5,22782.8,606.7
429,22.8,12.5,15594.6,611.2
430,22.8,12.5,18436.6,615.7
431,22.8,12.6,18070.1,620.2
432,22.8,12.7,17242.9,623.1
433,22.8,12.6,18246.1,624.2
434,22.8,12.6,15584.2,625.3
435,22.8,12.7,15366.3,626.4
436,22.8,12.7,15276.3,627.5
437,22.8,12.8,17111.5,628.7
438,22.9,12.8,18118.6,629.8
439,22.8,12.6,16768.4,630.9
440,22.7,12.5,16707.5,632.0
441,22.7,12.6,20133.1,633.1
442,22.7,12.7,18205.9,634.3
443,22.8,12.8,17882.6,635.4
444,22.7,12.8,18296.9,634.9
445,22.8,12.8,18233.8,632.8
446,22.7,12.9,17546.1,630.7
447,22.7,13.1,17181.7,628.6
448,22.8,13.2,20105.4,626.5
449,22.8,13.1,18077.0,624.4
450,22.8,13.1,12305.4,622.3
451,22.8,13.2,11434.3,620.2
452,22.7,13.3,11377.0,618.1
453,22.8,13.2,14971.5,616.0
454,22.8,13.3,17064.8,613.9
455,22.7,13.5,16760.0,611.7
456,22.8,13.5,18398.9,608.1
457,22.6,13.4,17123.9,602.9
458,22.7,13.3,18108.3,597.7
459,22.7,13.4,18424.0,592.5
460,22.7,13.4,14554.6,587.3
461,22.7,13.3,19538.0,582.1
462,22.8,13.3,17070.4,576.9
463,22.7,13.5,16504.2,571.7
464,22.8,13.6,15872.3,566.5
465,22.8,13.5,17675.0,561.3
466,22.8,13.5,16740.6,556.1
467,22.8,13.5,16944.9,550.9
468,22.8,13.5,17539.3,544.0
469,22.7,13.4,17711.8,535.3
470,22.8,13.4,16403.7,526.7
471,22.8,13.5,16593.7,518.0
472,22.8,13.5,15968.0,509.4
473,22.9,13.5,15181.4,500.7
474,22.9,13.5,17902.2,492.0
475,22.8,13.6,17268.3,483.4
476,22.9,13.6,15645.6,474.7
477,23.0,13.7,18658.8,466.1
478,23.0,13.8,16951.4,457.4
479,23.0,13.7,16962.4,448.7
480,23.0,13.7,14797.1,438.9
481,23.0,13.8,14979.6,427.8
482,23.0,13.8,16712.4,416.6
483,23.1,13.9,17049.6,405.5
484,23.1,13.9,13155.7,394.4
485,23.2,14.0,17965.4,383.3
486,23.2,14.0,16034.0,372.2
487,23.1,14.0,15086.4,361.1
488,23.1,14.0,14773.5,349.9
489,23.2,14.0,17163.2,338.8
490,23.3,14.0,17948.5,327.7
491,23.3,13.9,15229.6,316.6
492,23.3,13.8,14673.9,305.8
493,23.4,13.7,14911.3,295.3
494,23.3,13.7,13573.3,284.8
495,23.3,13.6,14074.9,274.4
496,23.3,13.4,14267.4,263.9
497,23.2,13.3,15267.2,253.4
498,23.2,13.2,15871.4,242.9
499,23.2,13.1,17432.9,232.5
500,23.2,13.1,16347.0,222.0
501,23.2,13.0,15690.6,211.5
502,23.2,12.8,18699.3,201.0
503,23.2,12.7,24385.2,190.6
504,23.1,12.5,24227.6,179.9
505,23.1,12.4,20769.9,169.0
506,23.2,12.2,18479.9,158.1
507,23.0,12.0,16875.8,147.2
508,23.1,11.8,16770.6,136.3
509,23.1,11.7,22620.5,125.5
510,23.0,11.6,23219.1,114.6
511,22.9,11.5,21368.1,103.7
512,23.0,11.3,21787.1,92.8
513,23.0,11.1,22869.9,81.9
514,23.0,11.0,26165.6,71.0
515,22.9,10.9,26630.9,60.1
516,22.9,10.7,26320.6,52.4
517,22.9,10.6,21457.4,47.9
518,22.8,10.4,19572.1,43.3
519,22.9,10.3,18166.4,38.8
520,22.9,10.2,18834.1,34.2
521,22.9,10.1,19537.0,29.7
522,22.9,10.0,26791.6,25.1
523,22.8,9.9,27652.6,20.6
524,22.9,9.8,26460.0,16.0
525,22.9,9.7,24595.8,11.5
526,22.9,9.7,22672.9,7.0
527,22.9,9.6,21238.6,2.4
528,22.8,9.5,26948.8,0.1
529,22.8,9.4,28840.9,0.1
530,22.8,9.3,26769.0,0.1
531,22.8,9.2,27076.7,0.1
532,22.9,9.2,24748.0,0.1
533,22.8,9.3,21824.1,0.1
534,22.8,9.3,23323.5,0.1
535,22.8,9.4,20914.6,0.0
536,22.9,9.3,22511.8,0.0
537,22.8,9.2,23067.3,0.0
538,22.9,9.0,23051.5,0.0
539,22.8,8.8,24435.0,0.0
540,22.8,8.7,29285.9,0.0
541,22.8,8.6,31335.9,0.0
542,22.8,8.4,29898.9,0.0
543,22.8,8.1,28948.5,0.0
544,22.9,8.0,24185.2,0.0
545,22.8,8.0,23445.9,0.0
546,22.8,8.0,22583.9,0.0
547,22.8,8.1,30491.3,0.0
548,22.7,7.9,30013.1,0.0
549,22.8,7.6,28832.5,0.0
550,22.8,7.3,27087.0,0.0
551,22.8,7.0,25785.3,0.0
552,22.7,6.8,26551.7,0.0
553,22.7,6.5,25559.9,0.0
554,22.7,6.3,30106.8,0.0
555,22.7,6.2,31409.3,0.0
556,22.8,6.1,31663.7,0.0
557,22.8,5.8,32034.9,0.0
558,22.8,5.5,30530.6,0.0
559,22.8,5.2,28667.5,0.0
560,22.7,5.0,28923.6,0.0
561,22.7,4.8,26337.7,0.0
562,22.8,4.7,24791.0,0.0
563,22.7,4.8,31272.8,0.0
564,22.7,4.7,32636.0,0.0
565,22.7,4.4,32022.2,0.0
566,22.7,4.2,31513.1,0.0
567,22.8,4.1,30204.7,0.0
568,22.7,4.1,20351.6,0.0
569,22.7,4.0,27719.6,0.0
570,22.8,4.0,31107.4,0.0
571,22.7,4.0,30825.2,0.0
572,22.7,4.0,33708.8,0.0
573,22.7,4.0,33021.1,0.0
574,22.7,3.9,35152.6,0.0
575,22.8,3.8,40261.5,0.0
576,22.7,3.6,36492.7,0.0
577,22.7,3.5,33499.6,0.0
578,22.7,3.4,32900.5,0.0
579,22.7,3.3,31353.1,0.0
580,22.8,3.2,29407.7,0.0
581,22.7,3.2,28590.7,0.0
582,22.7,3.1,29079.6,0.0
583,22.7,3.0,29573.1,0.0
584,22.7,3.0,30305.7,0.0
585,22.7,3.1,30887.0,0.0
586,22.7,3.2,31399.0,0.0
587,22.7,3.1,30912.8,0.0
588,22.7,3.0,32688.5,0.0
589,22.7,2.9,31823.4,0.0
590,22.8,2.8,31146.6,0.0
591,22.7,2.9,30879.1,0.0
592,22.7,3.0,30727.7,0.0
593,22.7,3.1,29031.5,0.0
594,22.7,3.1,29992.8,0.0
595,22.7,3.1,30522.4,0.0
596,22.7,3.0,35689.1,0.0
597,22.7,2.8,37747.6,0.0
598,22.8,2.7,36208.9,0.0
599,22.7,2.8,36926.6,0.0
600,22.7,2.8,35122.6,0.0
601,22.7,2.5,31428.2,0.0
602,22.7,2.3,31093.0,0.0
603,22.7,2.4,31724.9,0.0
604,22.7,2.5,30186.5,0.0
605,22.8,2.4,31457.1,0.0
606,22.8,2.4,32171.7,0.0
607,22.7,2.3,32806.1,0.0
608,22.8,2.4,32788.9,0.0
609,22.8,2.6,32718.2,0.0
610,22.7,2.7,33080.2,0.0
611,22.7,2.6,32647.7,0.0
612,22.7,2.6,33373.2,0.0
613,22.7,2.5,33230.5,0.0
614,22.7,2.4,32960.2,0.0
615,22.7,2.3,32187.1,0.0
616,22.7,2.3,31743.6,0.0
617,22.7,2.2,32307.6,0.0
618,22.8,2.1,32594.3,0.0
619,22.7,2.1,32120.6,0.0
620,22.6,2.2,33033.7,0.0
621,22.7,2.3,32825.3,0.0
622,22.7,2.4,32321.2,0.0
623,22.7,2.4,29868.5,0.0
624,22.7,2.4,29925.4,0.0
625,22.7,2.3,33110.7,0.0
626,22.8,2.2,31330.9,0.0
627,22.7,2.1,32483.2,0.0
628,22.7,2.0,33314.6,0.0
629,22.6,2.0,30836.1,0.0
630,22.7,2.0,31166.5,0.0
631,22.7,2.1,31349.7,0.0
632,22.7,2.1,32129.4,0.0
633,22.7,2.1,34975.5,0.0
634,22.7,2.2,39047.9,0.0
635,22.7,2.4,36976.6,0.0
636,22.7,2.7,35016.9,0.2
637,22.7,3.1,29041.9,0.6
638,22.7,3.3,28785.6,1.0
639,22.7,3.4,29081.2,1.4
640,22.7,3.2,30301.8,1.8
641,22.7,2.6,31349.7,2.2
642,22.7,2.3,32912.0,2.7
643,22.7,2.3,33632.1,3.1
644,22.8,2.4,33664.5,3.5
645,22.8,2.5,32431.5,3.9
646,22.7,2.6,28833.2,4.3
647,22.7,2.7,26639.9,4.7
648,22.7,2.7,27320.5,6.4
649,22.7,2.8,31799.7,9.3
650,22.7,2.8,33529.6,12.2
651,22.8,2.9,30853.5,15.1
652,22.8,3.0,29116.3,18.0
653,22.7,3.1,29449.6,21.0
654,22.7,3.3,28126.4,23.9
655,22.7,3.4,28883.9,26.8
656,22.7,3.5,30004.1,29.7
657,22.7,3.4,30125.2,32.6
658,22.7,3.6,31241.5,35.5
659,22.8,3.9,29761.0,38.5
660,22.7,4.1,30608.2,42.3
661,22.8,4.2,29575.7,47.0
662,22.7,4.2,27673.3,51.7
663,22.7,4.3,30688.0,56.4
664,22.8,4.5,28362.1,61.2
665,22.8,4.8,28538.7,65.9
666,22.8,4.9,30686.8,70.6
667,22.8,5.0,31856.5,75.3
668,22.8,5.1,33225.5,80.0
669,22.7,5.2,27820.1,84.7
670,22.8,5.4,20873.3,89.5
671,22.8,5.5,24676.6,94.2
672,22.8,5.6,24176.2,98.9
673,22.8,5.7,24578.2,103.6
674,22.8,5.9,23805.7,108.4
675,22.8,6.2,24809.8,113.1
676,22.8,6.3,26676.3,117.8
677,22.8,6.4,25215.8,122.6
678,22.8,6.4,27574.1,127.3
679,22.8,6.5,25760.6,132.1
680,22.8,6.6,25793.7,136.8
681,22.8,6.7,25551.5,141.5
682,22.8,6.8,25666.6,146.3
683,22.8,6.9,27290.2,151.0
684,22.8,6.9,25827.4,154.4
685,22.8,7.0,23991.0,156.6
686,22.8,7.1,24555.5,158.8
687,22.8,7.2,26031.7,160.9
688,22.8,7.3,27899.9,163.1
689,22.8,7.4,26487.7,165.3
690,22.9,7.5,25253.8,167.4
691,22.9,7.6,22252.6,169.6
692,22.9,7.6,23474.3,171.8
693,22.9,7.7,23275.3,173.9
694,22.9,7.8,22328.2,176.1
695,23.0,7.9,23773.6,178.3
696,22.9,7.9,22813.1,178.0
697,22.9,7.9,21334.9,175.2
698,22.9,7.9,23043.3,172.5
699,22.9,8.0,25107.6,169.7
700,22.9,8.0,24641.5,167.0
701,22.9,8.1,24401.2,164.2
702,22.9,8.1,23676.2,161.5
703,22.9,8.0,22421.4,158.7
704,22.8,7.9,23963.0,156.0
705,22.9,7.8,22685.5,153.2
706,22.9,7.7,25748.5,150.5
707,22.9,7.7,25865.1,147.7
708,22.9,7.8,25909.4,147.0
709,22.9,7.9,26009.2,148.3
710,22.9,8.0,24754.0,149.6
711,22.9,8.0,26040.6,150.8
712,22.9,8.0,24756.5,152.1
713,22.8,8.1,23134.3,153.4
714,22.9,8.1,22596.6,154.7
715,22.9,8.2,23138.8,156.0
716,22.9,8.2,24694.4,157.2
717,22.8,8.3,24924.0,158.5
718,22.9,8.3,25987.9,159.8
719,23.0,8.3,23368.5,161.1
720,22.8,8.3,21763.4,160.3
721,22.9,8.3,22912.1,157.5
722,22.9,8.3,23348.8,154.7
723,22.9,8.3,24408.9,151.9
724,23.0,8.3,25945.2,149.1
725,22.9,8.4,27215.2,146.3
726,22.9,8.4,29075.3,143.4
727,22.9,8.5,24613.8,140.6
728,22.9,8.6,24478.9,137.8
729,22.9,8.7,20630.7,135.0
730,22.9,8.8,17304.8,132.2
731,22.9,8.9,16136.7,129.4
732,22.9,8.9,19851.3,131.5
733,22.9,9.0,21853.8,138.7
