index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
2285,80700,8,685500,289.66294390810936,125.12509128440901,0.0,0.0,0.0,20.5,273.82193672839503,0.007060900264783758
2286,81000,8,685800,289.5591955233368,134.06259780472405,0.0,0.0,0.0,20.5,273.8186666666666,0.007565250283696889
2287,81300,8,686100,289.4646744526079,125.12509128440901,0.0,0.0,0.0,20.5,273.8157484567901,0.007060900264783758
2288,81600,8,686400,289.3737504131106,129.5938445445667,0.0,0.0,0.0,20.5,273.81328395061723,0.007313075274240333
2289,81900,8,686700,289.2892174547688,131.82822117464522,0.0,0.0,0.0,20.5,273.811375,0.007439162778968602
2290,82200,8,687000,289.20826554380375,129.5938445445667,0.0,0.0,0.0,20.5,273.8101234567901,0.007313075274240333
2291,82500,8,687300,289.13058036833024,138.53135106488142,0.0,0.0,0.0,20.5,273.8096311728395,0.007817425293153447
2292,82800,8,687600,289.0575283777647,127.35946791448787,0.0,0.0,0.0,20.5,273.81,0.007186987769512046
2293,83100,8,687900,288.9841409402926,140.76572769496028,0.0,0.0,0.0,20.5,273.81075424382715,0.007943512797881734
2294,83400,8,688200,288.91711573303655,127.35946791448787,0.0,0.0,0.0,20.5,273.8114043209876,0.007186987769512046
2295,83700,8,688500,288.8485145014114,143.0001043250391,0.0,0.0,0.0,20.5,273.81203124999996,0.008069600302610022
2296,84000,8,688800,288.78655551699376,138.53135106488142,0.0,0.0,0.0,20.5,273.8127160493827,0.007817425293153447
2297,84300,8,689100,288.7244156579364,140.76572769496028,0.0,0.0,0.0,20.5,273.8135397376543,0.007943512797881734
2298,84600,8,689400,288.6644580714816,140.76572769496028,0.0,0.0,0.0,20.5,273.8145833333333,0.007943512797881734
2299,84900,8,689700,288.6057877270609,127.35946791448787,0.0,0.0,0.0,20.5,273.81592785493825,0.007186987769512046
2300,85200,8,690000,288.54579994043223,138.53135106488142,0.0,0.0,0.0,20.5,273.81765432098763,0.007817425293153447
2301,85500,8,690300,288.4915247992571,143.0001043250391,0.0,0.0,0.0,20.5,273.81984374999996,0.008069600302610022
2302,85800,8,690600,288.43950534440984,134.06259780472405,0.0,0.0,0.0,20.5,273.8225771604938,0.007565250283696889
2303,86100,8,690900,288.38577775590295,134.06259780472405,0.0,0.0,0.0,20.5,273.8259355709876,0.007565250283696889
2304,0,9,691200,288.3339489016728,147.46885758519647,0.0,0.0,0.0,20.5,273.83,0.00832177531206658
2305,300,9,691500,288.2870296001024,158.64074073559001,0.0,0.0,0.0,20.5,273.83451499118166,0.00895221283570798
2306,600,9,691800,288.24252349168614,163.10949399574773,0.0,0.0,0.0,20.5,273.83916225749556,0.009204387845164556
2307,900,9,692100,288.19850240491724,147.46885758519647,0.0,0.0,0.0,20.5,273.84392857142853,0.00832177531206658
2308,1200,9,692400,288.15104605457486,147.46885758519647,0.0,0.0,0.0,20.5,273.84880070546734,0.00832177531206658
2309,1500,9,692700,288.10533629550685,167.57824725590507,0.0,0.0,0.0,20.5,273.8537654320987,0.009456562854621112
2310,1800,9,693000,288.06571855976586,149.7032342152753,0.0,0.0,0.0,20.5,273.8588095238095,0.008447862816794867
2311,2100,9,693300,288.0216179858183,147.46885758519647,0.0,0.0,0.0,20.5,273.8639197530864,0.00832177531206658
2312,2400,9,693600,287.9789366527614,149.7032342152753,0.0,0.0,0.0,20.5,273.8690828924162,0.008447862816794867
2313,2700,9,693900,287.93844699263434,145.23448095511765,0.0,0.0,0.0,20.5,273.8742857142857,0.008195687807338292
2314,3000,9,694200,287.897973901932,149.7032342152753,0.0,0.0,0.0,20.5,273.8795149911816,0.008447862816794867
2315,3300,9,694500,287.8598758232731,149.7032342152753,0.0,0.0,0.0,20.5,273.8847574955908,0.008447862816794867
2316,3600,9,694800,287.8223294700171,145.23448095511765,0.0,0.0,0.0,20.5,273.89,0.008195687807338292
2317,3900,9,695100,287.7846156589719,16217.105581111464,0.0,0.0,0.0,20.5,273.8953649966931,0.9151431093178677
2318,4200,9,695400,291.43741684899766,17162.24689563477,0.0,0.0,0.0,20.5,273.9009556878307,0.9684781238179307
2319,4500,9,695700,293.4398768041838,17166.71564889492,0.0,0.0,0.0,20.5,273.90672991071426,0.9687302988273869
2320,4800,9,696000,294.45291170437133,17227.04381790704,0.0,0.0,0.0,20.5,273.9126455026455,0.9721346614550502
2321,5100,9,696300,295.0091802049322,17229.27819453713,0.0,0.0,0.0,20.5,273.9186603009259,0.9722607489597792
2322,5400,9,696600,295.331450692983,17193.52816845586,0.0,0.0,0.0,20.5,273.9247321428571,0.9702433488841261
2323,5700,9,696900,295.5293462749329,17206.934428236334,0.0,0.0,0.0,20.5,273.9308188657407,0.9709998739124959
2324,6000,9,697200,295.67551445121285,17166.71564889492,0.0,0.0,0.0,20.5,273.93687830687827,0.9687302988273869
2325,6300,9,697500,295.78096031490105,17220.340688016808,0.0,0.0,0.0,20.5,273.9428683035714,0.9717563989408656
2326,6600,9,697800,295.88530687705014,17267.26259724846,0.0,0.0,0.0,20.5,273.9487466931217,0.9744042365401595
2327,6900,9,698100,295.983465517029,17338.762649410968,0.0,0.0,0.0,20.5,273.95447131283066,0.9784390366914638
2328,7200,9,698400,296.0830876539498,17294.075116809403,0.0,0.0,0.0,20.5,273.96,0.9759172865968987
2329,7500,9,698700,296.15481473229005,17356.63766245162,0.0,0.0,0.0,20.5,273.9633962673611,0.9794477367292913
2330,7800,9,699000,296.23580602922067,17405.79394831333,0.0,0.0,0.0,20.5,273.96324652777776,0.9822216618333123
2331,8100,9,699300,296.3166897940654,17390.153311902803,0.0,0.0,0.0,20.5,273.96029296874997,0.9813390493002156
2332,8400,9,699600,296.38187624747604,17414.731454833654,0.0,0.0,0.0,20.5,273.9552777777778,0.982726011852226
2333,8700,9,699900,296.44649291598887,17443.778351024688,0.0,0.0,0.0,20.5,273.9489431423611,0.9843651494136941
2334,9000,9,700200,296.5111461453905,17492.934636886403,0.0,0.0,0.0,20.5,273.94203124999996,0.9871390745177153
2335,9300,9,700500,296.57944253696917,17253.856337467987,0.0,0.0,0.0,20.5,273.9352842881944,0.9736477115117897
2336,9600,9,700800,296.58212041972706,17309.715753219964,0.0,0.0,0.0,20.5,273.9294444444444,0.9767998991299972
2337,9900,9,701100,296.62081862683004,17303.01262332973,0.0,0.0,0.0,20.5,273.92525390624996,0.9764216366158126
2338,10200,9,701400,296.660478243114,17332.05951952073,0.0,0.0,0.0,20.5,273.9234548611111,0.978060774177279
2339,10500,9,701700,296.7077383777346,17358.872039081678,0.0,0.0,0.0,20.5,273.92478949652775,0.9795738242340184
2340,10800,9,702000,296.75790402278017,17356.63766245162,0.0,0.0,0.0,20.5,273.92999999999995,0.9794477367292913
2341,11100,9,702300,296.8026151508925,17367.809545602002,0.0,0.0,0.0,20.5,273.93802866470406,0.9800781742529321
2342,11400,9,702600,296.84678852473576,17430.37209124422,0.0,0.0,0.0,20.5,273.9472727958937,0.9836086243853246
2343,11700,9,702900,296.9022093650088,17399.090818423094,0.0,0.0,0.0,20.5,273.95765709918476,0.9818433993191275
