Ward name,Latitude,Longitude,Number of dwellings (on council tax register) (2015),Median Household income estimate (2012/13),Estimated ward-level income (£/a),Resulting origin sizes (21% of household budget) (10^8 £/a)
Hillingdon - Pinkwell,51.497854,-0.43708,4790,"31,830","152,465,700",0.32
Hillingdon - South Ruislip,51.557321,-0.393025,4850,"40,060","194,291,000",0.41
Hillingdon - Townfield,51.513733,-0.420615,5200,"30,430","158,236,000",0.33
Hillingdon - Uxbridge North,51.549723,-0.437002,6030,"41,470","250,064,100",0.53
Hillingdon - Uxbridge South,51.5485,-0.479611,5070,"34,270","173,748,900",0.36
Hillingdon - West Drayton,51.502985,-0.46541,6200,"32,680","202,616,000",0.43
Hillingdon - West Ruislip,51.569718,-0.432239,5200,"43,470","226,044,000",0.47
Hillingdon - Yeading,51.527667,-0.396949,4920,"33,240","163,540,800",0.34
Hillingdon - Yiewsley,51.511703,-0.472012,5510,"32,340","178,193,400",0.37
Hounslow - Bedfont,51.453461,-0.437216,5080,"31,870","161,899,600",0.34
Hounslow - Brentford,51.486073,-0.310117,6800,"35,040","238,272,000",0.50
Hounslow - Chiswick Homefields,51.491609,-0.250101,4890,"51,830","253,448,700",0.53
Hounslow - Chiswick Riverside,51.458948,-0.308818,5190,"49,680","257,839,200",0.54
Hounslow - Cranford,51.47843,-0.410194,4350,"30,860","134,241,000",0.28
Hounslow - Feltham North,51.444148,-0.410772,4320,"32,850","141,912,000",0.30
Hounslow - Feltham West,51.444148,-0.410772,5820,"34,010","197,938,200",0.42
Hounslow - Hanworth,51.448948,-0.382927,4650,"31,150","144,847,500",0.30
Hounslow - Hanworth Park,51.436847,-0.397886,4640,"34,340","159,337,600",0.33
Hounslow - Heston Central,51.490313,-0.274665,3990,"33,580","133,984,200",0.28
Hounslow - Heston East,51.485355,-0.371615,4170,"34,030","141,905,100",0.30
Hounslow - Heston West,51.485355,-0.371615,4080,"29,490","120,319,200",0.25
Hounslow - Hounslow Central,51.47117,-0.366804,5690,"35,830","203,872,700",0.43
Hounslow - Hounslow Heath,51.462704,-0.387407,5060,"32,530","164,601,800",0.35
Hounslow - Hounslow South,51.460922,-0.373149,4100,"39,920","163,672,000",0.34
Hounslow - Hounslow West,51.469435,-0.383771,4560,"31,890","145,418,400",0.31
Hounslow - Isleworth,51.467121,-0.329003,5060,"34,790","176,037,400",0.37
Hounslow - Osterley and Spring Grove,51.480041,-0.343316,4990,"42,140","210,278,600",0.44
Hounslow - Syon,51.479157,-0.321031,6220,"37,040","230,388,800",0.48
Hounslow - Turnham Green,51.49203,-0.266317,5500,"47,080","258,940,000",0.54
Islington - Barnsbury,51.540356,-0.118345,5950,"44,970","267,571,500",0.56
Islington - Bunhill,51.523078,-0.089828,9360,"39,200","366,912,000",0.77
Islington - Caledonian,51.543416,-0.117476,6560,"35,840","235,110,400",0.49
Islington - Canonbury,51.543465,-0.094442,5830,"40,590","236,639,700",0.50
Islington - Clerkenwell,51.52276,-0.103842,7010,"43,350","303,883,500",0.64
Islington - Finsbury Park,51.563296,-0.107435,7100,"33,620","238,702,000",0.50
Islington - Highbury East,51.550391,-0.100775,5630,"47,810","269,170,300",0.57
Islington - Highbury West,51.549897,-0.098063,8180,"43,800","358,284,000",0.75
Islington - Hillrise,51.572144,-0.124421,5220,"39,090","204,049,800",0.43
Islington - Holloway,51.557017,-0.115522,7830,"35,430","277,416,900",0.58
Islington - Junction,51.56141,-0.136811,6130,"39,470","241,951,100",0.51
Islington - Mildmay,51.548982,-0.079761,6280,"39,300","246,804,000",0.52
Islington - St. George's,51.550851,-0.127312,5790,"40,860","236,579,400",0.50
Islington - St. Mary's,51.545439,-0.098351,5980,"46,190","276,216,200",0.58
Islington - St. Peter's,51.534783,-0.098709,6200,"43,870","271,994,000",0.57
Islington - Tollington,51.557249,-0.114259,6390,"38,090","243,395,100",0.51
Kensington and Chelsea - Abingdon,51.498101,-0.196306,5530,"54,690","302,435,700",0.64
Kensington and Chelsea - Brompton,51.495506,-0.174254,5950,"64,320","382,704,000",0.80
Kensington and Chelsea - Campden,51.50101,-0.193279,4510,"65,500","295,405,000",0.62
Kensington and Chelsea - Colville,51.516111,-0.203962,4590,"43,560","199,940,400",0.42
Kensington and Chelsea - Courtfield,51.49227,-0.188847,5440,"61,810","336,246,400",0.71
Kensington and Chelsea - Cremorne,51.480156,-0.179249,4290,"43,920","188,416,800",0.40
Kensington and Chelsea - Earl's Court,51.49034,-0.195862,5360,"44,100","236,376,000",0.50
Kensington and Chelsea - Golborne,51.522629,-0.207378,4540,"30,100","136,654,000",0.29
Kensington and Chelsea - Hans Town,51.485093,-0.174936,6390,"58,100","371,259,000",0.78
Kensington and Chelsea - Holland,51.500611,-0.21127,5010,"54,770","274,397,700",0.58
Kensington and Chelsea - Norland,51.50655,-0.209771,4230,"53,430","226,008,900",0.47
Kensington and Chelsea - Notting Barns,51.523658,-0.219194,4220,"36,690","154,831,800",0.33
Kensington and Chelsea - Pembridge,51.509876,-0.197327,4190,"55,710","233,424,900",0.49
Kensington and Chelsea - Queen's Gate,51.496611,-0.179176,5660,"63,630","360,145,800",0.76
Kensington and Chelsea - Redcliffe,51.486719,-0.187527,5160,"54,550","281,478,000",0.59
Kensington and Chelsea - Royal Hospital,51.486787,-0.158185,4330,"60,600","262,398,000",0.55
Kensington and Chelsea - St. Charles,51.521712,-0.215533,4240,"36,100","153,064,000",0.32
Kensington and Chelsea - Stanley,51.512555,-0.205144,4550,"54,990","250,204,500",0.53
Kingston upon Thames - Alexandra,51.417844,-0.286233,3470,"41,390","143,623,300",0.30
Kingston upon Thames - Berrylands,51.394685,-0.284087,4290,"42,330","181,595,700",0.38
Kingston upon Thames - Beverley,51.412715,-0.249912,4180,"40,700","170,126,000",0.36
Kingston upon Thames - Canbury,51.415744,-0.29406,5620,"45,600","256,272,000",0.54
Kingston upon Thames - Chessington North and Hook,51.376931,-0.283018,3410,"37,230","126,954,300",0.27
Kingston upon Thames - Chessington South,51.363583,-0.296254,4130,"38,310","158,220,300",0.33
Kingston upon Thames - Coombe Hill,51.414655,-0.249893,3770,"45,650","172,100,500",0.36
Kingston upon Thames - Coombe Vale,51.412708,-0.285436,3660,"44,320","162,211,200",0.34
Kingston upon Thames - Grove,51.412203,-0.313714,5370,"41,410","222,371,700",0.47
Kingston upon Thames - Norbiton,51.411739,-0.28294,4150,"34,650","143,797,500",0.30
Kingston upon Thames - Old Malden,51.384967,-0.252908,3630,"41,760","151,588,800",0.32
Kingston upon Thames - St. James,51.408187,-0.304922,3370,"41,850","141,034,500",0.30
Kingston upon Thames - St. Mark's,51.393724,-0.303017,4640,"44,930","208,475,200",0.44
Kingston upon Thames - Surbiton Hill,51.399237,-0.302513,4660,"43,160","201,125,600",0.42
Kingston upon Thames - Tolworth and Hook Rise,51.378277,-0.302558,3890,"37,840","147,197,600",0.31
Kingston upon Thames - Tudor,51.417009,-0.314258,3790,"48,530","183,928,700",0.39
Lambeth - Bishop's,51.478874,-0.123807,5070,"40,360","204,625,200",0.43
