index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
3617,48300,13,1085100,42.760003133480524,0.08849715099715105,23.5,42.78581726306694,281.00502943840576,297.1635384404179,143.78869947499717,0.007943512797881734
3618,48600,13,1085400,40.0,0.0,23.5,40.0,281.00342391304343,296.61391368176857,143.78869947499717,0.007943512797881734
3619,48900,13,1085700,38.19798906089565,0.10747354497354498,23.5,38.144522657365066,281.00135039251205,296.34334924859866,136.94161854761634,0.007565250283696889
3620,49200,13,1086000,36.40624602269639,0.4034391534391535,23.5,36.30315678633183,280.99869565217386,296.1914149256989,139.2239788567434,0.007691337788425177
3621,49500,13,1086300,34.62547828490129,0.8482142857142857,23.5,34.47692225501805,280.9953464673913,296.09114726670236,134.65925823848931,0.007439162778968602
3622,49800,13,1086600,32.85639324700941,1.4021164021164025,23.5,32.66683893154149,280.99118961352656,296.0112108022846,16298.334967475485,0.9003908712646588
3623,50100,13,1086900,31.0996983085198,2.0254629629629637,23.5,30.873926684019906,280.986111865942,301.2375205852402,17656.339351405994,0.9754129365779852
3624,50400,13,1087200,29.356100868931545,2.6785714285714293,23.5,29.099205380571057,280.97999999999996,303.8846314636953,17626.668667387363,0.9737737990165186
3625,50700,13,1087500,27.6263083277437,3.32175925925926,23.5,27.343694889312705,280.9733333333333,305.0088846719204,17578.7391008957,0.9711259614172247
3626,51000,13,1087800,25.91102808445533,3.9153439153439153,23.5,25.608415078362608,280.96666666666664,305.49092370411927,1506.3578040237799,0.08321775312066579
3627,51300,13,1088100,24.210967538565505,4.4196428571428585,23.5,23.894385815838532,280.96,300.44893864290555,146.07105978412423,0.008069600302610022
3628,51600,13,1088400,22.52683408957328,4.794973544973546,23.5,22.20262696985823,280.9533333333333,297.87299274712785,139.2239788567434,0.007691337788425177
3629,51900,13,1088700,20.85933513697773,5.00165343915344,23.5,20.53415840853947,280.94666666666666,296.7681160535715,150.635780402378,0.00832177531206658
3630,52200,13,1089000,19.20917808027791,5.0,23.5,18.89,280.94,296.2764440284448,146.07105978412423,0.008069600302610022
3631,52500,13,1089300,17.45211355291695,4.801587301587301,23.5,17.14727128349969,280.93333333333334,296.03104912186035,150.635780402378,0.00832177531206658
3632,52800,13,1089600,15.506761682314364,4.464285714285714,23.5,15.22454160725385,280.9266666666666,295.8949726401865,155.20050102063178,0.008573950321523137
3633,53100,13,1089900,13.438134108933792,4.017857142857142,23.5,13.185005552813426,280.91999999999996,295.8024842380378,146.07105978412423,0.008069600302610022
3634,53400,13,1090200,11.31124247323887,3.492063492063492,23.5,11.09185770172937,280.9133333333333,295.72387159419736,16544.829880861194,0.9140083217753132
3635,53700,13,1090500,9.191098415693245,2.9166666666666665,23.5,9.00829263555263,280.90666666666664,301.026664332981,17850.339977681793,0.9861303744798897
3636,54000,13,1090800,7.142713576760558,2.321428571428572,23.5,6.997504935834156,280.9,303.68771397791323,17829.79873489965,0.9849955869373351
3637,54300,13,1091100,5.231099596904446,1.7361111111111116,23.5,5.122689184124894,280.8932378472222,304.8200192264261,17836.645815827032,0.9853738494515201
3638,54600,13,1091400,3.5212681165885567,1.1904761904761911,23.5,3.447039961975795,280.88631944444444,305.3235540373116,1663.8406653535387,0.09191779094691721
3639,54900,13,1091700,2.0782307762765235,0.7142857142857153,23.5,2.033751850937808,280.87929687499997,300.2576861613887,146.07105978412423,0.008069600302610022
3640,55200,13,1092000,0.9669992164319936,0.33730158730158877,23.5,0.9460194325618794,280.8722222222222,297.62057513901044,166.6123025662667,0.009204387845164556
3641,55500,13,1092300,0.2525850775185994,0.0892857142857153,23.5,0.247037288398964,280.86514756944445,296.5008463677867,148.35342009325095,0.008195687807338292
3642,55800,13,1092600,0.0,0.0,23.5,0.0,280.858125,295.99427118819244,16722.853984973095,0.9238431471441192
3643,56100,13,1092900,0.0,0.0,23.5,0.0,280.8512065972222,301.18242525921227,17916.528426646462,0.9897869121170092
3644,56400,13,1093200,0.0,0.0,23.5,0.0,280.84444444444443,303.76600423481267,17877.728301391315,0.9876434245366289
3645,56700,13,1093500,0.0,0.0,23.5,0.0,280.837890625,304.86492040348213,17884.575382318697,0.9880216870508138
3646,57000,13,1093800,0.0,0.0,23.5,0.0,280.8315972222222,305.35926103589577,17923.375507573845,0.990165174631194
3647,57300,13,1094100,0.0,0.0,23.5,0.0,280.8256163194444,305.61251171725434,17941.63439004688,0.9911738746690213
3648,57600,13,1094400,0.0,0.0,23.5,0.0,280.82,305.75693746010694,17991.846316847652,0.9939477997730425
3649,57900,13,1094700,0.0,0.0,23.5,0.0,280.8147829861111,305.8665283720061,18007.82283901155,0.994830412306141
3650,58200,13,1095000,0.0,0.0,23.5,0.0,280.8099305555555,305.9499956758206,1926.3121009031377,0.10641785399066964
3651,58500,13,1095300,0.0,0.0,23.5,0.0,280.805390625,300.7428523396399,146.07105978412423,0.008069600302610022
3652,58800,13,1095600,0.0,0.0,23.5,0.0,280.8011111111111,297.9669561767414,146.07105978412423,0.008069600302610022
3653,59100,13,1095900,0.0,0.0,23.5,0.0,280.7970399305555,296.77855178350154,143.78869947499717,0.007943512797881734
3654,59400,13,1096200,0.0,0.0,23.5,0.0,280.793125,296.2456160291256,16346.264533967149,0.9030387088639527
3655,59700,13,1096500,0.0,0.0,23.5,0.0,280.78931423611107,301.29642787691455,17642.645189551233,0.9746564115496156
3656,60000,13,1096800,0.0,0.0,23.5,0.0,280.78555555555556,303.85624550686083,17612.9745055326,0.9730172739881487
3657,60300,13,1097100,0.0,0.0,23.5,0.0,280.781796875,304.9397946738152,17498.856490076232,0.9667128987517336
3658,60600,13,1097400,0.0,0.0,23.5,0.0,280.7779861111111,305.38373426682534,17514.83301224013,0.9675955112848321
3659,60900,13,1097700,0.0,0.0,23.5,0.0,280.77407118055555,305.60441474901717,17512.550651930993,0.9674694237801033
3660,61200,13,1098000,0.0,0.0,23.5,0.0,280.77,305.7246720829081,17478.31524729409,0.965578111209179
3661,61500,13,1098300,0.0,0.0,23.5,0.0,280.7658333333333,305.7924124287026,17455.49164420284,0.9643172361618974
3662,61800,13,1098600,0.0,0.0,23.5,0.0,280.76166666666666,305.84131122807463,17471.46816636671,0.9651998486949943
3663,62100,13,1098900,0.0,0.0,23.5,0.0,280.7575,305.89426162822036,17507.985931312753,0.9672172487706474
3664,62400,13,1099200,0.0,0.0,23.5,0.0,280.75333333333333,305.95550757970534,17510.26829162189,0.9673433362753764
3665,62700,13,1099500,0.0,0.0,23.5,0.0,280.74916666666667,306.00821354100844,17476.032886984984,0.9654520237044519
3666,63000,13,1099800,0.0,0.0,23.5,0.0,280.745,306.0452527454022,1668.4053859717915,0.09216996595637371
3667,63300,13,1100100,0.0,0.0,23.5,0.0,280.7408333333333,300.9014010325527,146.07105978412423,0.008069600302610022
3668,63600,13,1100400,0.0,0.0,23.5,0.0,280.7366666666666,298.2261670001751,139.2239788567434,0.007691337788425177
