,susceptible,exposed,infected,recovered,symptomatic,hospitalized,critical,deceased,quarantine_S,quarantine_E,quarantine_I,contact_traced
2020-05-27,0.9947887992193829,5.2593179447928274e-05,3.6927125995353894e-05,0.0049381638490150525,0.00012644743143863606,3.6927125995353894e-05,2.1261072542779514e-05,5.4327112264085415e-05,0.00019134965288501564,0.0,0.0,0.0
2020-05-28,0.9947820851964747,4.699816035772314e-05,4.028413744947698e-05,0.004952710898649586,0.00012309041998451298,3.580812217731287e-05,2.014206872473849e-05,5.459024783322994e-05,0.00019246865670305668,0.0,0.0,0.0
2020-05-29,0.9947720141621124,5.147417562988725e-05,3.0213103087107732e-05,0.00496837695210216,0.00012309041998451298,3.8046129813394925e-05,1.7904061088656435e-05,5.484254092263055e-05,0.00019470666433913872,0.0,0.0,0.0
2020-05-30,0.9947653001392041,4.699816035772314e-05,3.133210690514876e-05,0.004980685994100612,0.00012532842762059504,3.3570114541230815e-05,1.7904061088656435e-05,5.5086686657909054e-05,0.0001891116452489336,0.0,0.0,0.0
2020-05-31,0.9947541101010237,4.252214508555903e-05,3.8046129813394925e-05,0.004992995036099063,0.00012197141616647196,3.3570114541230815e-05,1.7904061088656435e-05,5.532636047603422e-05,0.00018239762234068742,0.0,0.0,0.0
2020-06-01,0.9947440390666613,3.8046129813394925e-05,4.252214508555903e-05,0.0050097800933696784,0.00011749540089430785,3.133210690514876e-05,1.7904061088656435e-05,5.5565840696518566e-05,0.00018015961470460538,0.0,0.0,0.0
2020-06-02,0.994736206039935,3.6927125995353894e-05,3.916513363143595e-05,0.005023208139186171,0.00011637639707626683,3.245111072318979e-05,1.6785057270615407e-05,5.580908437058375e-05,0.00017904061088656434,0.0,0.0,0.0
2020-06-03,0.9947261350055726,3.916513363143595e-05,4.028413744947698e-05,0.005045588215546992,0.00010518635889585655,2.797509545102568e-05,1.6785057270615407e-05,5.605852750192843e-05,0.00017232658797831818,0.0,0.0,0.0
2020-06-04,0.9947194209826644,3.6927125995353894e-05,4.1403141267518005e-05,0.005059016261363484,0.00010071034362369244,2.6856091632984652e-05,1.6785057270615407e-05,5.631415676468559e-05,0.0001566605345257438,0.0,0.0,0.0
2020-06-05,0.994708230944484,3.916513363143595e-05,3.468911835927184e-05,0.005074682314816058,9.847233598761039e-05,3.0213103087107732e-05,1.566605345257438e-05,5.657318011342768e-05,0.00015442252688966174,0.0,0.0,0.0
2020-06-06,0.9946981599101216,3.6927125995353894e-05,3.916513363143595e-05,0.005092586375904715,9.06393092613232e-05,2.9094099269066708e-05,1.4547049634533354e-05,5.683045045108567e-05,0.00015106551543553866,0.0,0.0,0.0
2020-06-07,0.9946903268833953,3.133210690514876e-05,3.580812217731287e-05,0.005107133425539248,9.399632071544628e-05,2.9094099269066708e-05,1.3428045816492326e-05,5.707948279806147e-05,0.00014658950016337456,0.0,0.0,0.0
2020-06-08,0.9946824938566691,2.797509545102568e-05,3.6927125995353894e-05,0.005122799478991823,8.952030544328217e-05,2.797509545102568e-05,1.3428045816492326e-05,5.731396294047713e-05,0.0001443514925272925,0.0,0.0,0.0
2020-06-09,0.9946746608299427,2.797509545102568e-05,3.3570114541230815e-05,0.005139584536262438,8.616329398915909e-05,2.4618083996902597e-05,1.4547049634533354e-05,5.7529013549559306e-05,0.0001398754772551284,0.0,0.0,0.0
2020-06-10,0.9946589947764902,3.6927125995353894e-05,3.133210690514876e-05,0.005149655570624807,8.616329398915909e-05,2.4618083996902597e-05,1.3428045816492326e-05,5.7722176803669375e-05,0.00013316145434688224,0.0,0.0,0.0
2020-06-11,0.9946500427459458,3.6927125995353894e-05,3.245111072318979e-05,0.005155250589715012,8.840130162524115e-05,2.4618083996902597e-05,1.3428045816492326e-05,5.7893649337940184e-05,0.00012980444289275916,0.0,0.0,0.0
2020-06-12,0.9946422097192196,3.3570114541230815e-05,3.245111072318979e-05,0.0051686786355315045,8.504429017111806e-05,2.6856091632984652e-05,1.2309041998451299e-05,5.8045901650808165e-05,0.0001320424505288412,0.0,0.0,0.0
2020-06-13,0.9946410907154015,2.797509545102568e-05,2.6856091632984652e-05,0.0051809876775299555,8.728229780720012e-05,2.4618083996902597e-05,1.2309041998451299e-05,5.8182806372535205e-05,0.00013428045816492326,0.0,0.0,0.0
2020-06-14,0.9946321386848572,3.3570114541230815e-05,2.9094099269066708e-05,0.005187701700438202,8.280628253503601e-05,2.349908017886157e-05,1.2309041998451299e-05,5.8308511480966804e-05,0.00012532842762059504,0.0,0.0,0.0
2020-06-15,0.9946220676504949,3.580812217731287e-05,2.4618083996902597e-05,0.005198891738618612,8.616329398915909e-05,2.349908017886157e-05,1.0071034362369245e-05,5.842647521179729e-05,0.00012980444289275916,0.0,0.0,0.0
2020-06-16,0.9946086396046784,4.1403141267518005e-05,2.349908017886157e-05,0.00520784376916294,8.616329398915909e-05,2.349908017886157e-05,1.0071034362369245e-05,5.8538905158243274e-05,0.00012644743143863606,0.0,0.0,0.0
